manifest_index,hard_tail_sample_group,first_pass_taxonomy,source_hard_tail_index,source_manifest_index,source_config,task_id,prompt_id,row_id,task_group,prefix_len_chars,middle_len_chars,suffix_len_chars,prefix_len_tokens,middle_len_tokens,suffix_len_tokens,length_bucket,control_fixed_canvas_tokens,deployable_policy,deployable_probe_lengths,oracle_canvas_tokens,first_pass_control_passed,first_pass_deployable_passed,first_pass_oracle_passed,first_pass_control_selected_canvas_tokens,first_pass_deployable_selected_canvas_tokens,first_pass_oracle_selected_canvas_tokens,frozen_controller_test_row,frozen_controller_test_exclusion_flag,row_key,selection_note
0,oracle_only_canvas_recoverable,oracle_only_canvas_recoverable,69,80,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/23/1,1,23,HumanEval/23,145,4,8,48,2,3,short,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",2,False,False,True,64,3,2,False,included_not_frozen_controller_test,HumanEval-RandomSpanInfillingLight:23:RandomSpanInfillingLight/HumanEval/23/1,48_case_bounded_hard_tail_sample_no_label_changes
1,oracle_only_canvas_recoverable,oracle_only_canvas_recoverable,7,13,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/24/L0_L0,L0_L0,630,HumanEval/24,173,33,44,53,9,14,medium,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",9,False,False,True,64,8,9,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:630:MultiLineInfilling/HumanEval/24/L0_L0,48_case_bounded_hard_tail_sample_no_label_changes
2,oracle_only_canvas_recoverable,oracle_only_canvas_recoverable,43,54,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/10/5,5,104,HumanEval/10,739,38,18,217,9,7,medium,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",9,False,False,True,64,15,9,False,included_not_frozen_controller_test,HumanEval-RandomSpanInfilling:104:RandomSpanInfilling/HumanEval/10/5,48_case_bounded_hard_tail_sample_no_label_changes
3,oracle_only_canvas_recoverable,oracle_only_canvas_recoverable,14,22,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/12/L4_L5,L4_L5,385,HumanEval/12,459,51,21,133,17,4,long,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",17,False,False,True,64,4,17,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:385:MultiLineInfilling/HumanEval/12/L4_L5,48_case_bounded_hard_tail_sample_no_label_changes
4,oracle_only_canvas_recoverable,oracle_only_canvas_recoverable,102,118,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/119/1,1,119,HumanEval/119,642,253,105,178,69,50,extreme,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",69,False,False,True,64,11,69,False,included_not_frozen_controller_test,HumanEval-RandomSpanInfillingLight:119:RandomSpanInfillingLight/HumanEval/119/1,48_case_bounded_hard_tail_sample_no_label_changes
5,oracle_only_canvas_recoverable,oracle_only_canvas_recoverable,84,100,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/5/1,1,5,HumanEval/5,364,64,52,122,17,16,long,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",17,False,False,True,64,3,17,False,included_not_frozen_controller_test,HumanEval-RandomSpanInfillingLight:5:RandomSpanInfillingLight/HumanEval/5/1,48_case_bounded_hard_tail_sample_no_label_changes
6,oracle_only_canvas_recoverable,oracle_only_canvas_recoverable,18,28,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/48/L1_L1,L1_L1,1145,HumanEval/48,275,47,41,96,17,8,long,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",17,False,False,True,64,6,17,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:1145:MultiLineInfilling/HumanEval/48/L1_L1,48_case_bounded_hard_tail_sample_no_label_changes
7,oracle_only_canvas_recoverable,oracle_only_canvas_recoverable,70,82,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/51/1,1,51,HumanEval/51,423,8,36,150,2,19,short,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",2,False,False,True,64,3,2,False,included_not_frozen_controller_test,HumanEval-RandomSpanInfillingLight:51:RandomSpanInfillingLight/HumanEval/51/1,48_case_bounded_hard_tail_sample_no_label_changes
8,oracle_only_canvas_recoverable,oracle_only_canvas_recoverable,81,97,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/152/1,1,152,HumanEval/152,820,22,2,249,9,2,medium,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",9,False,False,True,64,4,9,False,included_not_frozen_controller_test,HumanEval-RandomSpanInfillingLight:152:RandomSpanInfillingLight/HumanEval/152/1,48_case_bounded_hard_tail_sample_no_label_changes
9,oracle_only_canvas_recoverable,oracle_only_canvas_recoverable,83,99,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/22/1,1,22,HumanEval/22,283,38,2,100,10,2,medium,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",10,False,False,True,64,4,10,False,included_not_frozen_controller_test,HumanEval-RandomSpanInfillingLight:22:RandomSpanInfillingLight/HumanEval/22/1,48_case_bounded_hard_tail_sample_no_label_changes
