task_id,task_group,case_pool,action_id,deployability,seed,experimental_seed,passed,generated_text_sha256,generated_text_len,code_sha256,selected_mask_length,actual_canvas_length,oracle_mask_length,canvas_is_oracle_sufficient,oracle_exceeds_max_canvas,decode_steps,effective_steps,total_sec_including_probe,error_type,error_message_short,compile_passed,historical_passed,replay_matches_historical,action_was_executed,execution_note,source_commit,mask_length_source,stopped,stop_reason,route2_triggered_historical,route2_rescue_length_historical
SingleLineInfilling/HumanEval/116/L0,HumanEval/116,positive_control_rescued,A_primary,deployable_current_primary,1070938084,0,False,1a26b0bfb1ab1ffa166dd00d968cc8533bb72db54c8ea09fa5eb6accee35f43d,9,119c84299b7909a5d9aab17d7296ae0d967d68a720954e8ef5507544c88b6808,3,3,21,False,False,64,64,4.8157251487718895,SyntaxError,"invalid syntax (<unknown>, line 14)",False,False,True,True,executed_primary,a9ba687e4158bee93799ab76f61f9c1be782454b,lcal_official_bounded_repair,False,no_remaining_masks,True,32
SingleLineInfilling/HumanEval/116/L0,HumanEval/116,positive_control_rescued,B_route2_len32,deployable_current_route2,1070938084,0,True,94d3d9067fb51db3a18f5893eac2fc25f3ae0f54999c46939685b31c7cbe403c,100,b5a523cdad7ae1ca7f59d18aedd4c3a2d412a377ff1acff91695e256cef0a9c7,32,32,21,True,False,64,60,4.906025181990117,,,True,True,True,True,executed_historical_route2_len_32,a9ba687e4158bee93799ab76f61f9c1be782454b,route2_trace_rescue_fixed,True,global_gap_early_commit,True,32
SingleLineInfilling/HumanEval/116/L0,HumanEval/116,positive_control_rescued,C_oracle_sufficient,offline_ceiling_only_oracle_canvas,1070938084,0,True,94d3d9067fb51db3a18f5893eac2fc25f3ae0f54999c46939685b31c7cbe403c,100,b5a523cdad7ae1ca7f59d18aedd4c3a2d412a377ff1acff91695e256cef0a9c7,32,32,21,True,False,64,60,4.872561615076847,,,True,,,True,executed_oracle_sufficient_len_32,a9ba687e4158bee93799ab76f61f9c1be782454b,route2_trace_rescue_fixed,True,global_gap_early_commit,True,32
SingleLineInfilling/HumanEval/116/L0,HumanEval/116,positive_control_rescued,D_oracle_sufficient_steps96,offline_ceiling_only_oracle_canvas,1070938084,0,True,94d3d9067fb51db3a18f5893eac2fc25f3ae0f54999c46939685b31c7cbe403c,100,b5a523cdad7ae1ca7f59d18aedd4c3a2d412a377ff1acff91695e256cef0a9c7,32,32,21,True,False,96,90,7.125953690032475,,,True,,,True,executed_oracle_sufficient_len_32,a9ba687e4158bee93799ab76f61f9c1be782454b,route2_trace_rescue_fixed,True,global_gap_early_commit,True,32
SingleLineInfilling/HumanEval/85/L0,HumanEval/85,triggered_failed_long,A_primary,deployable_current_primary,1114545344,0,False,cc0e41f32b21606bed32aca9ec81fa6a472ee89b35412d2d30d0f6304b942afe,12,fc90aaf0ff6f8984aa2f01db7ae709cdb75a0d976607d1146940b5b2584e004b,3,3,32,False,False,64,64,3.5496724030235782,SyntaxError,"invalid syntax (<unknown>, line 10)",False,False,True,True,executed_primary,a9ba687e4158bee93799ab76f61f9c1be782454b,lcal_official_bounded_repair,False,no_remaining_masks,True,32
SingleLineInfilling/HumanEval/85/L0,HumanEval/85,triggered_failed_long,B_route2_len32,deployable_current_route2,1114545344,0,False,ff82f09561d32c7f5c790a0f7dd3028043ede4ca0269f6d3fc4bee7e663668d0,85,47d1d1aa8e1748ca020cbcec8b697cbd20f4859fad9c3ef92d4390acd1fd60f5,32,32,32,True,False,64,63,2.8205005520721897,SyntaxError,"invalid syntax (<unknown>, line 12)",False,False,True,True,executed_historical_route2_len_32,a9ba687e4158bee93799ab76f61f9c1be782454b,route2_trace_rescue_fixed,True,global_gap_early_commit,True,32
SingleLineInfilling/HumanEval/85/L0,HumanEval/85,triggered_failed_long,C_oracle_sufficient,offline_ceiling_only_oracle_canvas,1114545344,0,False,ff82f09561d32c7f5c790a0f7dd3028043ede4ca0269f6d3fc4bee7e663668d0,85,47d1d1aa8e1748ca020cbcec8b697cbd20f4859fad9c3ef92d4390acd1fd60f5,32,32,32,True,False,64,63,2.8010207840707153,SyntaxError,"invalid syntax (<unknown>, line 12)",False,,,True,executed_oracle_sufficient_len_32,a9ba687e4158bee93799ab76f61f9c1be782454b,route2_trace_rescue_fixed,True,global_gap_early_commit,True,32
SingleLineInfilling/HumanEval/85/L0,HumanEval/85,triggered_failed_long,D_oracle_sufficient_steps96,offline_ceiling_only_oracle_canvas,1114545344,0,False,ff82f09561d32c7f5c790a0f7dd3028043ede4ca0269f6d3fc4bee7e663668d0,85,47d1d1aa8e1748ca020cbcec8b697cbd20f4859fad9c3ef92d4390acd1fd60f5,32,32,32,True,False,96,93,4.22915840393398,SyntaxError,"invalid syntax (<unknown>, line 12)",False,,,True,executed_oracle_sufficient_len_32,a9ba687e4158bee93799ab76f61f9c1be782454b,route2_trace_rescue_fixed,True,global_gap_early_commit,True,32
SingleLineInfilling/HumanEval/113/L3,HumanEval/113,missed_failed_long,A_primary,deployable_current_primary,2039630392,0,False,b1c9952d0408f69d6e80ebf718b350a5f87e2b406d5382112a4265634fdff27e,22,c226b4df705286d5afa2947aa08b2a8a11229e5e6b066c15b1b68798bd84436f,6,6,44,False,False,64,29,4.488393630832434,UnitTestFailure,failed: Test 1,True,False,True,True,executed_primary,a9ba687e4158bee93799ab76f61f9c1be782454b,lcal_official_bounded_repair,True,global_gap_early_commit,False,
SingleLineInfilling/HumanEval/113/L3,HumanEval/113,missed_failed_long,B_route2_len32,deployable_current_route2,2039630392,0,False,b1c9952d0408f69d6e80ebf718b350a5f87e2b406d5382112a4265634fdff27e,22,c226b4df705286d5afa2947aa08b2a8a11229e5e6b066c15b1b68798bd84436f,6,6,44,False,False,64,29,4.488393630832434,UnitTestFailure,failed: Test 1,True,False,True,False,route2_not_triggered_historically_reused_primary,a9ba687e4158bee93799ab76f61f9c1be782454b,lcal_official_bounded_repair,True,global_gap_early_commit,False,
