manifest_index,source_config,task_id,row_id,task_group,length_bucket,middle_len_tokens,control_passed,deployable_passed,oracle_passed,taxonomy,hard_tail_candidate,control_fixed64_selected_canvas_tokens,control_fixed64_error_type,best_deployable_cal_lite_alpha006_selected_canvas_tokens,best_deployable_cal_lite_alpha006_error_type,oracle_sufficient_canvas_selected_canvas_tokens,oracle_sufficient_canvas_error_type
0,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/19/L11_L11,514,HumanEval/19,short,3,True,True,True,stable_all_pass,False,64,,4,,3,
1,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/95/L8_L8,2584,HumanEval/95,short,3,False,True,True,deployable_and_oracle_recover_control_failure,True,64,UnitTestFailure,3,,3,
2,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/96/L6_L6,2734,HumanEval/96,short,3,False,True,True,deployable_and_oracle_recover_control_failure,True,64,UnitTestFailure,3,,3,
3,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/105/L10_L10,3161,HumanEval/105,short,3,True,True,True,stable_all_pass,False,64,,3,,3,
4,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/150/L5_L5,5457,HumanEval/150,short,3,False,True,True,deployable_and_oracle_recover_control_failure,True,64,UnitTestFailure,3,,3,
5,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/0/L5_L5,25,HumanEval/0,short,4,True,True,True,stable_all_pass,False,64,,4,,4,
6,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/1/L16_L16,132,HumanEval/1,short,4,False,True,False,rescue_limited_or_noncanvas_failure,True,64,SyntaxError,3,,4,SyntaxError
7,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/3/L5_L5,152,HumanEval/3,short,4,True,True,True,stable_all_pass,False,64,,4,,4,
8,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/5/L1_L1,166,HumanEval/5,short,4,False,True,True,deployable_and_oracle_recover_control_failure,True,64,UnitTestFailure,4,,4,
9,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/6/L7_L7,250,HumanEval/6,short,4,True,True,True,stable_all_pass,False,64,,7,,4,
10,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/2/L0_L0,133,HumanEval/2,medium,9,False,False,False,rescue_limited_or_noncanvas_failure,True,64,SyntaxError,3,SyntaxError,9,UnitTestFailure
