manifest_index,task_id,task_group,prompt_id,length_bucket,policy,status,passed,oracle_length,selected_length,selected_minus_oracle,abs_selected_minus_oracle,mask_length_source,final_source,trigger_reason,compile_passed,error_type,error_message,candidate_sha256,decode_sec,verification_sec,length_probe_sec,total_sec_including_probe
0,SingleLineInfilling/HumanEval/0/L0,HumanEval/0,L0,9-12,primary_control,ok,True,9,9,0,0,cal_lite,,,True,,,022fe56865169f42bdb098ac22caa58da052ae57adc8ff365cfb7cbcfd4ab684,1.944615712040104,0.13144264894071966,0.5168946088524535,2.592952969833277
1,SingleLineInfilling/HumanEval/0/L1,HumanEval/0,L1,9-12,primary_control,ok,True,11,11,0,0,cal_lite,,,True,,,40560c20a6f56877abd19fa87e39aa5d43f3bff6b7417c68e11fc772c096a6c9,1.8697586880298331,0.10275223001372069,0.28073407080955803,2.253244988853112
2,SingleLineInfilling/HumanEval/0/L2,HumanEval/0,L2,<=8,primary_control,ok,False,7,5,-2,2,cal_lite,,,True,UnitTestFailure,failed: ,31e4c2baa508e3f60cf39499edf4da0d0066a7e14f78dd983b799986984ebdda,1.8682956560514867,0.11088806600309908,0.29517883877269924,2.274362560827285
3,SingleLineInfilling/HumanEval/0/L3,HumanEval/0,L3,9-12,primary_control,ok,True,9,9,0,0,cal_lite,,,True,,,40560c20a6f56877abd19fa87e39aa5d43f3bff6b7417c68e11fc772c096a6c9,1.8649337440729141,0.1174074939917773,0.2835372583940625,2.265878496458754
4,SingleLineInfilling/HumanEval/0/L4,HumanEval/0,L4,<=8,primary_control,ok,True,6,6,0,0,cal_lite,,,True,,,40560c20a6f56877abd19fa87e39aa5d43f3bff6b7417c68e11fc772c096a6c9,1.940195868955925,0.1408110250486061,0.5087234618840739,2.589730355888605
5,SingleLineInfilling/HumanEval/0/L5,HumanEval/0,L5,<=8,primary_control,ok,True,4,3,-1,1,cal_lite,,,True,,,7114818e2b7b8a7cb3966cd3bd0da4427460a5032729c267815c2d598d93c9d8,1.8781305979937315,0.12542446109000593,0.2775661355117336,2.281121194595471
6,SingleLineInfilling/HumanEval/0/L7,HumanEval/0,L7,<=8,primary_control,ok,True,4,24,20,20,cal_lite,,,True,,,dec11542a369dc6e6773388b4c3088a47a8666d03407b094cf340f5a8818b39e,1.909626325010322,0.11619622108992189,0.28327971103135496,2.309102257131599
7,SingleLineInfilling/HumanEval/1/L0,HumanEval/1,L0,<=8,primary_control,ok,True,4,8,4,4,cal_lite,,,True,,,941612227d19fcbcaf9af09974119ed73b1b31ed553d2da365aaa9138c71d0d2,1.9068399929674342,0.1397967980010435,0.2852540409658104,2.331890831934288
8,SingleLineInfilling/HumanEval/1/L1,HumanEval/1,L1,<=8,primary_control,ok,True,5,9,4,4,cal_lite,,,True,,,5183ae6eb1442e831df6aeb40db8c8df20477bac8410be4933737cb95e95b567,1.9158075760351494,0.15153083100449294,0.28406439954414964,2.351402806583792
9,SingleLineInfilling/HumanEval/1/L2,HumanEval/1,L2,<=8,primary_control,ok,True,7,8,1,1,cal_lite,,,True,,,1e839a2ce33601fa6e9515c49043a0c1529054f42cfec37c1e518239e9e90ae7,1.9121799200074747,0.14375366200692952,0.30186573590617627,2.3577993179205805
10,SingleLineInfilling/HumanEval/1/L4,HumanEval/1,L4,<=8,primary_control,ok,True,7,7,0,0,cal_lite,,,True,,,464c1465d5dbdf81777dab90f452cf22371867ee1349fed5d983ef0492c1f621,1.915316214086488,0.11683245305903256,0.2896982542006299,2.3218469213461503
11,SingleLineInfilling/HumanEval/1/L5,HumanEval/1,L5,<=8,primary_control,ok,True,6,16,10,10,cal_lite,,,True,,,b38461daaee959d54f24e6b8ca7eaee8642f2da1dbc61aef138d5be727668869,1.9085448060650378,0.1416320321150124,0.2901122769108042,2.3402891150908545
12,SingleLineInfilling/HumanEval/1/L6,HumanEval/1,L6,<=8,primary_control,ok,False,7,15,8,8,cal_lite,,,True,UnitTestFailure,failed: ,995e53d5a5d098eda0a556a24805bfc1814ab07110443c52f937cd9dbfc5fd4e,1.8971289499895647,0.1415203211363405,0.27919176407158375,2.317841035197489
13,SingleLineInfilling/HumanEval/1/L7,HumanEval/1,L7,<=8,primary_control,ok,False,6,20,14,14,cal_lite,,,True,UnitTestFailure,failed: ,2ed2d913c503d8689e618bd2e18d8adbda43ef1040a441d735d45c0008e2f97a,1.941709056030959,0.10119989898521453,0.28161465376615524,2.3245236087823287
14,SingleLineInfilling/HumanEval/1/L8,HumanEval/1,L8,<=8,primary_control,ok,True,6,6,0,0,cal_lite,,,True,,,464c1465d5dbdf81777dab90f452cf22371867ee1349fed5d983ef0492c1f621,1.8920555840013549,0.14172347204294056,0.28182822826784104,2.3156072843121365
15,SingleLineInfilling/HumanEval/1/L9,HumanEval/1,L9,<=8,primary_control,ok,True,7,7,0,0,cal_lite,,,True,,,464c1465d5dbdf81777dab90f452cf22371867ee1349fed5d983ef0492c1f621,1.9044675540644675,0.13854329602327198,0.28129045618698,2.3243013062747195
16,SingleLineInfilling/HumanEval/1/L10,HumanEval/1,L10,<=8,primary_control,ok,True,6,5,-1,1,cal_lite,,,True,,,608a450bbd1656746c3fdf821b5d0d2a0e6719fc459f6e37f22aacec0dc4e279,1.898932939977385,0.11862635600846261,0.28261257405392826,2.300171870039776
17,SingleLineInfilling/HumanEval/1/L12,HumanEval/1,L12,<=8,primary_control,ok,True,8,8,0,0,cal_lite,,,True,,,464c1465d5dbdf81777dab90f452cf22371867ee1349fed5d983ef0492c1f621,1.9112687340239063,0.1113095770124346,0.2849708331050351,2.307549144141376
18,SingleLineInfilling/HumanEval/1/L13,HumanEval/1,L13,9-12,primary_control,ok,True,9,9,0,0,cal_lite,,,True,,,464c1465d5dbdf81777dab90f452cf22371867ee1349fed5d983ef0492c1f621,1.912006816943176,0.14315077487844974,0.292195743881166,2.347353335702792
19,SingleLineInfilling/HumanEval/1/L14,HumanEval/1,L14,<=8,primary_control,ok,True,5,10,5,5,cal_lite,,,True,,,a0aa8ead6c40d399ce4955ee91a15545bdd652cea7dd275183533f4f067dbce6,1.9111883289879188,0.15078043390531093,0.2842859491938725,2.3462547120871022
20,SingleLineInfilling/HumanEval/1/L16,HumanEval/1,L16,<=8,primary_control,ok,True,4,4,0,0,cal_lite,,,True,,,464c1465d5dbdf81777dab90f452cf22371867ee1349fed5d983ef0492c1f621,1.8893800009973347,0.14443123596720397,0.29091943614184856,2.3247306731063873
21,SingleLineInfilling/HumanEval/2/L0,HumanEval/2,L0,9-12,primary_control,ok,True,9,7,-2,2,cal_lite,,,True,,,2a4ed29c92db0f5b853f87dd5d0035a06b32c53837c213933028ddc852e508ee,1.5996486849617213,0.15362018009182066,0.28563717391807586,2.038906038971618
