task_id,task_group,case_pool,action_id,experimental_seed,seed,passed,generated_text_sha256,generated_text_len,code_sha256,selected_mask_length,actual_canvas_length,oracle_mask_length,canvas_is_oracle_sufficient,decode_steps,actual_forward_steps,effective_steps,effective_update_steps,total_token_changes,early_commit_enabled,early_commit_triggered,full_schedule_completed,stop_reason,no_remaining_masks_first_step,remasked_token_count,remasked_span_start,remasked_span_end_exclusive,remasked_span_width,remasked_span_center_index,refinement_steps,refinement_executed,span_refinement_executed,stage1_hash,output_changed_vs_C,total_sec_including_probe,compile_passed,error_type,error_message_short,action_was_executed,execution_note,source_commit,c_reference_hash
SingleLineInfilling/HumanEval/108/L6,HumanEval/108,triggered_failed_long,E_oracle_sufficient_no_early_commit,0,1605307168,False,165c590cbb71473aa47d583a06d2e9c34209611b8486fd1502af6d9879bd0620,103,dd3f46a925343ed6208acca978163f736ffb7018c5a2ab850cd7afb7ec3c4d6f,32,32,26,True,64,64,64,32,32,False,False,True,not_stopped,63,,,,,,,,,,False,3.951729082968086,False,SyntaxError,"invalid syntax (<unknown>, line 20)",True,executed_oracle_sufficient_no_early_commit,89e30c13879d1197ef5588ef5da4582d6d1e44b4,165c590cbb71473aa47d583a06d2e9c34209611b8486fd1502af6d9879bd0620
SingleLineInfilling/HumanEval/108/L6,HumanEval/108,triggered_failed_long,F_oracle_sufficient_trace_remask,0,1605307168,False,165c590cbb71473aa47d583a06d2e9c34209611b8486fd1502af6d9879bd0620,103,dd3f46a925343ed6208acca978163f736ffb7018c5a2ab850cd7afb7ec3c4d6f,32,32,26,True,80,80,16,4,4,False,False,True,not_stopped,14,4,,,,,16,True,,165c590cbb71473aa47d583a06d2e9c34209611b8486fd1502af6d9879bd0620,False,4.973099961061962,False,SyntaxError,"invalid syntax (<unknown>, line 20)",True,executed_trace_token_remask_refinement,89e30c13879d1197ef5588ef5da4582d6d1e44b4,165c590cbb71473aa47d583a06d2e9c34209611b8486fd1502af6d9879bd0620
SingleLineInfilling/HumanEval/108/L6,HumanEval/108,triggered_failed_long,G_oracle_sufficient_trace_span_remask,0,1605307168,False,165c590cbb71473aa47d583a06d2e9c34209611b8486fd1502af6d9879bd0620,103,dd3f46a925343ed6208acca978163f736ffb7018c5a2ab850cd7afb7ec3c4d6f,32,32,26,True,88,88,24,7,7,False,False,True,not_stopped,23,7,10,17,7,13,24,True,True,165c590cbb71473aa47d583a06d2e9c34209611b8486fd1502af6d9879bd0620,False,5.491880091954954,False,SyntaxError,"invalid syntax (<unknown>, line 20)",True,executed_trace_span_remask_refinement,89e30c13879d1197ef5588ef5da4582d6d1e44b4,165c590cbb71473aa47d583a06d2e9c34209611b8486fd1502af6d9879bd0620
SingleLineInfilling/HumanEval/11/L6,HumanEval/11,triggered_failed_long,E_oracle_sufficient_no_early_commit,0,301806683,False,51aa013b9769245424bfbe485900214f98d0ff45a992ab45ba197f337a510baf,73,9d7c7c5f80a21293de17c65b8ae8a9aed4db68d4aac0b3d7babb7d4f324a919c,32,32,22,True,64,64,64,32,32,False,False,True,not_stopped,63,,,,,,,,,,False,2.667123224120587,False,SyntaxError,"'(' was never closed (<unknown>, line 19)",True,executed_oracle_sufficient_no_early_commit,89e30c13879d1197ef5588ef5da4582d6d1e44b4,51aa013b9769245424bfbe485900214f98d0ff45a992ab45ba197f337a510baf
SingleLineInfilling/HumanEval/11/L6,HumanEval/11,triggered_failed_long,F_oracle_sufficient_trace_remask,0,301806683,False,51aa013b9769245424bfbe485900214f98d0ff45a992ab45ba197f337a510baf,73,9d7c7c5f80a21293de17c65b8ae8a9aed4db68d4aac0b3d7babb7d4f324a919c,32,32,22,True,80,80,16,4,4,False,False,True,not_stopped,14,4,,,,,16,True,,51aa013b9769245424bfbe485900214f98d0ff45a992ab45ba197f337a510baf,False,3.33604031894356,False,SyntaxError,"'(' was never closed (<unknown>, line 19)",True,executed_trace_token_remask_refinement,89e30c13879d1197ef5588ef5da4582d6d1e44b4,51aa013b9769245424bfbe485900214f98d0ff45a992ab45ba197f337a510baf
SingleLineInfilling/HumanEval/11/L6,HumanEval/11,triggered_failed_long,G_oracle_sufficient_trace_span_remask,0,301806683,False,51aa013b9769245424bfbe485900214f98d0ff45a992ab45ba197f337a510baf,73,9d7c7c5f80a21293de17c65b8ae8a9aed4db68d4aac0b3d7babb7d4f324a919c,32,32,22,True,88,88,24,7,7,False,False,True,not_stopped,23,7,7,14,7,10,24,True,True,51aa013b9769245424bfbe485900214f98d0ff45a992ab45ba197f337a510baf,False,3.6572364879539236,False,SyntaxError,"'(' was never closed (<unknown>, line 19)",True,executed_trace_span_remask_refinement,89e30c13879d1197ef5588ef5da4582d6d1e44b4,51aa013b9769245424bfbe485900214f98d0ff45a992ab45ba197f337a510baf
SingleLineInfilling/HumanEval/115/L0,HumanEval/115,triggered_failed_long,E_oracle_sufficient_no_early_commit,0,721932922,False,afa603622dd6bc442f71126d949fbc04ed026b47b8d31565ee7c7a6c76619b8a,96,6df595b0d6ae4c4d3c7f683ef3c31983315adcefc3c84f80336ea9f376c65342,32,32,17,True,64,64,64,32,32,False,False,True,not_stopped,63,,,,,,,,,,False,5.472290441975929,False,SyntaxError,"invalid syntax (<unknown>, line 42)",True,executed_oracle_sufficient_no_early_commit,89e30c13879d1197ef5588ef5da4582d6d1e44b4,afa603622dd6bc442f71126d949fbc04ed026b47b8d31565ee7c7a6c76619b8a
SingleLineInfilling/HumanEval/115/L0,HumanEval/115,triggered_failed_long,F_oracle_sufficient_trace_remask,0,721932922,False,afa603622dd6bc442f71126d949fbc04ed026b47b8d31565ee7c7a6c76619b8a,96,6df595b0d6ae4c4d3c7f683ef3c31983315adcefc3c84f80336ea9f376c65342,32,32,17,True,80,80,16,4,4,False,False,True,not_stopped,14,4,,,,,16,True,,afa603622dd6bc442f71126d949fbc04ed026b47b8d31565ee7c7a6c76619b8a,False,6.870278144953772,False,SyntaxError,"invalid syntax (<unknown>, line 42)",True,executed_trace_token_remask_refinement,89e30c13879d1197ef5588ef5da4582d6d1e44b4,afa603622dd6bc442f71126d949fbc04ed026b47b8d31565ee7c7a6c76619b8a
SingleLineInfilling/HumanEval/115/L0,HumanEval/115,triggered_failed_long,G_oracle_sufficient_trace_span_remask,0,721932922,False,afa603622dd6bc442f71126d949fbc04ed026b47b8d31565ee7c7a6c76619b8a,96,6df595b0d6ae4c4d3c7f683ef3c31983315adcefc3c84f80336ea9f376c65342,32,32,17,True,88,88,24,7,7,False,False,True,not_stopped,23,7,14,21,7,17,24,True,True,afa603622dd6bc442f71126d949fbc04ed026b47b8d31565ee7c7a6c76619b8a,False,7.584117151214741,False,SyntaxError,"invalid syntax (<unknown>, line 42)",True,executed_trace_span_remask_refinement,89e30c13879d1197ef5588ef5da4582d6d1e44b4,afa603622dd6bc442f71126d949fbc04ed026b47b8d31565ee7c7a6c76619b8a
SingleLineInfilling/HumanEval/121/L0,HumanEval/121,triggered_failed_long,E_oracle_sufficient_no_early_commit,0,2028157315,False,d7fbfc81b20fb89448aa555c51ec900f8c32255f2f224ef8d29b8c518e637e51,78,08edf487a0f187809939d72807e39543067f35328b3c7eb22b0839a12b0c1dad,32,32,28,True,64,64,64,32,32,False,False,True,not_stopped,63,,,,,,,,,,False,2.939127472927794,False,SyntaxError,"expected ':' (<unknown>, line 14)",True,executed_oracle_sufficient_no_early_commit,89e30c13879d1197ef5588ef5da4582d6d1e44b4,d7fbfc81b20fb89448aa555c51ec900f8c32255f2f224ef8d29b8c518e637e51
