action_id,action_was_executed,actual_canvas_length,actual_forward_steps,canvas_is_oracle_sufficient,case_pool,code_sha256,compile_passed,decode_steps,early_commit_enabled,early_commit_triggered,effective_steps,effective_update_steps,error_message_short,error_type,execution_note,experimental_seed,full_schedule_completed,generated_text_len,generated_text_sha256,no_remaining_masks_first_step,oracle_mask_length,output_changed_vs_C,passed,refinement_executed,refinement_steps,remasked_token_count,seed,selected_mask_length,source_commit,stage1_hash,stop_reason,task_group,task_id,total_sec_including_probe,total_token_changes
C_oracle_sufficient,True,32,63,True,triggered_failed_long,47d1d1aa8e1748ca020cbcec8b697cbd20f4859fad9c3ef92d4390acd1fd60f5,False,64,True,True,63,32,"invalid syntax (<unknown>, line 12)",SyntaxError,executed_oracle_sufficient_early_commit,0,False,85,ff82f09561d32c7f5c790a0f7dd3028043ede4ca0269f6d3fc4bee7e663668d0,,32,False,False,,,,1114545344,32,ca67f8343b0c2c9c1eda38ec283d771293af0a2c,,global_gap_early_commit,HumanEval/85,SingleLineInfilling/HumanEval/85/L0,3.015616850811057,32
E_oracle_sufficient_no_early_commit,True,32,64,True,triggered_failed_long,47d1d1aa8e1748ca020cbcec8b697cbd20f4859fad9c3ef92d4390acd1fd60f5,False,64,False,False,64,32,"invalid syntax (<unknown>, line 12)",SyntaxError,executed_oracle_sufficient_no_early_commit,0,True,85,ff82f09561d32c7f5c790a0f7dd3028043ede4ca0269f6d3fc4bee7e663668d0,63,32,False,False,,,,1114545344,32,ca67f8343b0c2c9c1eda38ec283d771293af0a2c,,not_stopped,HumanEval/85,SingleLineInfilling/HumanEval/85/L0,2.57753770891577,32
F_oracle_sufficient_trace_remask,True,32,79,True,triggered_failed_long,47d1d1aa8e1748ca020cbcec8b697cbd20f4859fad9c3ef92d4390acd1fd60f5,False,80,False,False,16,4,"invalid syntax (<unknown>, line 12)",SyntaxError,executed_trace_remask_refinement,0,True,85,ff82f09561d32c7f5c790a0f7dd3028043ede4ca0269f6d3fc4bee7e663668d0,14,32,False,False,True,16,4,1114545344,32,ca67f8343b0c2c9c1eda38ec283d771293af0a2c,ff82f09561d32c7f5c790a0f7dd3028043ede4ca0269f6d3fc4bee7e663668d0,not_stopped,HumanEval/85,SingleLineInfilling/HumanEval/85/L0,3.58332825882826,4
A_primary,True,3,,False,positive_control_rescued,119c84299b7909a5d9aab17d7296ae0d967d68a720954e8ef5507544c88b6808,False,64,,False,64,,"invalid syntax (<unknown>, line 14)",SyntaxError,executed_primary,0,,9,1a26b0bfb1ab1ffa166dd00d968cc8533bb72db54c8ea09fa5eb6accee35f43d,,21,,False,,,,1070938084,3,ca67f8343b0c2c9c1eda38ec283d771293af0a2c,,no_remaining_masks,HumanEval/116,SingleLineInfilling/HumanEval/116/L0,4.794443194987252,
B_route2_len32,True,32,,True,positive_control_rescued,b5a523cdad7ae1ca7f59d18aedd4c3a2d412a377ff1acff91695e256cef0a9c7,True,64,,True,60,,,,executed_historical_route2_len_32,0,,100,94d3d9067fb51db3a18f5893eac2fc25f3ae0f54999c46939685b31c7cbe403c,,21,,True,,,,1070938084,32,ca67f8343b0c2c9c1eda38ec283d771293af0a2c,,global_gap_early_commit,HumanEval/116,SingleLineInfilling/HumanEval/116/L0,4.907086315914057,
C_oracle_sufficient,True,32,60,True,positive_control_rescued,b5a523cdad7ae1ca7f59d18aedd4c3a2d412a377ff1acff91695e256cef0a9c7,True,64,True,True,60,31,,,executed_oracle_sufficient_early_commit,0,False,100,94d3d9067fb51db3a18f5893eac2fc25f3ae0f54999c46939685b31c7cbe403c,,21,False,True,,,,1070938084,32,ca67f8343b0c2c9c1eda38ec283d771293af0a2c,,global_gap_early_commit,HumanEval/116,SingleLineInfilling/HumanEval/116/L0,4.984291215077974,32
E_oracle_sufficient_no_early_commit,True,32,64,True,positive_control_rescued,b5a523cdad7ae1ca7f59d18aedd4c3a2d412a377ff1acff91695e256cef0a9c7,True,64,False,False,64,32,,,executed_oracle_sufficient_no_early_commit,0,True,100,94d3d9067fb51db3a18f5893eac2fc25f3ae0f54999c46939685b31c7cbe403c,63,21,False,True,,,,1070938084,32,ca67f8343b0c2c9c1eda38ec283d771293af0a2c,,not_stopped,HumanEval/116,SingleLineInfilling/HumanEval/116/L0,5.084436139091849,32
F_oracle_sufficient_trace_remask,True,32,76,True,positive_control_rescued,b5a523cdad7ae1ca7f59d18aedd4c3a2d412a377ff1acff91695e256cef0a9c7,True,80,False,False,16,4,,,executed_trace_remask_refinement,0,True,100,94d3d9067fb51db3a18f5893eac2fc25f3ae0f54999c46939685b31c7cbe403c,14,21,False,True,True,16,4,1070938084,32,ca67f8343b0c2c9c1eda38ec283d771293af0a2c,94d3d9067fb51db3a18f5893eac2fc25f3ae0f54999c46939685b31c7cbe403c,not_stopped,HumanEval/116,SingleLineInfilling/HumanEval/116/L0,6.3797447119141,4
C_oracle_sufficient,True,32,60,True,positive_control_rescued,b5a523cdad7ae1ca7f59d18aedd4c3a2d412a377ff1acff91695e256cef0a9c7,True,64,True,True,60,31,,,executed_oracle_sufficient_early_commit,1,False,100,94d3d9067fb51db3a18f5893eac2fc25f3ae0f54999c46939685b31c7cbe403c,,21,False,True,,,,1442169951,32,ca67f8343b0c2c9c1eda38ec283d771293af0a2c,,global_gap_early_commit,HumanEval/116,SingleLineInfilling/HumanEval/116/L0,4.998965227976441,32
E_oracle_sufficient_no_early_commit,True,32,64,True,positive_control_rescued,b5a523cdad7ae1ca7f59d18aedd4c3a2d412a377ff1acff91695e256cef0a9c7,True,64,False,False,64,32,,,executed_oracle_sufficient_no_early_commit,1,True,100,94d3d9067fb51db3a18f5893eac2fc25f3ae0f54999c46939685b31c7cbe403c,63,21,False,True,,,,1442169951,32,ca67f8343b0c2c9c1eda38ec283d771293af0a2c,,not_stopped,HumanEval/116,SingleLineInfilling/HumanEval/116/L0,5.2076872560428455,32
