manifest_index,source_config,task_id,prompt_id,row_id,task_group,length_bucket,policy,status,passed,prefix_len_tokens,middle_len_tokens,suffix_len_tokens,oracle_canvas_tokens,selected_canvas_tokens,selected_minus_oracle,abs_selected_minus_oracle,mask_length_source,selected_score,selected_raw_score,selected_adjusted_score,compile_passed,tier2_smoke_exec_passed,tier3_unit_tests_passed,error_type,error_message,candidate_full_code_sha256,candidate_middle_sha256,total_sec_including_probe,decode_sec,verification_sec,length_probe_sec,mean_final_confidence
0,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/23/1,1,23,HumanEval/23,short,control_fixed64,ok,False,48,2,3,2,64,62,62,fixed,,,,True,True,False,UnitTestFailure,failed: ,cdbd18dd3944f2328a8af566fff6e7ede5cd68674015104db52b8ff57ffec6cb,fccf3686228144595d3c4ec99086dd18066ec7303f3d95ea5e5386d28cb76bc6,1.6109935999847949,1.5187280089594424,0.09226559102535248,0.0,0.9765625
1,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/24/L0_L0,L0_L0,630,HumanEval/24,medium,control_fixed64,ok,False,53,9,14,9,64,55,55,fixed,,,,True,True,False,UnitTestFailure,failed: ,19c311eedde27ccc61088a0dd6f779ca59979e22a88cafe6bf2d8f8282feb9b6,841f7850f319bc58aa9f937c95ba2666f5f8c3ac70faace6e1647fea126b5819,1.3897520640748553,1.3005737120402046,0.08917835203465074,0.0,0.9765625
2,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/10/5,5,104,HumanEval/10,medium,control_fixed64,ok,False,217,9,7,9,64,55,55,fixed,,,,True,True,False,UnitTestFailure,failed: ,ed545001fecef77da3217c3a10163a7c3d4e78825d28c61867f9476e3881585f,b9a018d3a3d14902cd7aa3357b88fcb426e71aec458d72d7f8104c82ac908e12,1.4851923510432243,1.3952150610275567,0.08997729001566768,0.0,0.9921875
3,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/12/L4_L5,L4_L5,385,HumanEval/12,long,control_fixed64,ok,False,133,17,4,17,64,47,47,fixed,,,,True,True,False,UnitTestFailure,failed: ,0e58d2df93336dc32654b8b9ee13d48bdb067ecc2236df29f87955a47b34b586,f539d52061a75856fdb4704d52c555c906a2b48a7e5111e26654e13077e41889,1.3928594019962475,1.3031291119987145,0.08973028999753296,0.0,0.9921875
4,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/119/1,1,119,HumanEval/119,extreme,control_fixed64,ok,False,178,69,50,69,64,-5,5,fixed,,,,True,True,False,UnitTestFailure,failed: ,4a44fc37f50cbcacbeb2486b203ac735b7490e248d1e00e1a82a26edb7781992,42a64ecabed9a6dd2776569aaf1777a824c3e8e4c9cfd411fd2b9fe62c3aa496,1.4888057290227152,1.3977916929870844,0.09101403603563085,0.0,0.98046875
5,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/5/1,1,5,HumanEval/5,long,control_fixed64,ok,False,122,17,16,17,64,47,47,fixed,,,,True,True,False,UnitTestFailure,failed: ,2426e50ae9296e9999737e50cf2ea33f4df2380589dbbb2095854bc0ef6e72fa,3f68325d422ef15cecc3cc478b604a449098f05f540d53fbda5f144c3fbeb1b0,1.396953571063932,1.3034098300267942,0.0935437410371378,0.0,0.98828125
6,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/48/L1_L1,L1_L1,1145,HumanEval/48,long,control_fixed64,ok,False,96,17,8,17,64,47,47,fixed,,,,True,True,False,UnitTestFailure,failed: ,9c94451d9d266fb13b44bb0c3bdbf1ea07cc24af10af3d40c436c43f2552dfe0,af33f6ed05385da1d25c413df7b3cb6b3de07c55f9df7b20f6f444ccbec46c2c,1.39798409701325,1.306191999989096,0.09179209702415392,0.0,0.9921875
7,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/51/1,1,51,HumanEval/51,short,control_fixed64,ok,False,150,2,19,2,64,62,62,fixed,,,,True,True,False,UnitTestFailure,failed: ,8c23ded53ed4529800076a7924cc1b711396ea8af4e29a5a06051bd00c07d6f4,302a71177be2ab48f5ca9ee0aaced77c21460b81e71882caba624d8a6b900342,1.4046974810189568,1.312820502964314,0.09187697805464268,0.0,0.98828125
8,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/152/1,1,152,HumanEval/152,medium,control_fixed64,ok,False,249,9,2,9,64,55,55,fixed,,,,False,False,False,SyntaxError,"unterminated triple-quoted string literal (detected at line 23) (<unknown>, line 22)",c618eba8d2ef96d7099aa8a8adc673cca672a4ea5e5fecf19a2d481faf5c6c2a,e2d2a98266d8873884021c10767c9cebf2444c9d359fe07947b7ee4a35179267,1.4141358729684725,1.4139793609501794,0.00015651201829314232,0.0,0.953125
9,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/22/1,1,22,HumanEval/22,medium,control_fixed64,ok,False,100,10,2,10,64,54,54,fixed,,,,False,False,False,SyntaxError,"unterminated triple-quoted string literal (detected at line 18) (<unknown>, line 16)",2eb61525956878ef2bfa20d6362c43bd485e1926f74835b54ee274db424e4de4,66fdb86838f6138f703b0fdf48f9208394d2e07ee29c2c35aed759f7f64681d1,1.2983408130239695,1.2982164770364761,0.0001243359874933958,0.0,0.99609375
