task_id,weak_selected_le12,weak_best_long_ge17,weak_long_ratio_ge085,weak_plateau_ge2,weak_high_top1,weak_high_gap,weak_untriggered_by_precision,weak_vote_score,missed_failed_long,triggered_rescue_failure,true_long,short_risk,current_pass_risk
SingleLineInfilling/HumanEval/0/L0,True,False,False,True,True,True,True,5,False,False,False,False,True
SingleLineInfilling/HumanEval/0/L1,False,False,True,True,True,True,True,5,False,False,False,False,True
SingleLineInfilling/HumanEval/0/L2,True,False,False,True,False,False,True,3,False,False,False,True,True
SingleLineInfilling/HumanEval/0/L3,True,False,False,True,False,False,True,3,False,False,False,False,True
SingleLineInfilling/HumanEval/0/L4,True,False,False,True,False,False,True,3,False,False,False,True,True
SingleLineInfilling/HumanEval/0/L5,True,False,False,True,True,True,True,5,False,False,False,True,True
SingleLineInfilling/HumanEval/0/L7,True,False,False,True,True,True,True,5,False,False,False,True,True
SingleLineInfilling/HumanEval/1/L0,True,False,False,True,True,True,True,5,False,False,False,True,True
SingleLineInfilling/HumanEval/1/L1,True,False,False,True,True,True,True,5,False,False,False,True,True
SingleLineInfilling/HumanEval/1/L10,True,False,False,True,True,True,True,5,False,False,False,True,True
SingleLineInfilling/HumanEval/1/L12,True,False,False,True,True,True,True,5,False,False,False,False,True
SingleLineInfilling/HumanEval/1/L13,True,False,False,True,True,True,True,5,False,False,False,False,False
SingleLineInfilling/HumanEval/1/L14,True,False,False,True,False,True,True,4,False,False,False,True,True
SingleLineInfilling/HumanEval/1/L16,True,False,False,True,False,False,False,2,False,False,False,True,False
SingleLineInfilling/HumanEval/1/L2,True,False,False,True,True,True,True,5,False,False,False,True,True
SingleLineInfilling/HumanEval/1/L4,True,False,False,True,True,True,True,5,False,False,False,True,True
SingleLineInfilling/HumanEval/1/L5,True,False,False,True,True,True,True,5,False,False,False,True,True
SingleLineInfilling/HumanEval/1/L6,True,False,False,True,True,True,True,5,False,False,False,True,True
SingleLineInfilling/HumanEval/1/L7,True,False,False,True,True,True,True,5,False,False,False,True,True
SingleLineInfilling/HumanEval/1/L8,True,True,False,True,True,True,True,6,False,False,False,True,True
SingleLineInfilling/HumanEval/1/L9,True,False,False,True,True,True,True,5,False,False,False,True,True
SingleLineInfilling/HumanEval/10/L0,True,False,False,True,True,True,True,5,False,False,False,True,True
SingleLineInfilling/HumanEval/10/L1,True,True,False,True,False,False,True,4,False,False,False,True,True
SingleLineInfilling/HumanEval/10/L3,True,False,False,True,True,True,True,5,False,False,False,True,True
SingleLineInfilling/HumanEval/10/L5,False,False,True,True,True,True,True,5,True,False,True,False,False
SingleLineInfilling/HumanEval/10/L6,True,False,False,True,True,True,True,5,False,False,False,True,True
SingleLineInfilling/HumanEval/10/L8,True,False,False,True,False,False,False,2,False,False,False,False,False
SingleLineInfilling/HumanEval/100/L0,True,False,False,True,False,False,False,2,False,False,False,False,False
SingleLineInfilling/HumanEval/101/L0,True,False,False,True,True,True,True,5,False,False,False,True,True
SingleLineInfilling/HumanEval/101/L1,True,False,False,True,False,True,True,4,False,False,False,True,True
SingleLineInfilling/HumanEval/101/L11,True,False,False,True,False,True,True,4,False,False,False,False,True
SingleLineInfilling/HumanEval/101/L12,True,False,False,True,False,True,True,4,False,False,False,True,False
SingleLineInfilling/HumanEval/101/L3,True,False,False,True,True,True,True,5,False,False,False,True,True
SingleLineInfilling/HumanEval/101/L5,True,False,False,True,True,True,True,5,False,False,False,True,True
SingleLineInfilling/HumanEval/101/L6,True,True,False,True,False,False,True,4,False,False,False,True,True
SingleLineInfilling/HumanEval/101/L7,True,False,False,True,True,True,True,5,False,False,False,True,False
SingleLineInfilling/HumanEval/101/L8,False,False,False,True,False,True,True,3,False,False,False,True,True
SingleLineInfilling/HumanEval/101/L9,True,False,False,True,True,True,True,5,False,False,False,True,True
SingleLineInfilling/HumanEval/102/L0,True,False,False,True,False,False,True,3,False,False,False,True,False
SingleLineInfilling/HumanEval/102/L1,True,True,True,True,True,True,True,7,False,False,False,True,False
SingleLineInfilling/HumanEval/102/L2,True,True,True,True,True,True,True,7,False,False,False,False,True
SingleLineInfilling/HumanEval/102/L3,True,True,False,True,False,False,True,4,False,False,False,True,False
SingleLineInfilling/HumanEval/102/L4,True,False,False,True,True,True,True,5,False,False,False,True,False
SingleLineInfilling/HumanEval/102/L5,True,True,False,True,False,True,True,5,False,False,False,True,True
SingleLineInfilling/HumanEval/102/L6,True,False,True,True,False,False,False,3,False,False,False,True,False
SingleLineInfilling/HumanEval/103/L0,True,False,False,True,True,True,True,5,False,False,False,True,True
SingleLineInfilling/HumanEval/103/L1,True,False,False,True,True,True,True,5,False,False,False,True,True
SingleLineInfilling/HumanEval/103/L2,True,True,False,True,True,True,True,6,False,False,False,True,True
SingleLineInfilling/HumanEval/103/L3,False,False,True,True,True,True,True,5,False,False,False,False,True
SingleLineInfilling/HumanEval/103/L4,True,False,False,True,True,True,True,5,False,False,False,True,True
SingleLineInfilling/HumanEval/103/L5,True,False,False,True,False,False,False,2,False,False,False,False,False
SingleLineInfilling/HumanEval/104/L0,True,False,False,True,True,True,True,5,False,False,False,True,True
SingleLineInfilling/HumanEval/104/L1,True,False,False,True,True,True,True,5,False,False,False,True,True
SingleLineInfilling/HumanEval/104/L2,True,False,False,True,False,False,True,3,True,False,True,False,False
SingleLineInfilling/HumanEval/104/L3,True,False,False,True,True,True,True,5,False,False,False,False,True
SingleLineInfilling/HumanEval/104/L4,True,False,False,True,False,False,True,3,False,False,False,False,False
SingleLineInfilling/HumanEval/105/L0,True,False,False,True,True,True,True,5,False,False,False,True,True
SingleLineInfilling/HumanEval/105/L1,False,False,True,True,True,True,True,5,False,False,False,True,True
SingleLineInfilling/HumanEval/105/L10,False,False,False,True,True,True,True,4,False,False,False,True,True
SingleLineInfilling/HumanEval/105/L11,True,False,True,True,True,True,True,6,False,False,False,False,False
SingleLineInfilling/HumanEval/105/L12,True,True,False,True,True,True,True,6,False,False,False,True,True
SingleLineInfilling/HumanEval/105/L13,True,False,False,True,True,True,True,5,False,False,False,True,True
SingleLineInfilling/HumanEval/105/L14,True,False,False,True,True,True,True,5,False,False,False,True,True
SingleLineInfilling/HumanEval/105/L15,True,False,False,True,False,True,True,4,False,False,False,False,True
SingleLineInfilling/HumanEval/105/L16,True,False,False,True,True,True,True,5,False,False,False,True,True
SingleLineInfilling/HumanEval/105/L17,True,False,False,True,False,True,True,4,False,False,False,True,False
SingleLineInfilling/HumanEval/105/L18,True,False,False,True,True,True,True,5,False,False,False,True,True
SingleLineInfilling/HumanEval/105/L2,True,False,True,True,True,True,True,6,False,False,False,True,True
SingleLineInfilling/HumanEval/105/L3,True,False,True,True,True,True,True,6,False,False,False,True,True
SingleLineInfilling/HumanEval/105/L4,True,False,False,True,True,True,True,5,False,False,False,True,True
SingleLineInfilling/HumanEval/105/L5,True,False,False,True,True,True,True,5,False,False,False,True,True
SingleLineInfilling/HumanEval/105/L6,True,False,False,True,True,True,True,5,False,False,False,True,True
SingleLineInfilling/HumanEval/105/L7,True,False,True,True,True,True,True,6,False,False,False,True,True
SingleLineInfilling/HumanEval/105/L8,True,False,True,True,True,True,True,6,False,False,False,True,True
SingleLineInfilling/HumanEval/105/L9,True,False,True,True,False,True,True,5,False,False,False,True,True
SingleLineInfilling/HumanEval/106/L0,True,False,False,True,False,True,True,4,False,False,False,True,False
SingleLineInfilling/HumanEval/106/L1,True,False,True,True,True,True,True,6,False,False,False,False,True
SingleLineInfilling/HumanEval/106/L10,True,False,False,True,True,True,True,5,False,False,False,True,True
SingleLineInfilling/HumanEval/106/L2,True,False,True,True,True,True,True,6,False,False,False,False,True
SingleLineInfilling/HumanEval/106/L3,True,False,False,True,True,True,True,5,False,False,False,True,True
SingleLineInfilling/HumanEval/106/L4,False,False,True,True,True,True,True,5,False,False,False,False,True
SingleLineInfilling/HumanEval/106/L5,True,False,False,True,True,True,True,5,False,False,False,True,True
SingleLineInfilling/HumanEval/106/L6,True,False,False,True,True,True,True,5,False,False,False,True,True
SingleLineInfilling/HumanEval/106/L7,True,False,False,True,True,True,True,5,False,False,False,True,True
SingleLineInfilling/HumanEval/106/L8,False,False,True,True,True,True,True,5,False,False,False,False,True
SingleLineInfilling/HumanEval/106/L9,True,False,False,True,True,True,True,5,False,False,False,True,True
SingleLineInfilling/HumanEval/107/L0,True,False,False,True,True,True,True,5,False,False,False,False,True
SingleLineInfilling/HumanEval/107/L1,False,False,True,True,True,True,True,5,False,False,False,False,True
SingleLineInfilling/HumanEval/107/L10,True,False,True,True,True,True,True,6,False,False,False,False,True
SingleLineInfilling/HumanEval/107/L11,False,False,False,True,False,True,True,3,False,False,True,False,True
SingleLineInfilling/HumanEval/107/L3,True,False,True,True,True,True,True,6,False,False,False,False,True
