manifest_index,hard_tail_sample_group,first_pass_taxonomy,source_hard_tail_index,source_manifest_index,source_config,task_id,prompt_id,row_id,task_group,prefix_len_chars,middle_len_chars,suffix_len_chars,prefix_len_tokens,middle_len_tokens,suffix_len_tokens,length_bucket,control_fixed_canvas_tokens,deployable_policy,deployable_probe_lengths,oracle_canvas_tokens,first_pass_control_passed,first_pass_deployable_passed,first_pass_oracle_passed,first_pass_control_selected_canvas_tokens,first_pass_deployable_selected_canvas_tokens,first_pass_oracle_selected_canvas_tokens,frozen_controller_test_row,frozen_controller_test_exclusion_flag,row_key,selection_note
0,deployable_and_oracle_recover_control_failure,deployable_and_oracle_recover_control_failure,0,1,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/95/L8_L8,L8_L8,2584,HumanEval/95,856,22,481,237,3,104,short,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",3,False,True,True,64,3,3,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:2584:MultiLineInfilling/HumanEval/95/L8_L8,fixed_104_case_hard_tail_stress_no_sampling_no_label_changes
1,deployable_and_oracle_recover_control_failure,deployable_and_oracle_recover_control_failure,1,2,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/96/L6_L6,L6_L6,2734,HumanEval/96,552,22,69,209,3,17,short,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",3,False,True,True,64,3,3,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:2734:MultiLineInfilling/HumanEval/96/L6_L6,fixed_104_case_hard_tail_stress_no_sampling_no_label_changes
2,deployable_and_oracle_recover_control_failure,deployable_and_oracle_recover_control_failure,2,4,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/150/L5_L5,L5_L5,5457,HumanEval/150,345,18,27,130,3,8,short,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",3,False,True,True,64,3,3,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:5457:MultiLineInfilling/HumanEval/150/L5_L5,fixed_104_case_hard_tail_stress_no_sampling_no_label_changes
3,rescue_limited_or_noncanvas_failure,rescue_limited_or_noncanvas_failure,3,6,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/1/L16_L16,L16_L16,132,HumanEval/1,907,18,0,216,4,0,short,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",4,False,True,False,64,3,4,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:132:MultiLineInfilling/HumanEval/1/L16_L16,fixed_104_case_hard_tail_stress_no_sampling_no_label_changes
4,deployable_and_oracle_recover_control_failure,deployable_and_oracle_recover_control_failure,4,8,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/5/L1_L1,L1_L1,166,HumanEval/5,307,18,154,105,4,45,short,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",4,False,True,True,64,4,4,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:166:MultiLineInfilling/HumanEval/5/L1_L1,fixed_104_case_hard_tail_stress_no_sampling_no_label_changes
5,rescue_limited_or_noncanvas_failure,rescue_limited_or_noncanvas_failure,5,10,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/2/L0_L0,L0_L0,133,HumanEval/2,332,24,0,87,9,0,medium,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",9,False,False,False,64,3,9,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:133:MultiLineInfilling/HumanEval/2/L0_L0,fixed_104_case_hard_tail_stress_no_sampling_no_label_changes
6,deployable_and_oracle_recover_control_failure,deployable_and_oracle_recover_control_failure,6,11,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/14/L2_L2,L2_L2,400,HumanEval/14,227,33,54,65,9,14,medium,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",9,False,True,True,64,9,9,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:400:MultiLineInfilling/HumanEval/14/L2_L2,fixed_104_case_hard_tail_stress_no_sampling_no_label_changes
7,oracle_only_canvas_recoverable,oracle_only_canvas_recoverable,7,13,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/24/L0_L0,L0_L0,630,HumanEval/24,173,33,44,53,9,14,medium,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",9,False,False,True,64,8,9,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:630:MultiLineInfilling/HumanEval/24/L0_L0,fixed_104_case_hard_tail_stress_no_sampling_no_label_changes
8,rescue_limited_or_noncanvas_failure,rescue_limited_or_noncanvas_failure,8,14,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/25/L0_L1,L0_L1,637,HumanEval/25,450,30,205,134,9,71,medium,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",9,False,False,False,64,5,9,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:637:MultiLineInfilling/HumanEval/25/L0_L1,fixed_104_case_hard_tail_stress_no_sampling_no_label_changes
9,rescue_limited_or_noncanvas_failure,rescue_limited_or_noncanvas_failure,9,15,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/28/L0_L0,L0_L0,721,HumanEval/28,214,28,0,63,9,0,medium,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",9,False,False,False,64,3,9,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:721:MultiLineInfilling/HumanEval/28/L0_L0,fixed_104_case_hard_tail_stress_no_sampling_no_label_changes
10,deployable_and_oracle_recover_control_failure,deployable_and_oracle_recover_control_failure,10,16,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/32/L7_L8,L7_L8,802,HumanEval/32,990,41,42,368,9,9,medium,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",9,False,True,True,64,9,9,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:802:MultiLineInfilling/HumanEval/32/L7_L8,fixed_104_case_hard_tail_stress_no_sampling_no_label_changes
