task_id,policy,oracle_length,oracle_bucket,passed,current_selected_length,proportional_selected_length,new_selected_length,promoted,current_abs_error,new_abs_error,delta_abs_error,improved_length_error,worsened_length_error,current_under_selected,new_under_selected,current_over_selected,new_over_selected,max_probe_length,candidate_count
SingleLineInfilling/HumanEval/0/L0,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,11,9-12,True,11,11,11,False,0,0,0,False,False,False,False,False,False,24,16
SingleLineInfilling/HumanEval/0/L1,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,13,13-16,True,13,13,13,False,0,0,0,False,False,False,False,False,False,24,16
SingleLineInfilling/HumanEval/0/L2,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,8,<=8,True,8,4,8,False,0,0,0,False,False,False,False,False,False,24,16
SingleLineInfilling/HumanEval/0/L3,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,10,9-12,True,10,10,10,False,0,0,0,False,False,False,False,False,False,24,16
SingleLineInfilling/HumanEval/0/L4,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,7,<=8,True,8,8,8,False,1,1,0,False,False,False,False,True,True,24,16
SingleLineInfilling/HumanEval/0/L5,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,4,<=8,True,4,4,4,False,0,0,0,False,False,False,False,False,False,24,16
SingleLineInfilling/HumanEval/0/L7,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,4,<=8,True,3,3,3,False,1,1,0,False,False,True,True,False,False,24,16
SingleLineInfilling/HumanEval/1/L0,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,5,<=8,True,9,9,9,False,4,4,0,False,False,False,False,True,True,24,16
SingleLineInfilling/HumanEval/1/L1,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,6,<=8,True,6,6,6,False,0,0,0,False,False,False,False,False,False,24,16
SingleLineInfilling/HumanEval/1/L2,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,7,<=8,True,6,6,6,False,1,1,0,False,False,True,True,False,False,24,16
SingleLineInfilling/HumanEval/1/L4,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,8,<=8,True,8,8,8,False,0,0,0,False,False,False,False,False,False,24,16
SingleLineInfilling/HumanEval/1/L5,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,7,<=8,True,7,7,7,False,0,0,0,False,False,False,False,False,False,24,16
SingleLineInfilling/HumanEval/1/L6,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,7,<=8,True,7,7,7,False,0,0,0,False,False,False,False,False,False,24,16
SingleLineInfilling/HumanEval/1/L7,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,7,<=8,True,7,7,7,False,0,0,0,False,False,False,False,False,False,24,16
SingleLineInfilling/HumanEval/1/L8,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,7,<=8,True,7,7,7,False,0,0,0,False,False,False,False,False,False,24,16
SingleLineInfilling/HumanEval/1/L9,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,7,<=8,True,7,7,7,False,0,0,0,False,False,False,False,False,False,24,16
SingleLineInfilling/HumanEval/1/L10,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,7,<=8,True,6,6,6,False,1,1,0,False,False,True,True,False,False,24,16
SingleLineInfilling/HumanEval/1/L12,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,9,9-12,True,9,9,9,False,0,0,0,False,False,False,False,False,False,24,16
SingleLineInfilling/HumanEval/1/L13,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,10,9-12,False,7,7,7,False,3,3,0,False,False,True,True,False,False,24,16
SingleLineInfilling/HumanEval/1/L14,base0p985_slope0p02_min0p85_minbase12_maxx1p5_noraw,6,<=8,True,6,6,6,False,0,0,0,False,False,False,False,False,False,24,16
