task_id,pool,best_action,best_passed,best_compile_passed,best_error_type,best_hash
SingleLineInfilling/HumanEval/108/L6,triggered_failed_long,E_oracle_sufficient_no_early_commit,False,False,SyntaxError,165c590cbb71473aa47d583a06d2e9c34209611b8486fd1502af6d9879bd0620
SingleLineInfilling/HumanEval/11/L6,triggered_failed_long,E_oracle_sufficient_no_early_commit,False,False,SyntaxError,51aa013b9769245424bfbe485900214f98d0ff45a992ab45ba197f337a510baf
SingleLineInfilling/HumanEval/115/L0,triggered_failed_long,E_oracle_sufficient_no_early_commit,False,False,SyntaxError,afa603622dd6bc442f71126d949fbc04ed026b47b8d31565ee7c7a6c76619b8a
SingleLineInfilling/HumanEval/121/L0,triggered_failed_long,E_oracle_sufficient_no_early_commit,False,False,SyntaxError,d7fbfc81b20fb89448aa555c51ec900f8c32255f2f224ef8d29b8c518e637e51
SingleLineInfilling/HumanEval/122/L0,triggered_failed_long,E_oracle_sufficient_no_early_commit,False,True,UnitTestFailure,00943cf3b81fafd705429a6e3bbf7b62b4c00dc7da56e43a4b0a7379b99dae21
SingleLineInfilling/HumanEval/125/L5,triggered_failed_long,E_oracle_sufficient_no_early_commit,False,False,SyntaxError,cea5448019cc293d7a4eeec360b71ddbff96b64efbf7d69fbeef86e553b2a8d7
SingleLineInfilling/HumanEval/134/L2,triggered_failed_long,E_oracle_sufficient_no_early_commit,False,False,SyntaxError,ba3342909f88695ed11c41950bd12ad8061eff2cf1c199d529e426f01a5d9fe2
SingleLineInfilling/HumanEval/136/L2,triggered_failed_long,E_oracle_sufficient_no_early_commit,False,False,SyntaxError,44b211cc015ee5df5991c67bdd450e92479ec6db0685e6fb302fc33e2123ce24
SingleLineInfilling/HumanEval/15/L0,triggered_failed_long,E_oracle_sufficient_no_early_commit,False,False,SyntaxError,b6bac27541f7f3022bb9620bcc0941b4e2ae6dec3123f6c49d8d08848a9fc333
SingleLineInfilling/HumanEval/151/L0,triggered_failed_long,E_oracle_sufficient_no_early_commit,False,False,SyntaxError,085143edbe280fa1bdee2cfeae9f6546292dacf2a39a25f7a011d016dd10e2ec
SingleLineInfilling/HumanEval/152/L0,triggered_failed_long,E_oracle_sufficient_no_early_commit,False,True,UnitTestFailure,e7a9ca23ba958746108bf1e450657775d722541abfae7e05c83a377ad552bd3d
SingleLineInfilling/HumanEval/157/L0,triggered_failed_long,E_oracle_sufficient_no_early_commit,False,True,UnitTestFailure,fffd480cfe71cd908790fede586756d9290930f34b2cfe3a440a9b1b74ae7c99
SingleLineInfilling/HumanEval/158/L0,triggered_failed_long,E_oracle_sufficient_no_early_commit,False,False,SyntaxError,f88bcd4aeabe44e1582d555d0ff2c1002bc289db3a43849e9d20e6bdf59c7243
SingleLineInfilling/HumanEval/162/L1,triggered_failed_long,E_oracle_sufficient_no_early_commit,False,False,SyntaxError,1726e8b95c356e4927b76b16312571d6e99921616228c38934329bd2ef50de2e
SingleLineInfilling/HumanEval/163/L3,triggered_failed_long,E_oracle_sufficient_no_early_commit,False,True,UnitTestFailure,b5de22a512312438763e0a22cc2c6415891f72ea98c9c006252071013dc4de0a
SingleLineInfilling/HumanEval/17/L1,triggered_failed_long,E_oracle_sufficient_no_early_commit,False,True,UnitTestFailure,6dd6a530cc08783c24983bbc18e617228b124648f58f3f004653a2cce32974ae
SingleLineInfilling/HumanEval/19/L12,triggered_failed_long,E_oracle_sufficient_no_early_commit,False,False,SyntaxError,fa43b8986c1526ddf2670a5bc1e83274aecef7fae2106321ee1054f7559fd3fc
SingleLineInfilling/HumanEval/21/L2,triggered_failed_long,E_oracle_sufficient_no_early_commit,False,False,SyntaxError,ab2e64d50ffe4a4bc76195c87f5e73bcb8e69076e66885d2d19c334b97a995f2
SingleLineInfilling/HumanEval/26/L2,triggered_failed_long,E_oracle_sufficient_no_early_commit,False,False,SyntaxError,e834075e692a1d6e860dfc0693dc130c87afe77431e47cea26478d9ab19b904f
SingleLineInfilling/HumanEval/4/L1,triggered_failed_long,E_oracle_sufficient_no_early_commit,False,False,SyntaxError,2e67c68dfa8d9f07aa5afbf9c47f0acc31bb719fe0d0785ed43d8f44e980d900
