hard_tail_index,source_manifest_index,source_config,task_id,prompt_id,row_id,task_group,length_bucket,middle_len_tokens,control_passed,deployable_passed,oracle_passed,first_pass_taxonomy,primary_hard_tail_candidate,hard_tail_reason,control_selected_canvas_tokens,deployable_selected_canvas_tokens,oracle_selected_canvas_tokens,frozen_controller_test_row,source_first_pass_manifest,source_first_pass_results
0,1,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/95/L8_L8,L8_L8,2584,HumanEval/95,short,3,False,True,True,deployable_and_oracle_recover_control_failure,True,deployable_and_oracle_recover_control_failure,64,3,3,False,analysis_outputs/second_regime_official_diagnostic_20260708_v1/manifest.csv,analysis_outputs/second_regime_official_diagnostic_20260708_v1/results.csv
1,2,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/96/L6_L6,L6_L6,2734,HumanEval/96,short,3,False,True,True,deployable_and_oracle_recover_control_failure,True,deployable_and_oracle_recover_control_failure,64,3,3,False,analysis_outputs/second_regime_official_diagnostic_20260708_v1/manifest.csv,analysis_outputs/second_regime_official_diagnostic_20260708_v1/results.csv
2,4,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/150/L5_L5,L5_L5,5457,HumanEval/150,short,3,False,True,True,deployable_and_oracle_recover_control_failure,True,deployable_and_oracle_recover_control_failure,64,3,3,False,analysis_outputs/second_regime_official_diagnostic_20260708_v1/manifest.csv,analysis_outputs/second_regime_official_diagnostic_20260708_v1/results.csv
3,6,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/1/L16_L16,L16_L16,132,HumanEval/1,short,4,False,True,False,rescue_limited_or_noncanvas_failure,True,rescue_limited_or_noncanvas_failure,64,3,4,False,analysis_outputs/second_regime_official_diagnostic_20260708_v1/manifest.csv,analysis_outputs/second_regime_official_diagnostic_20260708_v1/results.csv
4,8,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/5/L1_L1,L1_L1,166,HumanEval/5,short,4,False,True,True,deployable_and_oracle_recover_control_failure,True,deployable_and_oracle_recover_control_failure,64,4,4,False,analysis_outputs/second_regime_official_diagnostic_20260708_v1/manifest.csv,analysis_outputs/second_regime_official_diagnostic_20260708_v1/results.csv
5,10,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/2/L0_L0,L0_L0,133,HumanEval/2,medium,9,False,False,False,rescue_limited_or_noncanvas_failure,True,rescue_limited_or_noncanvas_failure,64,3,9,False,analysis_outputs/second_regime_official_diagnostic_20260708_v1/manifest.csv,analysis_outputs/second_regime_official_diagnostic_20260708_v1/results.csv
6,11,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/14/L2_L2,L2_L2,400,HumanEval/14,medium,9,False,True,True,deployable_and_oracle_recover_control_failure,True,deployable_and_oracle_recover_control_failure,64,9,9,False,analysis_outputs/second_regime_official_diagnostic_20260708_v1/manifest.csv,analysis_outputs/second_regime_official_diagnostic_20260708_v1/results.csv
7,13,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/24/L0_L0,L0_L0,630,HumanEval/24,medium,9,False,False,True,oracle_only_canvas_recoverable,True,oracle_only_canvas_recoverable,64,8,9,False,analysis_outputs/second_regime_official_diagnostic_20260708_v1/manifest.csv,analysis_outputs/second_regime_official_diagnostic_20260708_v1/results.csv
8,14,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/25/L0_L1,L0_L1,637,HumanEval/25,medium,9,False,False,False,rescue_limited_or_noncanvas_failure,True,rescue_limited_or_noncanvas_failure,64,5,9,False,analysis_outputs/second_regime_official_diagnostic_20260708_v1/manifest.csv,analysis_outputs/second_regime_official_diagnostic_20260708_v1/results.csv
9,15,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/28/L0_L0,L0_L0,721,HumanEval/28,medium,9,False,False,False,rescue_limited_or_noncanvas_failure,True,rescue_limited_or_noncanvas_failure,64,3,9,False,analysis_outputs/second_regime_official_diagnostic_20260708_v1/manifest.csv,analysis_outputs/second_regime_official_diagnostic_20260708_v1/results.csv
10,16,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/32/L7_L8,L7_L8,802,HumanEval/32,medium,9,False,True,True,deployable_and_oracle_recover_control_failure,True,deployable_and_oracle_recover_control_failure,64,9,9,False,analysis_outputs/second_regime_official_diagnostic_20260708_v1/manifest.csv,analysis_outputs/second_regime_official_diagnostic_20260708_v1/results.csv
