manifest_index,source_config,task_id,prompt_id,row_id,task_group,prefix_len_chars,middle_len_chars,suffix_len_chars,prefix_len_tokens,middle_len_tokens,suffix_len_tokens,length_bucket,selected_canvas_metadata_available,control_fixed_canvas_tokens,deployable_policy,deployable_probe_lengths,oracle_canvas_tokens,frozen_controller_test_row,frozen_controller_test_exclusion_flag,evaluator_smoke_selected,evaluator_smoke_status,evaluator_smoke_tier1,evaluator_smoke_tier2,evaluator_smoke_tier3,evaluator_smoke_error,row_key
0,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/19/L11_L11,L11_L11,514,HumanEval/19,590,6,94,196,3,27,short,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",3,False,included_not_frozen_controller_test,True,passed,True,True,True,,HumanEval-MultiLineInfilling:514:MultiLineInfilling/HumanEval/19/L11_L11
1,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/95/L8_L8,L8_L8,2584,HumanEval/95,856,22,481,237,3,104,short,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",3,False,included_not_frozen_controller_test,False,not_smoked,,,,,HumanEval-MultiLineInfilling:2584:MultiLineInfilling/HumanEval/95/L8_L8
2,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/96/L6_L6,L6_L6,2734,HumanEval/96,552,22,69,209,3,17,short,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",3,False,included_not_frozen_controller_test,False,not_smoked,,,,,HumanEval-MultiLineInfilling:2734:MultiLineInfilling/HumanEval/96/L6_L6
3,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/105/L10_L10,L10_L10,3161,HumanEval/105,992,6,189,372,3,51,short,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",3,False,included_not_frozen_controller_test,False,not_smoked,,,,,HumanEval-MultiLineInfilling:3161:MultiLineInfilling/HumanEval/105/L10_L10
4,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/150/L5_L5,L5_L5,5457,HumanEval/150,345,18,27,130,3,8,short,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",3,False,included_not_frozen_controller_test,False,not_smoked,,,,,HumanEval-MultiLineInfilling:5457:MultiLineInfilling/HumanEval/150/L5_L5
5,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/0/L5_L5,L5_L5,25,HumanEval/0,550,32,18,176,4,5,short,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",4,False,included_not_frozen_controller_test,False,not_smoked,,,,,HumanEval-MultiLineInfilling:25:MultiLineInfilling/HumanEval/0/L5_L5
6,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/1/L16_L16,L16_L16,132,HumanEval/1,907,18,0,216,4,0,short,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",4,False,included_not_frozen_controller_test,False,not_smoked,,,,,HumanEval-MultiLineInfilling:132:MultiLineInfilling/HumanEval/1/L16_L16
7,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/3/L5_L5,L5_L5,152,HumanEval/3,537,24,18,147,4,5,short,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",4,False,included_not_frozen_controller_test,False,not_smoked,,,,,HumanEval-MultiLineInfilling:152:MultiLineInfilling/HumanEval/3/L5_L5
8,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/5/L1_L1,L1_L1,166,HumanEval/5,307,18,154,105,4,45,short,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",4,False,included_not_frozen_controller_test,False,not_smoked,,,,,HumanEval-MultiLineInfilling:166:MultiLineInfilling/HumanEval/5/L1_L1
9,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/6/L7_L7,L7_L7,250,HumanEval/6,628,18,126,174,4,34,short,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",4,False,included_not_frozen_controller_test,False,not_smoked,,,,,HumanEval-MultiLineInfilling:250:MultiLineInfilling/HumanEval/6/L7_L7
