manifest_index,source_config,task_id,prompt_id,row_id,task_group,prefix_len_chars,middle_len_chars,suffix_len_chars,prefix_len_tokens,middle_len_tokens,suffix_len_tokens,length_bucket,selected_canvas_metadata_available,control_fixed_canvas_tokens,deployable_policy,deployable_probe_lengths,oracle_canvas_tokens,frozen_controller_test_row,frozen_controller_test_exclusion_flag,row_key,official_full_allowed_note
0,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/0/L0_L0,L0_L0,0,HumanEval/0,349,41,211,128,11,47,medium,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",11,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:0:MultiLineInfilling/HumanEval/0/L0_L0,all_official_rows_except_frozen_controller_test_groups
1,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/0/L0_L1,L0_L1,1,HumanEval/0,349,88,164,128,24,34,long,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",24,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:1:MultiLineInfilling/HumanEval/0/L0_L1,all_official_rows_except_frozen_controller_test_groups
2,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/0/L0_L2,L0_L2,2,HumanEval/0,349,116,136,128,32,26,extreme,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",32,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:2:MultiLineInfilling/HumanEval/0/L0_L2,all_official_rows_except_frozen_controller_test_groups
3,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/0/L0_L3,L0_L3,3,HumanEval/0,349,161,91,128,42,16,extreme,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",42,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:3:MultiLineInfilling/HumanEval/0/L0_L3,all_official_rows_except_frozen_controller_test_groups
4,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/0/L0_L4,L0_L4,4,HumanEval/0,349,202,50,128,49,9,extreme,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",49,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:4:MultiLineInfilling/HumanEval/0/L0_L4,all_official_rows_except_frozen_controller_test_groups
5,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/0/L0_L5,L0_L5,5,HumanEval/0,349,234,18,128,53,5,extreme,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",53,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:5:MultiLineInfilling/HumanEval/0/L0_L5,all_official_rows_except_frozen_controller_test_groups
6,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/0/L0_L7,L0_L7,6,HumanEval/0,349,252,0,128,58,0,extreme,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",58,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:6:MultiLineInfilling/HumanEval/0/L0_L7,all_official_rows_except_frozen_controller_test_groups
7,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/0/L1_L1,L1_L1,7,HumanEval/0,389,47,164,138,13,34,medium,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",13,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:7:MultiLineInfilling/HumanEval/0/L1_L1,all_official_rows_except_frozen_controller_test_groups
8,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/0/L1_L2,L1_L2,8,HumanEval/0,389,75,136,138,21,26,long,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",21,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:8:MultiLineInfilling/HumanEval/0/L1_L2,all_official_rows_except_frozen_controller_test_groups
9,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/0/L1_L3,L1_L3,9,HumanEval/0,389,120,91,138,31,16,extreme,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",31,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:9:MultiLineInfilling/HumanEval/0/L1_L3,all_official_rows_except_frozen_controller_test_groups
10,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/0/L1_L4,L1_L4,10,HumanEval/0,389,161,50,138,38,9,extreme,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",38,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:10:MultiLineInfilling/HumanEval/0/L1_L4,all_official_rows_except_frozen_controller_test_groups
11,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/0/L1_L5,L1_L5,11,HumanEval/0,389,193,18,138,42,5,extreme,False,64,cal_lite_length_power_alpha006,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,24",42,False,included_not_frozen_controller_test,HumanEval-MultiLineInfilling:11:MultiLineInfilling/HumanEval/0/L1_L5,all_official_rows_except_frozen_controller_test_groups
