manifest_index,hard_tail_sample_group,first_pass_taxonomy,current_taxonomy,label_changed_from_first_pass,source_config,task_id,row_id,task_group,length_bucket,middle_len_tokens,first_pass_control_passed,first_pass_deployable_passed,first_pass_oracle_passed,current_control_passed,current_deployable_passed,current_oracle_passed,genuinely_canvas_recoverable_now,rescue_limited_or_noncanvas_now,deployable_cal_lite_help_now,deployable_cal_lite_harm_now,oracle_canvas_harm_vs_control_now,control_fixed64_selected_canvas_tokens,control_fixed64_error_type,control_fixed64_candidate_full_code_sha256,best_deployable_cal_lite_alpha006_selected_canvas_tokens,best_deployable_cal_lite_alpha006_error_type,best_deployable_cal_lite_alpha006_candidate_full_code_sha256,oracle_sufficient_canvas_selected_canvas_tokens,oracle_sufficient_canvas_error_type,oracle_sufficient_canvas_candidate_full_code_sha256
0,deployable_and_oracle_recover_control_failure,deployable_and_oracle_recover_control_failure,deployable_and_oracle_recover_control_failure,False,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/95/L8_L8,2584,HumanEval/95,short,3,False,True,True,False,True,True,True,False,True,False,False,64,UnitTestFailure,77bc490e4a7b5e644e214e950cfb26b2387df43905b716f9aba746fb42e75b4c,3,,ae78bda3ea64bac636429fcfbff2ddbecc41552c57997c1772257ce8c0c96d19,3,,ae78bda3ea64bac636429fcfbff2ddbecc41552c57997c1772257ce8c0c96d19
1,deployable_and_oracle_recover_control_failure,deployable_and_oracle_recover_control_failure,deployable_and_oracle_recover_control_failure,False,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/96/L6_L6,2734,HumanEval/96,short,3,False,True,True,False,True,True,True,False,True,False,False,64,UnitTestFailure,8c332d73729714c93ed278299cc4a53cb171da89978844eeea66946fd604af13,3,,f45a250f0bb385f1d6fef6f54f5ff412d62d0e629e63c6d9fbdee7f072cf18ba,3,,f45a250f0bb385f1d6fef6f54f5ff412d62d0e629e63c6d9fbdee7f072cf18ba
2,deployable_and_oracle_recover_control_failure,deployable_and_oracle_recover_control_failure,deployable_and_oracle_recover_control_failure,False,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/150/L5_L5,5457,HumanEval/150,short,3,False,True,True,False,True,True,True,False,True,False,False,64,UnitTestFailure,c2bea4cded4922e6d086b5f849ae4e5c7142c47b72c9798854e6567d13bb4043,3,,d8e5b04576d26a538e4ea07d2b5a8bd45dc6d8e2f1aba74cb6c14aae824e1f5e,3,,d8e5b04576d26a538e4ea07d2b5a8bd45dc6d8e2f1aba74cb6c14aae824e1f5e
3,rescue_limited_or_noncanvas_failure,rescue_limited_or_noncanvas_failure,rescue_limited_or_noncanvas_failure,False,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/1/L16_L16,132,HumanEval/1,short,4,False,True,False,False,True,False,False,True,True,False,False,64,SyntaxError,994f1168e8cc48d3b4923c8ee50f75007f9cffe2f1da090fa62161f244f2eefe,3,,d6a89900fbaca83f813b1b5e16240b80ed7557099cdf1ab0d72bf1a37a856171,4,SyntaxError,88bc71f49dcbc3ce52833fc695ec2d81c9122a95c0fb28489289f594e4266dca
4,deployable_and_oracle_recover_control_failure,deployable_and_oracle_recover_control_failure,deployable_and_oracle_recover_control_failure,False,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/5/L1_L1,166,HumanEval/5,short,4,False,True,True,False,True,True,True,False,True,False,False,64,UnitTestFailure,9e096ba87374104b434f7ba4b7c06976fa4d2c04dbb81342c1ca5d7a228dc2fa,4,,e29d7eff9cf73491f718294c6990a771fa0c8093d19845e682c5e7924c2a6811,4,,e29d7eff9cf73491f718294c6990a771fa0c8093d19845e682c5e7924c2a6811
5,rescue_limited_or_noncanvas_failure,rescue_limited_or_noncanvas_failure,rescue_limited_or_noncanvas_failure,False,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/2/L0_L0,133,HumanEval/2,medium,9,False,False,False,False,False,False,False,True,False,False,False,64,SyntaxError,db41694ae11a8a078afacc330717418e0eb466c5178141e382eeaf1260ed48bd,3,SyntaxError,2a16008179dc3d802a9d484c4e180023a7dcf7b5a7ded627849ad467002e721e,9,UnitTestFailure,401258d1cb76c1d87d19c8067b1b40c0ce08ad18411c0220e5573dbf6265fc5f
6,deployable_and_oracle_recover_control_failure,deployable_and_oracle_recover_control_failure,deployable_and_oracle_recover_control_failure,False,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/14/L2_L2,400,HumanEval/14,medium,9,False,True,True,False,True,True,True,False,True,False,False,64,UnitTestFailure,c73efdff7d35a6c9e6630c1b6232a65dae182c14f4716ac7d55760f82dfb23dd,9,,e8cd7aa1d5ff0f57886eaadfc33f200e424171a9135ba39f7a23436921c2014b,9,,e8cd7aa1d5ff0f57886eaadfc33f200e424171a9135ba39f7a23436921c2014b
7,oracle_only_canvas_recoverable,oracle_only_canvas_recoverable,oracle_only_canvas_recoverable,False,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/24/L0_L0,630,HumanEval/24,medium,9,False,False,True,False,False,True,True,False,False,False,False,64,UnitTestFailure,19c311eedde27ccc61088a0dd6f779ca59979e22a88cafe6bf2d8f8282feb9b6,8,UnitTestFailure,e1676d78e72195de85df81c81e6790b7ee9d5a91a45fbe22b45480c166b2ef42,9,,672f1285e171eb9993a3fbdbdba30a95e447339956f0b4388dea29f08fedf042
8,rescue_limited_or_noncanvas_failure,rescue_limited_or_noncanvas_failure,rescue_limited_or_noncanvas_failure,False,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/25/L0_L1,637,HumanEval/25,medium,9,False,False,False,False,False,False,False,True,False,False,False,64,UnitTestFailure,7fe055915d8b92c60a08043dbdb570945238abe0dfab3f1b1dc4493f5e480db9,5,UnitTestFailure,c3dbc4c958d91c701e4a7c952228556f700bb7cddc32861356f03f94c31bb45d,9,UnitTestFailure,05000751d338c4c43c74c442580f0b21bcf115fe11d786ae8337300eb0a353e8
9,rescue_limited_or_noncanvas_failure,rescue_limited_or_noncanvas_failure,rescue_limited_or_noncanvas_failure,False,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/28/L0_L0,721,HumanEval/28,medium,9,False,False,False,False,False,False,False,True,False,False,False,64,SyntaxError,7f5b879c68adfb603f48fda406f81b194e2abff855be9552d2f017c82af32e07,3,SyntaxError,9b93a61e2aa751570643391ffaf836864f6b15f6f81d1ebbde8359c9355e6ea0,9,UnitTestFailure,15bf5122a1def3195d356759f12f23a33a6aff5bb658a57d06fec50af001a798
