task_id,generated_text_sha256,action_count,actions
SingleLineInfilling/HumanEval/10/L5,0eb4a9f34fab2d76197dd28bd269312ab310033ff9dff6cc8f8fb68010cf68ec,3,E_oracle_sufficient_no_early_commit;F_oracle_sufficient_trace_remask;G_oracle_sufficient_trace_span_remask
SingleLineInfilling/HumanEval/104/L2,1952b01d64111379e06bb00705e62f91311966a7deaa02a1e75dbbc2a7d6aad3,3,E_oracle_sufficient_no_early_commit;F_oracle_sufficient_trace_remask;G_oracle_sufficient_trace_span_remask
SingleLineInfilling/HumanEval/107/L7,400c50eeb40e4512f3be8716791624f3f8700b05527e4a6ccb8751ad4f095a26,1,F_oracle_sufficient_trace_remask
SingleLineInfilling/HumanEval/107/L7,ab011ec151c3db197231ab3d7d6f76e5abec1650d7484410c87ef01fcaaf8021,2,E_oracle_sufficient_no_early_commit;G_oracle_sufficient_trace_span_remask
SingleLineInfilling/HumanEval/107/L9,0fb01e293ef92f8afaa735a1166569237eaf5b75cf8c8218254f0f67cb6fd6cc,2,E_oracle_sufficient_no_early_commit;F_oracle_sufficient_trace_remask
SingleLineInfilling/HumanEval/107/L9,d565d638dcdf1f5cd48287fa6938a6c03280b0f1bc8a0722ad1c99cce3f3e732,1,G_oracle_sufficient_trace_span_remask
SingleLineInfilling/HumanEval/108/L2,391cc8305e7a1252a2de80ef31c0ba585d1ed55e318aff3886ba54363bf093ac,1,F_oracle_sufficient_trace_remask
SingleLineInfilling/HumanEval/108/L2,6ff137a5ebd22ce9de442ed4927ecb6f92b6dd1a06fc68a57d2be93cf7221af5,1,E_oracle_sufficient_no_early_commit
SingleLineInfilling/HumanEval/108/L2,871bd8f28df9842878fc452c42e5aeb43cedeb1f1390e6f5ac26d1f4bc361bc6,1,G_oracle_sufficient_trace_span_remask
SingleLineInfilling/HumanEval/108/L6,165c590cbb71473aa47d583a06d2e9c34209611b8486fd1502af6d9879bd0620,3,E_oracle_sufficient_no_early_commit;F_oracle_sufficient_trace_remask;G_oracle_sufficient_trace_span_remask
SingleLineInfilling/HumanEval/109/L7,128f706f6ed8b1f6c9b0a43c799e7cdfaf2f725bd1522f2e97aa2bf303b605af,2,F_oracle_sufficient_trace_remask;G_oracle_sufficient_trace_span_remask
SingleLineInfilling/HumanEval/109/L7,45460b7160bb8ed3b749f1b6187241c76106481c07811ae92e6b3b544be7bd77,1,E_oracle_sufficient_no_early_commit
SingleLineInfilling/HumanEval/11/L6,51aa013b9769245424bfbe485900214f98d0ff45a992ab45ba197f337a510baf,3,E_oracle_sufficient_no_early_commit;F_oracle_sufficient_trace_remask;G_oracle_sufficient_trace_span_remask
SingleLineInfilling/HumanEval/112/L0,4e233a213fb20987588d20742290f03ee8724e129c7d8e1b74508d9bdb1fbcd8,3,E_oracle_sufficient_no_early_commit;F_oracle_sufficient_trace_remask;G_oracle_sufficient_trace_span_remask
SingleLineInfilling/HumanEval/113/L3,7f835d0008b6dec3b1be2ede02ed8ec350629c04ba9169da7934ee85886b5a2f,2,E_oracle_sufficient_no_early_commit;G_oracle_sufficient_trace_span_remask
SingleLineInfilling/HumanEval/113/L3,9cb32a957675503e43d748232733ad1ba7989ccd78b69e4ac20287ad94015bda,1,F_oracle_sufficient_trace_remask
SingleLineInfilling/HumanEval/115/L0,afa603622dd6bc442f71126d949fbc04ed026b47b8d31565ee7c7a6c76619b8a,3,E_oracle_sufficient_no_early_commit;F_oracle_sufficient_trace_remask;G_oracle_sufficient_trace_span_remask
SingleLineInfilling/HumanEval/116/L0,94d3d9067fb51db3a18f5893eac2fc25f3ae0f54999c46939685b31c7cbe403c,3,E_oracle_sufficient_no_early_commit;F_oracle_sufficient_trace_remask;G_oracle_sufficient_trace_span_remask
