row_key,group_key,length_bucket_offline_only,fixed64_passed,combined_candidate_key,combined_passed,confidence_candidate_key,confidence_passed,prefix_only_candidate_key,prefix_only_passed,suffix_only_candidate_key,suffix_only_passed,token_canvas_candidate_key,token_canvas_passed
HumanEval-RandomSpanInfillingLight:0:e6406c38161ca2e1,de004141fa5f04d8,long,False,HumanEval-RandomSpanInfillingLight:0:e6406c38161ca2e1|deployable_grid|canvas=128|seed=0,True,HumanEval-RandomSpanInfillingLight:0:e6406c38161ca2e1|deployable_grid|canvas=16|seed=0,False,HumanEval-RandomSpanInfillingLight:0:e6406c38161ca2e1|deployable_grid|canvas=32|seed=0,False,HumanEval-RandomSpanInfillingLight:0:e6406c38161ca2e1|deployable_grid|canvas=16|seed=0,False,HumanEval-RandomSpanInfillingLight:0:e6406c38161ca2e1|deployable_grid|canvas=16|seed=0,False
HumanEval-RandomSpanInfillingLight:100:c227591dff456955,55c76a456c2cba4b,short,False,HumanEval-RandomSpanInfillingLight:100:c227591dff456955|deployable_grid|canvas=16|seed=0,False,HumanEval-RandomSpanInfillingLight:100:c227591dff456955|deployable_grid|canvas=16|seed=0,False,HumanEval-RandomSpanInfillingLight:100:c227591dff456955|deployable_grid|canvas=16|seed=0,False,HumanEval-RandomSpanInfillingLight:100:c227591dff456955|deployable_grid|canvas=16|seed=0,False,HumanEval-RandomSpanInfillingLight:100:c227591dff456955|deployable_grid|canvas=16|seed=0,False
HumanEval-RandomSpanInfillingLight:101:13fa16e6f794534c,722b8e4a38486637,extreme,False,HumanEval-RandomSpanInfillingLight:101:13fa16e6f794534c|deployable_grid|canvas=64|seed=0,False,HumanEval-RandomSpanInfillingLight:101:13fa16e6f794534c|deployable_grid|canvas=16|seed=0,False,HumanEval-RandomSpanInfillingLight:101:13fa16e6f794534c|deployable_grid|canvas=16|seed=0,False,HumanEval-RandomSpanInfillingLight:101:13fa16e6f794534c|deployable_grid|canvas=64|seed=0,False,HumanEval-RandomSpanInfillingLight:101:13fa16e6f794534c|deployable_grid|canvas=16|seed=0,False
HumanEval-RandomSpanInfillingLight:102:3099eac395ec191d,d97dcdfd8a0bff7f,extreme,False,HumanEval-RandomSpanInfillingLight:102:3099eac395ec191d|deployable_grid|canvas=128|seed=0,False,HumanEval-RandomSpanInfillingLight:102:3099eac395ec191d|deployable_grid|canvas=16|seed=0,False,HumanEval-RandomSpanInfillingLight:102:3099eac395ec191d|deployable_grid|canvas=16|seed=0,False,HumanEval-RandomSpanInfillingLight:102:3099eac395ec191d|deployable_grid|canvas=128|seed=0,False,HumanEval-RandomSpanInfillingLight:102:3099eac395ec191d|deployable_grid|canvas=16|seed=0,False
HumanEval-RandomSpanInfillingLight:103:5b2e1f462db027d0,9e2dd7404c2b39a9,medium,False,HumanEval-RandomSpanInfillingLight:103:5b2e1f462db027d0|deployable_grid|canvas=128|seed=0,False,HumanEval-RandomSpanInfillingLight:103:5b2e1f462db027d0|deployable_grid|canvas=32|seed=0,False,HumanEval-RandomSpanInfillingLight:103:5b2e1f462db027d0|deployable_grid|canvas=16|seed=0,False,HumanEval-RandomSpanInfillingLight:103:5b2e1f462db027d0|deployable_grid|canvas=128|seed=0,False,HumanEval-RandomSpanInfillingLight:103:5b2e1f462db027d0|deployable_grid|canvas=16|seed=0,False
HumanEval-RandomSpanInfillingLight:104:af1bf2bce61d5220,397d5b2bac2ae318,extreme,False,HumanEval-RandomSpanInfillingLight:104:af1bf2bce61d5220|deployable_grid|canvas=32|seed=0,False,HumanEval-RandomSpanInfillingLight:104:af1bf2bce61d5220|deployable_grid|canvas=16|seed=0,False,HumanEval-RandomSpanInfillingLight:104:af1bf2bce61d5220|deployable_grid|canvas=16|seed=0,False,HumanEval-RandomSpanInfillingLight:104:af1bf2bce61d5220|deployable_grid|canvas=16|seed=0,False,HumanEval-RandomSpanInfillingLight:104:af1bf2bce61d5220|deployable_grid|canvas=16|seed=0,False
HumanEval-RandomSpanInfillingLight:105:fa758bbf5d8c15c9,53206c6f845a627d,extreme,True,HumanEval-RandomSpanInfillingLight:105:fa758bbf5d8c15c9|deployable_grid|canvas=128|seed=0,False,HumanEval-RandomSpanInfillingLight:105:fa758bbf5d8c15c9|deployable_grid|canvas=16|seed=0,False,HumanEval-RandomSpanInfillingLight:105:fa758bbf5d8c15c9|deployable_grid|canvas=128|seed=0,False,HumanEval-RandomSpanInfillingLight:105:fa758bbf5d8c15c9|deployable_grid|canvas=16|seed=0,False,HumanEval-RandomSpanInfillingLight:105:fa758bbf5d8c15c9|deployable_grid|canvas=16|seed=0,False
HumanEval-RandomSpanInfillingLight:106:b51a2cdff945eab5,7b2ff5ea9ad039ab,extreme,True,HumanEval-RandomSpanInfillingLight:106:b51a2cdff945eab5|deployable_grid|canvas=64|seed=0,True,HumanEval-RandomSpanInfillingLight:106:b51a2cdff945eab5|deployable_grid|canvas=16|seed=0,False,HumanEval-RandomSpanInfillingLight:106:b51a2cdff945eab5|deployable_grid|canvas=64|seed=0,True,HumanEval-RandomSpanInfillingLight:106:b51a2cdff945eab5|deployable_grid|canvas=64|seed=0,True,HumanEval-RandomSpanInfillingLight:106:b51a2cdff945eab5|deployable_grid|canvas=16|seed=0,False
HumanEval-RandomSpanInfillingLight:107:0e97ae6697ff5e3b,29891416012beeb6,extreme,False,HumanEval-RandomSpanInfillingLight:107:0e97ae6697ff5e3b|deployable_grid|canvas=128|seed=0,True,HumanEval-RandomSpanInfillingLight:107:0e97ae6697ff5e3b|deployable_grid|canvas=64|seed=0,False,HumanEval-RandomSpanInfillingLight:107:0e97ae6697ff5e3b|deployable_grid|canvas=128|seed=0,True,HumanEval-RandomSpanInfillingLight:107:0e97ae6697ff5e3b|deployable_grid|canvas=16|seed=0,False,HumanEval-RandomSpanInfillingLight:107:0e97ae6697ff5e3b|deployable_grid|canvas=16|seed=0,False
HumanEval-RandomSpanInfillingLight:108:4f11cd9cc099930e,1b5f9dbe9a1eedfb,extreme,False,HumanEval-RandomSpanInfillingLight:108:4f11cd9cc099930e|deployable_grid|canvas=64|seed=0,False,HumanEval-RandomSpanInfillingLight:108:4f11cd9cc099930e|deployable_grid|canvas=128|seed=0,False,HumanEval-RandomSpanInfillingLight:108:4f11cd9cc099930e|deployable_grid|canvas=16|seed=0,False,HumanEval-RandomSpanInfillingLight:108:4f11cd9cc099930e|deployable_grid|canvas=16|seed=0,False,HumanEval-RandomSpanInfillingLight:108:4f11cd9cc099930e|deployable_grid|canvas=16|seed=0,False
HumanEval-RandomSpanInfillingLight:109:a20e909443740a0e,372fcc217ece0990,medium,False,HumanEval-RandomSpanInfillingLight:109:a20e909443740a0e|deployable_grid|canvas=64|seed=0,False,HumanEval-RandomSpanInfillingLight:109:a20e909443740a0e|deployable_grid|canvas=16|seed=0,True,HumanEval-RandomSpanInfillingLight:109:a20e909443740a0e|deployable_grid|canvas=64|seed=0,False,HumanEval-RandomSpanInfillingLight:109:a20e909443740a0e|deployable_grid|canvas=32|seed=0,False,HumanEval-RandomSpanInfillingLight:109:a20e909443740a0e|deployable_grid|canvas=16|seed=0,True
