manifest_index,source_config,task_id,prompt_id,row_id,task_group,length_bucket,policy,status,passed,prefix_len_tokens,middle_len_tokens,suffix_len_tokens,oracle_canvas_tokens,selected_canvas_tokens,selected_minus_oracle,abs_selected_minus_oracle,mask_length_source,selected_score,selected_raw_score,selected_adjusted_score,compile_passed,tier2_smoke_exec_passed,tier3_unit_tests_passed,error_type,error_message,candidate_full_code_sha256,candidate_middle_sha256,total_sec_including_probe,decode_sec,verification_sec,length_probe_sec,mean_final_confidence
0,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/19/L11_L11,L11_L11,514,HumanEval/19,short,control_fixed64,ok,True,196,3,27,3,64,61,61,fixed,,,,True,True,True,,,5227252d8dd8e672e82cdd569c8b6f1d50871d16fdbc29272a9d2c47af3396ba,b62bbffd0fdbfa2586a720b34949846cfe92efb42f58fc81d70ca33fdeea38de,1.7279289630241692,1.6237274429877289,0.10420152003644034,0.0,0.97265625
1,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/95/L8_L8,L8_L8,2584,HumanEval/95,short,control_fixed64,ok,False,237,3,104,3,64,61,61,fixed,,,,True,True,False,UnitTestFailure,failed: First test error: False,77bc490e4a7b5e644e214e950cfb26b2387df43905b716f9aba746fb42e75b4c,f2455f7a4bfd80e393bd4b789a71b31eca7a55df7025bcdb7c2b2cc90a5c7706,1.7020892530563287,1.6005006689811125,0.1015885840752162,0.0,0.97265625
2,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/96/L6_L6,L6_L6,2734,HumanEval/96,short,control_fixed64,ok,False,209,3,17,3,64,61,61,fixed,,,,True,True,False,UnitTestFailure,failed: ,8c332d73729714c93ed278299cc4a53cb171da89978844eeea66946fd604af13,4bf80cc0b956cc940dc4f23aef3ebd1d191d3a49f5f2c81e2c5ee1d512f8a821,1.4984014250221662,1.3950924170203507,0.10330900800181553,0.0,0.984375
3,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/105/L10_L10,L10_L10,3161,HumanEval/105,short,control_fixed64,ok,True,372,3,51,3,64,61,61,fixed,,,,True,True,True,,,bcb95d9b293d07dddb84102927e7ee8e2572d76a33d5c9085f577206637d7e3e,1c5d81ea07e9e3264b3d22a852add8e050b6739348adf91ce823330702a2d8b1,1.7147646429948509,1.6146639739745297,0.10010066902032122,0.0,0.98828125
4,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/150/L5_L5,L5_L5,5457,HumanEval/150,short,control_fixed64,ok,False,130,3,8,3,64,61,61,fixed,,,,True,True,False,UnitTestFailure,failed: ,c2bea4cded4922e6d086b5f849ae4e5c7142c47b72c9798854e6567d13bb4043,9d355231c884749d032706ed1e977d22d710ef8e2e84f27f486f8b65f84c4e6e,1.393908114056103,1.2934191270032898,0.10048898705281317,0.0,0.98828125
5,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/0/L5_L5,L5_L5,25,HumanEval/0,short,control_fixed64,ok,True,176,4,5,4,64,60,60,fixed,,,,True,True,True,,,3d61cc4270b9c15f24f697bfe98670870e6af4867198c644478f21c2962c1998,8067618a7923ba7104ba2f15fa299f31f5a8fe04285053ed4965f7de3c8e46ff,1.4043879259261303,1.3027801749994978,0.10160775092663243,0.0,0.98046875
6,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/1/L16_L16,L16_L16,132,HumanEval/1,short,control_fixed64,ok,False,216,4,0,4,64,60,60,fixed,,,,False,False,False,SyntaxError,"unterminated triple-quoted string literal (detected at line 35) (<unknown>, line 35)",994f1168e8cc48d3b4923c8ee50f75007f9cffe2f1da090fa62161f244f2eefe,c5b77a0c1e772e83a76648d0b741e69fb95dd06f3dbffc80511184b4ea38d03a,1.3886550239985809,1.3884943070006557,0.00016071699792519212,0.0,0.984375
7,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/3/L5_L5,L5_L5,152,HumanEval/3,short,control_fixed64,ok,True,147,4,5,4,64,60,60,fixed,,,,True,True,True,,,61c804e29bb19b6f9aef4c4ccbd36609421d1f3d5dee5b7d87388fa82e21c75c,b6dd08e31806f7a134862399d4db77c0034f03f2fb5081d0da78360f4baa46c5,1.4035226330161095,1.296645227004774,0.10687740601133555,0.0,0.98046875
8,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/5/L1_L1,L1_L1,166,HumanEval/5,short,control_fixed64,ok,False,105,4,45,4,64,60,60,fixed,,,,True,True,False,UnitTestFailure,failed: ,9e096ba87374104b434f7ba4b7c06976fa4d2c04dbb81342c1ca5d7a228dc2fa,cbae1551d90a96e7bd1e1a522a1716205ba1aeabef37cc64b2d28f3b124b98c6,1.3989652669988573,1.2927868679980747,0.10617839900078252,0.0,0.98828125
9,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/6/L7_L7,L7_L7,250,HumanEval/6,short,control_fixed64,ok,True,174,4,34,4,64,60,60,fixed,,,,True,True,True,,,a226c8dd6bc468f031f71dbe73a9de6d5cd3c9251ecca786658fc27fd995f034,2abc80d9cf4c3d87fb9de8e8f7b324356d4cab0b24016692d77cb59a29af4e6e,1.485026741051115,1.3807608280330896,0.10426591301802546,0.0,0.98046875
