task_id,outcome,oracle_len,oracle_bucket,base_passed,candidate_passed,base_selected_len,candidate_selected_len,base_final_source,candidate_final_source
SingleLineInfilling/HumanEval/0/L0,both_pass,11,9-12,True,True,11,11,base,base
SingleLineInfilling/HumanEval/0/L1,both_pass,13,13-16,True,True,13,13,strong_correction,strong_correction
SingleLineInfilling/HumanEval/0/L2,both_pass,8,<=8,True,True,8,8,official_bounded_repair,official_bounded_repair
SingleLineInfilling/HumanEval/0/L3,both_pass,10,9-12,True,True,10,10,base,base
SingleLineInfilling/HumanEval/0/L4,both_pass,7,<=8,True,True,8,8,base,base
SingleLineInfilling/HumanEval/0/L5,both_pass,4,<=8,True,True,4,4,base,base
SingleLineInfilling/HumanEval/0/L7,both_pass,4,<=8,True,True,3,3,base,base
SingleLineInfilling/HumanEval/1/L0,both_pass,5,<=8,True,True,9,9,base,base
SingleLineInfilling/HumanEval/1/L1,both_pass,6,<=8,True,True,6,6,base,base
SingleLineInfilling/HumanEval/1/L10,both_pass,7,<=8,True,True,6,6,base,base
SingleLineInfilling/HumanEval/1/L12,both_pass,9,9-12,True,True,9,9,base,base
SingleLineInfilling/HumanEval/1/L13,both_fail,10,9-12,False,False,7,7,base,base
SingleLineInfilling/HumanEval/1/L14,both_pass,6,<=8,True,True,6,6,base,base
SingleLineInfilling/HumanEval/1/L16,both_fail,4,<=8,False,False,3,3,base,base
SingleLineInfilling/HumanEval/1/L2,both_pass,7,<=8,True,True,6,6,base,base
SingleLineInfilling/HumanEval/1/L4,both_pass,8,<=8,True,True,8,8,base,base
SingleLineInfilling/HumanEval/1/L5,both_pass,7,<=8,True,True,7,7,base,base
SingleLineInfilling/HumanEval/1/L6,both_pass,7,<=8,True,True,7,7,base,base
SingleLineInfilling/HumanEval/1/L7,both_pass,7,<=8,True,True,7,7,base,base
SingleLineInfilling/HumanEval/1/L8,both_pass,7,<=8,True,True,7,7,base,base
SingleLineInfilling/HumanEval/1/L9,both_pass,7,<=8,True,True,7,7,base,base
SingleLineInfilling/HumanEval/10/L0,both_pass,6,<=8,True,True,6,6,base,base
SingleLineInfilling/HumanEval/10/L1,both_pass,4,<=8,True,True,4,4,base,base
SingleLineInfilling/HumanEval/10/L3,both_pass,8,<=8,True,True,8,8,base,base
SingleLineInfilling/HumanEval/10/L5,both_fail,17,17-24,False,False,16,16,strong_correction,strong_correction
SingleLineInfilling/HumanEval/10/L6,both_pass,8,<=8,True,True,8,8,base,base
SingleLineInfilling/HumanEval/10/L8,both_fail,15,13-16,False,False,3,3,base,base
SingleLineInfilling/HumanEval/100/L0,both_fail,15,13-16,False,False,3,3,base,base
SingleLineInfilling/HumanEval/101/L0,both_pass,6,<=8,True,True,6,6,base,base
SingleLineInfilling/HumanEval/101/L1,both_pass,4,<=8,True,True,4,4,base,base
SingleLineInfilling/HumanEval/101/L11,both_pass,11,9-12,True,True,12,12,base,base
SingleLineInfilling/HumanEval/101/L12,both_fail,7,<=8,False,False,4,4,base,base
SingleLineInfilling/HumanEval/101/L3,both_pass,6,<=8,True,True,5,5,base,base
SingleLineInfilling/HumanEval/101/L5,both_pass,7,<=8,True,True,7,7,base,base
SingleLineInfilling/HumanEval/101/L6,both_pass,7,<=8,True,True,7,7,official_bounded_repair,official_bounded_repair
SingleLineInfilling/HumanEval/101/L7,both_fail,7,<=8,False,False,6,6,base,base
SingleLineInfilling/HumanEval/101/L8,both_pass,4,<=8,True,True,18,18,official_long_suspicion,official_long_suspicion
SingleLineInfilling/HumanEval/101/L9,both_pass,8,<=8,True,True,8,8,base,base
SingleLineInfilling/HumanEval/102/L0,both_fail,7,<=8,False,False,11,11,base,base
SingleLineInfilling/HumanEval/102/L1,both_fail,5,<=8,False,False,9,9,official_bounded_repair,official_bounded_repair
SingleLineInfilling/HumanEval/102/L2,both_pass,11,9-12,True,True,11,11,base,base
SingleLineInfilling/HumanEval/102/L3,both_fail,4,<=8,False,False,7,7,official_bounded_repair,official_bounded_repair
SingleLineInfilling/HumanEval/102/L4,both_fail,7,<=8,False,False,4,4,base,base
SingleLineInfilling/HumanEval/102/L5,both_pass,5,<=8,True,True,5,5,base,base
SingleLineInfilling/HumanEval/102/L6,both_fail,7,<=8,False,False,3,3,base,base
SingleLineInfilling/HumanEval/103/L0,both_pass,7,<=8,True,True,7,7,base,base
SingleLineInfilling/HumanEval/103/L1,both_pass,5,<=8,True,True,5,5,base,base
SingleLineInfilling/HumanEval/103/L2,both_pass,6,<=8,True,True,6,6,base,base
SingleLineInfilling/HumanEval/103/L3,both_pass,12,9-12,True,True,13,13,weak_correction,weak_correction
SingleLineInfilling/HumanEval/103/L4,both_pass,5,<=8,True,True,5,5,base,base
SingleLineInfilling/HumanEval/103/L5,both_fail,16,13-16,False,False,3,3,base,base
SingleLineInfilling/HumanEval/104/L0,both_pass,8,<=8,True,True,8,8,base,base
SingleLineInfilling/HumanEval/104/L1,both_pass,7,<=8,True,True,7,7,base,base
SingleLineInfilling/HumanEval/104/L2,both_fail,20,17-24,False,False,6,6,base,base
SingleLineInfilling/HumanEval/104/L3,both_pass,9,9-12,True,True,9,9,base,base
SingleLineInfilling/HumanEval/104/L4,both_fail,10,9-12,False,False,3,3,base,base
SingleLineInfilling/HumanEval/105/L0,both_pass,5,<=8,True,True,5,5,base,base
SingleLineInfilling/HumanEval/105/L1,both_pass,8,<=8,True,True,16,16,strong_correction,strong_correction
SingleLineInfilling/HumanEval/105/L10,both_pass,3,<=8,True,True,17,17,official_long_suspicion,official_long_suspicion
SingleLineInfilling/HumanEval/105/L11,both_fail,11,9-12,False,False,8,8,base,base
SingleLineInfilling/HumanEval/105/L12,both_pass,6,<=8,True,True,6,6,base,base
