manifest_index,hard_tail_sample_group,first_pass_taxonomy,current_taxonomy,label_changed_from_first_pass,source_config,task_id,row_id,task_group,length_bucket,middle_len_tokens,first_pass_control_passed,first_pass_deployable_passed,first_pass_oracle_passed,current_control_passed,current_deployable_passed,current_oracle_passed,genuinely_canvas_recoverable_now,rescue_limited_or_noncanvas_now,deployable_cal_lite_help_now,deployable_cal_lite_harm_now,oracle_canvas_harm_vs_control_now,control_fixed64_selected_canvas_tokens,control_fixed64_error_type,control_fixed64_candidate_full_code_sha256,best_deployable_cal_lite_alpha006_selected_canvas_tokens,best_deployable_cal_lite_alpha006_error_type,best_deployable_cal_lite_alpha006_candidate_full_code_sha256,oracle_sufficient_canvas_selected_canvas_tokens,oracle_sufficient_canvas_error_type,oracle_sufficient_canvas_candidate_full_code_sha256
0,oracle_only_canvas_recoverable,oracle_only_canvas_recoverable,oracle_only_canvas_recoverable,False,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/23/1,23,HumanEval/23,short,2,False,False,True,False,False,True,True,False,False,False,False,64,UnitTestFailure,cdbd18dd3944f2328a8af566fff6e7ede5cd68674015104db52b8ff57ffec6cb,3,UnitTestFailure,28799c75fcadfc7496fb4e9ee1192ae003cb6462d50a33f172ba9f72b17c2250,2,,15638c03343e602172953e5c17867209cc4492b01d638abdadad48eae0ef4f5b
1,oracle_only_canvas_recoverable,oracle_only_canvas_recoverable,oracle_only_canvas_recoverable,False,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/24/L0_L0,630,HumanEval/24,medium,9,False,False,True,False,False,True,True,False,False,False,False,64,UnitTestFailure,19c311eedde27ccc61088a0dd6f779ca59979e22a88cafe6bf2d8f8282feb9b6,8,UnitTestFailure,e1676d78e72195de85df81c81e6790b7ee9d5a91a45fbe22b45480c166b2ef42,9,,672f1285e171eb9993a3fbdbdba30a95e447339956f0b4388dea29f08fedf042
2,oracle_only_canvas_recoverable,oracle_only_canvas_recoverable,oracle_only_canvas_recoverable,False,HumanEval-RandomSpanInfilling,RandomSpanInfilling/HumanEval/10/5,104,HumanEval/10,medium,9,False,False,True,False,False,True,True,False,False,False,False,64,UnitTestFailure,ed545001fecef77da3217c3a10163a7c3d4e78825d28c61867f9476e3881585f,15,UnitTestFailure,4243661d32c244bd7a823301aca6ce5c7d8605959d8036fc3b4f626b078522db,9,,4f93855da57c185ede19a14d11665607cecc1dd05277e38c4736ef3f7c56a9b4
3,oracle_only_canvas_recoverable,oracle_only_canvas_recoverable,oracle_only_canvas_recoverable,False,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/12/L4_L5,385,HumanEval/12,long,17,False,False,True,False,False,True,True,False,False,False,False,64,UnitTestFailure,0e58d2df93336dc32654b8b9ee13d48bdb067ecc2236df29f87955a47b34b586,4,SyntaxError,37b1d5a6272f99fc2d10503a392c2da0e8a91e16e70233a51865edd5f64264a9,17,,3685e6ba074e41236d9197c721cf71ef513eccd706be51a79f76727ad87884d6
4,oracle_only_canvas_recoverable,oracle_only_canvas_recoverable,oracle_only_canvas_recoverable,False,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/119/1,119,HumanEval/119,extreme,69,False,False,True,False,False,True,True,False,False,False,False,64,UnitTestFailure,4a44fc37f50cbcacbeb2486b203ac735b7490e248d1e00e1a82a26edb7781992,11,UnitTestFailure,37b273b1a953327ccd7346ee48ebac216349d8f2abdc5b82e46906b9c504cf9e,69,,658d67983f6dbd05efabdb6fbe841bd11d633337a191967b299205d1a26a626a
5,oracle_only_canvas_recoverable,oracle_only_canvas_recoverable,oracle_only_canvas_recoverable,False,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/5/1,5,HumanEval/5,long,17,False,False,True,False,False,True,True,False,False,False,False,64,UnitTestFailure,2426e50ae9296e9999737e50cf2ea33f4df2380589dbbb2095854bc0ef6e72fa,3,SyntaxError,bf41518d563e4878bf44966c1680342f2b0c53c357a867b1353a04d22d434a84,17,,35d5b110d55079d8a245fda31fad2b26163be760c35960b9cb266e4703f630ba
6,oracle_only_canvas_recoverable,oracle_only_canvas_recoverable,oracle_only_canvas_recoverable,False,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/48/L1_L1,1145,HumanEval/48,long,17,False,False,True,False,False,True,True,False,False,False,False,64,UnitTestFailure,9c94451d9d266fb13b44bb0c3bdbf1ea07cc24af10af3d40c436c43f2552dfe0,6,UnitTestFailure,6e04e71f63fadd57d39b8a40bd82d59f51acdfcaccfefda72ada3244c0ff1b92,17,,1a295c8db055497201afe2f2dc2c71d6bd499aac6edf0cb7a235bd76d884b16a
7,oracle_only_canvas_recoverable,oracle_only_canvas_recoverable,oracle_only_canvas_recoverable,False,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/51/1,51,HumanEval/51,short,2,False,False,True,False,False,True,True,False,False,False,False,64,UnitTestFailure,8c23ded53ed4529800076a7924cc1b711396ea8af4e29a5a06051bd00c07d6f4,3,UnitTestFailure,05c4def3cbbe9e14dd29a5f7a5eae5af45b969b85582c25d3683f6e5f84f20f1,2,,ec262323dd25e1a037277c1c524066d582b81bf39579fb067c1d6e1c2273141a
8,oracle_only_canvas_recoverable,oracle_only_canvas_recoverable,oracle_only_canvas_recoverable,False,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/152/1,152,HumanEval/152,medium,9,False,False,True,False,False,True,True,False,False,False,False,64,SyntaxError,c618eba8d2ef96d7099aa8a8adc673cca672a4ea5e5fecf19a2d481faf5c6c2a,4,UnitTestFailure,55b9e34627252be0fb528091076b5a63c1e62acdf1ac46c4230346de5a021752,9,,842d93412e03b0d31a7b2170c7814bfb823d1f2d1f816309e6c3646888097e7f
9,oracle_only_canvas_recoverable,oracle_only_canvas_recoverable,oracle_only_canvas_recoverable,False,HumanEval-RandomSpanInfillingLight,RandomSpanInfillingLight/HumanEval/22/1,22,HumanEval/22,medium,10,False,False,True,False,False,True,True,False,False,False,False,64,SyntaxError,2eb61525956878ef2bfa20d6362c43bd485e1926f74835b54ee274db424e4de4,4,UnitTestFailure,72c4dddc830abdc5bc45619beb607e2086a74409b97fbabc32f23629c08e88c9,10,,1b598e3fa97e7e5dd56b1b1c8ee5ba9caa6c7b77e4a96551821ba106839986db
