manifest_index,source_config,task_id,prompt_id,row_id,task_group,length_bucket,policy,status,passed,prefix_len_tokens,middle_len_tokens,suffix_len_tokens,oracle_canvas_tokens,selected_canvas_tokens,selected_minus_oracle,abs_selected_minus_oracle,mask_length_source,selected_score,selected_raw_score,selected_adjusted_score,compile_passed,tier2_smoke_exec_passed,tier3_unit_tests_passed,error_type,error_message,candidate_full_code_sha256,candidate_middle_sha256,total_sec_including_probe,decode_sec,verification_sec,length_probe_sec,mean_final_confidence
0,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/0/L0_L0,L0_L0,0,HumanEval/0,medium,control_fixed64,ok,True,128,11,47,11,64,53,53,fixed,,,,True,True,True,,,0e14fa76471e6a51815a5b6393894b02e4e068cdc1f6aacdb1c01596f3b932c8,879d795d25920d0abbdf83c3eb63ef2bb9b67a6c9adda3e71551be71bbd2d607,1.9740938529721461,1.8645111109944992,0.10958274197764695,0.0,0.9765625
1,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/0/L0_L1,L0_L1,1,HumanEval/0,long,control_fixed64,ok,True,128,24,34,24,64,40,40,fixed,,,,True,True,True,,,101dda8aa1be6a6c5e79f49302156c3e3ee9c05a4b23a64d39a1ffad58c3e009,3de748c8fc27cecd8d80485a1329ed6f79a420831b91b062e0b7d1505c38d939,1.7141568629886024,1.6127668489934877,0.10139001399511471,0.0,0.984375
2,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/0/L0_L2,L0_L2,2,HumanEval/0,extreme,control_fixed64,ok,False,128,32,26,32,64,32,32,fixed,,,,True,True,False,UnitTestFailure,failed: ,4ed83cd62f8a8a7b53a1e3b4f10ed29a397f56ad82122abca5c1a03ee2edf3e0,e6818b259fb065b6eb1a5e11b7e4c11a2319c12679945f43a1d736ceb5de7ae6,1.7073304619989358,1.6119470059638843,0.0953834560350515,0.0,1.0
3,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/0/L0_L3,L0_L3,3,HumanEval/0,extreme,control_fixed64,ok,False,128,42,16,42,64,22,22,fixed,,,,True,True,False,UnitTestFailure,failed: ,e0c510134e982bec347261f6802408ff0283ca97ddeff2aad5dc126bc4ff3212,efe66f4a26428e2a1ce058c1f5c688967c768e78de6fd9fa36452e56ffe0fba6,1.7050564229721203,1.6029956740094349,0.10206074896268547,0.0,0.99609375
4,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/0/L0_L4,L0_L4,4,HumanEval/0,extreme,control_fixed64,ok,True,128,49,9,49,64,15,15,fixed,,,,True,True,True,,,8ec1e9e18d111445259f93493554dc005a6267467ea1d17f8529cee390d50f14,f13e4bc64770663bc1fa43cfc6c3981d33a39c517e6fdbd540bf639bc4b148ea,1.7049806770519353,1.6041897790273651,0.1007908980245702,0.0,1.0
5,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/0/L0_L5,L0_L5,5,HumanEval/0,extreme,control_fixed64,ok,False,128,53,5,53,64,11,11,fixed,,,,False,False,False,SyntaxError,"expected an indented block after 'for' statement on line 17 (<unknown>, line 18)",e15c2fd42698056eaa65c5ffcf4df0e62b147efbb4701d9a9159196b7152337e,34261ff8ce7c4163f024f4b5fde59ea4f9ac8fd7c39b6c47fe5b598ce202361e,1.6083649219362997,1.6081589649547823,0.00020595698151737452,0.0,0.9921875
6,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/0/L0_L7,L0_L7,6,HumanEval/0,extreme,control_fixed64,ok,True,128,58,0,58,64,6,6,fixed,,,,True,True,True,,,89959c6b098d7020d829737b7de4227376f161c02be444104156ddcc5721676f,258dee500e7038b7cdb3e48c394044c065375dca5540bcde35bf7fad6723e8c0,1.557327763934154,1.4728930569835939,0.08443470695056021,0.0,0.99609375
7,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/0/L1_L1,L1_L1,7,HumanEval/0,medium,control_fixed64,ok,True,138,13,34,13,64,51,51,fixed,,,,True,True,True,,,85dc0b166e7ed8cf1cab5803a0e2031abfb035f0ce3fd883979997624866f1e9,8cf58706a3807ba96ac0614a3e9f2ee346a6e10d65de40b01af295f77754b5cb,1.7334187420201488,1.618404818000272,0.11501392401987687,0.0,0.9921875
8,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/0/L1_L2,L1_L2,8,HumanEval/0,long,control_fixed64,ok,False,138,21,26,21,64,43,43,fixed,,,,True,True,False,UnitTestFailure,failed: ,6bc8a3e1d8f720d8309977bb2c1f2a02d9f013ce6bc849b224805da398e319de,8622ee851b6b3767cecad9f417e1369c9493f5376d3df26457bb4ec988f77c36,1.7112831929698586,1.6111951770144515,0.10008801595540717,0.0,1.0
9,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/0/L1_L3,L1_L3,9,HumanEval/0,extreme,control_fixed64,ok,False,138,31,16,31,64,33,33,fixed,,,,True,True,False,UnitTestFailure,failed: ,b319925506c3eebea3d58bb16807593cc2d20c95325d16835a2880632bae0b0a,a46eb3d531db8d1d7862191cedd8ad52f58d71885630f48ba2f963e55b625879,1.7055443480494432,1.5963397780433297,0.1092045700061135,0.0,0.99609375
10,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/0/L1_L4,L1_L4,10,HumanEval/0,extreme,control_fixed64,ok,False,138,38,9,38,64,26,26,fixed,,,,True,True,False,UnitTestFailure,failed: ,8857ecb88fd5a47dcc3e6af7c20054e7c1955668041df5c49c1810d1ab8faf8b,5b7cb3c34d2c215e1410a4d17326cf8794f69f8cb75d3930d86e0e507aee1ab2,1.7197175289620645,1.6077128519536927,0.1120046770083718,0.0,0.9921875
11,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/0/L1_L5,L1_L5,11,HumanEval/0,extreme,control_fixed64,ok,False,138,42,5,42,64,22,22,fixed,,,,True,True,False,UnitTestFailure,failed: ,96db0e49a86a0fd00cfef4770d9127f2aaf11b691fdb42107f37967f645067ed,ef17c4eef3df1b498be4c9364b41d67597e58b5bcf992bc15046601bcac88dd6,1.718116939009633,1.608836215978954,0.10928072303067893,0.0,1.0
12,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/0/L1_L7,L1_L7,12,HumanEval/0,extreme,control_fixed64,ok,False,138,47,0,47,64,17,17,fixed,,,,False,False,False,SyntaxError,"expected an indented block after function definition on line 21 (<unknown>, line 21)",3fff17f06adcf85428257394ae2aebf90a9d2990b6acf4a10c4963ee8aff673e,ff99e0391233538e93f2535d7bff634ecad6816e59f61caae3c48854bf5dc958,1.603473433002364,1.6031285930075683,0.00034483999479562044,0.0,0.9765625
13,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/0/L2_L2,L2_L2,13,HumanEval/0,short,control_fixed64,ok,False,151,8,26,8,64,56,56,fixed,,,,True,True,False,UnitTestFailure,failed: ,22603e645fc0c8abd39f34696fb2514c7a3cf8c7581c3b2a356d4182b55705de,d4b35a7ca62b1f3160608750710e076e9d240a3a1a46a0b32427252f003bb13f,1.7093382630264387,1.605483416991774,0.10385484603466466,0.0,0.98828125
14,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/0/L2_L3,L2_L3,14,HumanEval/0,long,control_fixed64,ok,False,151,18,16,18,64,46,46,fixed,,,,True,True,False,UnitTestFailure,failed: 'float' object is not iterable,2bcb6b171f59efd2f9765d92a656f736d5dc966a7d7af2bddf6a19a38a46d15d,58dc32affe32cb0ef10aaa7f332e36f786c6447e7877c577b89afb900cc60e52,1.712197627988644,1.610105270985514,0.10209235700313002,0.0,0.984375
15,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/0/L2_L4,L2_L4,15,HumanEval/0,extreme,control_fixed64,ok,True,151,25,9,25,64,39,39,fixed,,,,True,True,True,,,91c515bfac053e8017b8ec8e4e1112f4c2d656d10dd59058ec05dd469f2edcdf,c925d47d82aac76b4bf2dc81fc52dd1534a438f0093663956c6ee8947c2b2086,1.7299718449357897,1.6143363729934208,0.1156354719423689,0.0,0.97265625
