task_id,task_group,case_pool,historical_error_type,oracle_length,oracle_sufficient_length,c_passed,c_compile_passed,c_error_type,c_hash,c_stop_reason,c_early_commit_triggered,c_actual_forward_steps,c_effective_update_steps,e_passed,e_compile_passed,e_error_type,e_hash,e_hash_changed_vs_c,e_correctness_changed_vs_c,e_compile_status_changed_vs_c,e_error_type_changed_vs_c,e_actual_forward_steps,e_effective_update_steps,f_passed,f_compile_passed,f_error_type,f_hash,f_hash_changed_vs_c,f_correctness_changed_vs_c,f_compile_status_changed_vs_c,f_error_type_changed_vs_c,f_actual_forward_steps,f_effective_update_steps,g_passed,g_compile_passed,g_error_type,g_hash,g_hash_changed_vs_c,g_correctness_changed_vs_c,g_compile_status_changed_vs_c,g_error_type_changed_vs_c,g_actual_forward_steps,g_effective_update_steps,unique_candidate_hash_count_c_efg,any_efg_passed,any_refinement_incremental_over_c,incremental_correct_actions_over_c,passing_actions,hash_changed_actions_vs_c,correctness_changed_actions_vs_c,compile_changed_actions_vs_c,error_type_changed_actions_vs_c
SingleLineInfilling/HumanEval/108/L6,HumanEval/108,triggered_failed_long,SyntaxError,26,32,False,False,SyntaxError,165c590cbb71473aa47d583a06d2e9c34209611b8486fd1502af6d9879bd0620,no_remaining_masks,False,64,32,False,False,SyntaxError,165c590cbb71473aa47d583a06d2e9c34209611b8486fd1502af6d9879bd0620,False,False,False,False,64,32,False,False,SyntaxError,165c590cbb71473aa47d583a06d2e9c34209611b8486fd1502af6d9879bd0620,False,False,False,False,80,4,False,False,SyntaxError,165c590cbb71473aa47d583a06d2e9c34209611b8486fd1502af6d9879bd0620,False,False,False,False,88,7,1,False,False,,,,,,
SingleLineInfilling/HumanEval/11/L6,HumanEval/11,triggered_failed_long,SyntaxError,22,32,False,False,SyntaxError,51aa013b9769245424bfbe485900214f98d0ff45a992ab45ba197f337a510baf,no_remaining_masks,False,64,32,False,False,SyntaxError,51aa013b9769245424bfbe485900214f98d0ff45a992ab45ba197f337a510baf,False,False,False,False,64,32,False,False,SyntaxError,51aa013b9769245424bfbe485900214f98d0ff45a992ab45ba197f337a510baf,False,False,False,False,80,4,False,False,SyntaxError,51aa013b9769245424bfbe485900214f98d0ff45a992ab45ba197f337a510baf,False,False,False,False,88,7,1,False,False,,,,,,
SingleLineInfilling/HumanEval/115/L0,HumanEval/115,triggered_failed_long,SyntaxError,17,32,False,False,SyntaxError,afa603622dd6bc442f71126d949fbc04ed026b47b8d31565ee7c7a6c76619b8a,no_remaining_masks,False,64,32,False,False,SyntaxError,afa603622dd6bc442f71126d949fbc04ed026b47b8d31565ee7c7a6c76619b8a,False,False,False,False,64,32,False,False,SyntaxError,afa603622dd6bc442f71126d949fbc04ed026b47b8d31565ee7c7a6c76619b8a,False,False,False,False,80,4,False,False,SyntaxError,afa603622dd6bc442f71126d949fbc04ed026b47b8d31565ee7c7a6c76619b8a,False,False,False,False,88,7,1,False,False,,,,,,
SingleLineInfilling/HumanEval/121/L0,HumanEval/121,triggered_failed_long,SyntaxError,28,32,False,False,SyntaxError,d7fbfc81b20fb89448aa555c51ec900f8c32255f2f224ef8d29b8c518e637e51,global_gap_early_commit,True,51,26,False,False,SyntaxError,d7fbfc81b20fb89448aa555c51ec900f8c32255f2f224ef8d29b8c518e637e51,False,False,False,False,64,32,False,False,SyntaxError,d7fbfc81b20fb89448aa555c51ec900f8c32255f2f224ef8d29b8c518e637e51,False,False,False,False,67,4,False,False,SyntaxError,d7fbfc81b20fb89448aa555c51ec900f8c32255f2f224ef8d29b8c518e637e51,False,False,False,False,75,7,1,False,False,,,,,,
SingleLineInfilling/HumanEval/122/L0,HumanEval/122,triggered_failed_long,UnitTestFailure,21,32,False,True,UnitTestFailure,00943cf3b81fafd705429a6e3bbf7b62b4c00dc7da56e43a4b0a7379b99dae21,global_gap_early_commit,True,63,32,False,True,UnitTestFailure,00943cf3b81fafd705429a6e3bbf7b62b4c00dc7da56e43a4b0a7379b99dae21,False,False,False,False,64,32,False,True,UnitTestFailure,00943cf3b81fafd705429a6e3bbf7b62b4c00dc7da56e43a4b0a7379b99dae21,False,False,False,False,79,4,False,True,UnitTestFailure,00943cf3b81fafd705429a6e3bbf7b62b4c00dc7da56e43a4b0a7379b99dae21,False,False,False,False,87,7,1,False,False,,,,,,
SingleLineInfilling/HumanEval/125/L5,HumanEval/125,triggered_failed_long,SyntaxError,24,32,False,False,SyntaxError,cea5448019cc293d7a4eeec360b71ddbff96b64efbf7d69fbeef86e553b2a8d7,global_gap_early_commit,True,63,32,False,False,SyntaxError,cea5448019cc293d7a4eeec360b71ddbff96b64efbf7d69fbeef86e553b2a8d7,False,False,False,False,64,32,False,False,SyntaxError,cea5448019cc293d7a4eeec360b71ddbff96b64efbf7d69fbeef86e553b2a8d7,False,False,False,False,79,4,False,False,SyntaxError,cea5448019cc293d7a4eeec360b71ddbff96b64efbf7d69fbeef86e553b2a8d7,False,False,False,False,87,7,1,False,False,,,,,,
SingleLineInfilling/HumanEval/134/L2,HumanEval/134,triggered_failed_long,SyntaxError,28,32,False,False,SyntaxError,ba3342909f88695ed11c41950bd12ad8061eff2cf1c199d529e426f01a5d9fe2,no_remaining_masks,False,64,32,False,False,SyntaxError,ba3342909f88695ed11c41950bd12ad8061eff2cf1c199d529e426f01a5d9fe2,False,False,False,False,64,32,False,False,SyntaxError,ba3342909f88695ed11c41950bd12ad8061eff2cf1c199d529e426f01a5d9fe2,False,False,False,False,80,4,False,False,SyntaxError,ba3342909f88695ed11c41950bd12ad8061eff2cf1c199d529e426f01a5d9fe2,False,False,False,False,88,7,1,False,False,,,,,,
SingleLineInfilling/HumanEval/136/L2,HumanEval/136,triggered_failed_long,SyntaxError,23,32,False,False,SyntaxError,44b211cc015ee5df5991c67bdd450e92479ec6db0685e6fb302fc33e2123ce24,global_gap_early_commit,True,51,26,False,False,SyntaxError,44b211cc015ee5df5991c67bdd450e92479ec6db0685e6fb302fc33e2123ce24,False,False,False,False,64,32,False,False,SyntaxError,44b211cc015ee5df5991c67bdd450e92479ec6db0685e6fb302fc33e2123ce24,False,False,False,False,67,4,False,False,SyntaxError,44b211cc015ee5df5991c67bdd450e92479ec6db0685e6fb302fc33e2123ce24,False,False,False,False,75,7,1,False,False,,,,,,
SingleLineInfilling/HumanEval/15/L0,HumanEval/15,triggered_failed_long,SyntaxError,19,32,False,False,SyntaxError,b6bac27541f7f3022bb9620bcc0941b4e2ae6dec3123f6c49d8d08848a9fc333,no_remaining_masks,False,64,32,False,False,SyntaxError,b6bac27541f7f3022bb9620bcc0941b4e2ae6dec3123f6c49d8d08848a9fc333,False,False,False,False,64,32,False,False,SyntaxError,b6bac27541f7f3022bb9620bcc0941b4e2ae6dec3123f6c49d8d08848a9fc333,False,False,False,False,80,4,False,False,SyntaxError,b6bac27541f7f3022bb9620bcc0941b4e2ae6dec3123f6c49d8d08848a9fc333,False,False,False,False,88,7,1,False,False,,,,,,
SingleLineInfilling/HumanEval/151/L0,HumanEval/151,triggered_failed_long,SyntaxError,30,32,False,False,SyntaxError,085143edbe280fa1bdee2cfeae9f6546292dacf2a39a25f7a011d016dd10e2ec,global_gap_early_commit,True,48,25,False,False,SyntaxError,085143edbe280fa1bdee2cfeae9f6546292dacf2a39a25f7a011d016dd10e2ec,False,False,False,False,64,32,False,False,SyntaxError,085143edbe280fa1bdee2cfeae9f6546292dacf2a39a25f7a011d016dd10e2ec,False,False,False,False,64,4,False,False,SyntaxError,085143edbe280fa1bdee2cfeae9f6546292dacf2a39a25f7a011d016dd10e2ec,False,False,False,False,72,7,1,False,False,,,,,,
