row_key,group_key,length_bucket_offline_only,candidate_count,unique_candidate_hashes,parsable_candidate_count,unique_parsable_ast_hashes,mean_semantic_unit_precision_offline,mean_semantic_unit_coverage_offline,all_deployable_candidates_fail,all_fail_union_correct_semantic_units,all_fail_best_single_correct_semantic_units,all_fail_complementary_correct_units,consensus_landmark_count,consensus_landmark_precision_offline
HumanEval-RandomSpanInfillingLight:0:e6406c38161ca2e1,de004141fa5f04d8,long,8,4,8,4,0.7446428571428572,0.9791666666666666,False,,,,16,0.75
HumanEval-RandomSpanInfillingLight:100:c227591dff456955,55c76a456c2cba4b,short,8,4,8,4,0.625,0.75,True,3,3,0,6,0.5
HumanEval-RandomSpanInfillingLight:101:13fa16e6f794534c,722b8e4a38486637,extreme,8,4,8,4,1.0,0.9583333333333333,True,6,6,0,6,1.0
HumanEval-RandomSpanInfillingLight:102:3099eac395ec191d,d97dcdfd8a0bff7f,extreme,8,4,8,4,0.6919642857142858,1.0,True,5,5,0,8,0.625
HumanEval-RandomSpanInfillingLight:103:5b2e1f462db027d0,9e2dd7404c2b39a9,medium,8,4,6,3,0.7881493506493507,0.6428571428571428,True,6,6,0,6,1.0
HumanEval-RandomSpanInfillingLight:104:af1bf2bce61d5220,397d5b2bac2ae318,extreme,8,4,8,4,0.7004336124401913,0.6346153846153846,True,11,9,2,12,0.75
HumanEval-RandomSpanInfillingLight:105:fa758bbf5d8c15c9,53206c6f845a627d,extreme,8,4,8,4,0.48809523809523814,1.0,False,,,,5,0.4
HumanEval-RandomSpanInfillingLight:106:b51a2cdff945eab5,7b2ff5ea9ad039ab,extreme,8,4,6,3,0.861764705882353,0.5909090909090909,False,,,,11,1.0
HumanEval-RandomSpanInfillingLight:107:0e97ae6697ff5e3b,29891416012beeb6,extreme,8,4,8,4,0.6255411255411255,0.8,False,,,,11,0.45454545454545453
HumanEval-RandomSpanInfillingLight:108:4f11cd9cc099930e,1b5f9dbe9a1eedfb,extreme,8,4,6,3,0.6083333333333333,0.425,True,8,7,1,6,0.8333333333333334
HumanEval-RandomSpanInfillingLight:109:a20e909443740a0e,372fcc217ece0990,medium,8,4,6,3,0.8376623376623378,0.6785714285714286,False,,,,9,0.7777777777777778
HumanEval-RandomSpanInfillingLight:10:4c20421111c310c3,cd407095a184e5d2,medium,8,4,0,0,0.725,0.25,True,2,2,0,3,0.6666666666666666
HumanEval-RandomSpanInfillingLight:110:1b6a34ddf2943a60,110b6809e29d9a72,extreme,8,4,8,4,0.8814102564102565,0.6875,True,12,12,0,13,0.9230769230769231
HumanEval-RandomSpanInfillingLight:111:c731465109498af8,498c2f78fe8e48a3,extreme,8,4,8,4,0.8760504201680673,0.7954545454545455,False,,,,10,0.9
HumanEval-RandomSpanInfillingLight:112:25dc70986274025a,ffd26aeb156f2a3b,medium,8,4,6,3,0.6277777777777778,0.5833333333333333,False,,,,9,0.4444444444444444
HumanEval-RandomSpanInfillingLight:113:7faa31d7e1100488,5560bcc37877d0b0,extreme,8,4,8,4,0.6009615384615385,0.6666666666666666,True,2,2,0,6,0.3333333333333333
HumanEval-RandomSpanInfillingLight:114:113e1a65bc0fea3c,1fdd7472c517392d,extreme,8,4,8,4,0.8394993894993894,0.7166666666666666,True,15,12,3,12,1.0
HumanEval-RandomSpanInfillingLight:115:ebffad7ad5519b19,27d1b075a5407692,short,8,4,8,4,0.43733766233766236,0.8125,True,4,4,0,8,0.5
HumanEval-RandomSpanInfillingLight:116:549984365fe39dca,c6da1df361b13255,medium,8,4,4,2,0.41420454545454544,0.49999999999999994,True,3,3,0,7,0.2857142857142857
HumanEval-RandomSpanInfillingLight:117:4e45a41d2a1958a7,9a4c7a6d652a7214,medium,8,4,6,3,0.25,1.0,True,0,0,0,4,0.0
HumanEval-RandomSpanInfillingLight:118:9d636a503bd08833,6d96ad87517efe73,extreme,8,4,8,4,0.8666666666666667,1.0,False,,,,7,1.0
HumanEval-RandomSpanInfillingLight:119:e254a4ef7cb13529,ccafb42731063c9b,extreme,8,4,8,4,0.19444444444444448,0.15625,False,,,,9,0.2222222222222222
HumanEval-RandomSpanInfillingLight:11:baa808455794c500,ba2f4acae5a9d57f,extreme,8,4,8,4,0.041666666666666664,0.05,True,1,1,0,5,0.0
HumanEval-RandomSpanInfillingLight:120:ff8db58097a877e2,fed9d994180f6745,medium,8,4,6,3,0.5114885114885115,0.8333333333333333,False,,,,10,0.6
HumanEval-RandomSpanInfillingLight:121:6fb9017c7b7944eb,726f50cc4fdb822b,medium,8,4,6,3,0.7909090909090908,0.75,False,,,,4,1.0
HumanEval-RandomSpanInfillingLight:122:29ba988b0bfa555b,6de91396b01c338a,medium,8,4,4,2,0.9038461538461539,0.5,False,,,,8,1.0
HumanEval-RandomSpanInfillingLight:123:5ab5620004d96029,3b4397d72ef93578,extreme,8,4,8,4,0.8388888888888888,0.95,False,,,,5,1.0
HumanEval-RandomSpanInfillingLight:124:7a7c08d85cf8ef28,48ed431061421012,extreme,8,4,8,4,0.90625,0.9,False,,,,5,1.0
HumanEval-RandomSpanInfillingLight:125:68086079e4ab8468,4db76e9fada9f054,medium,8,4,4,2,0.7384615384615384,0.5499999999999999,False,,,,5,0.8
HumanEval-RandomSpanInfillingLight:126:ecffdbe90f80ea3f,974b0e3a2c11f7d0,extreme,8,4,8,4,0.6749999999999999,0.3,True,3,3,0,4,0.75
HumanEval-RandomSpanInfillingLight:127:aa31b68a7d3dcc11,a7ad8896edac370a,extreme,8,4,8,4,0.683080808080808,0.5,True,10,10,0,8,1.0
