manifest_index,task_id,task_group,prompt_id,oracle_length,length_bucket,frozen_controller_test_row,frozen_controller_test_exclusion_flag,source_dataset,model
0,SingleLineInfilling/HumanEval/0/L0,HumanEval/0,L0,9,9-12,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
1,SingleLineInfilling/HumanEval/0/L1,HumanEval/0,L1,11,9-12,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
2,SingleLineInfilling/HumanEval/0/L2,HumanEval/0,L2,7,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
3,SingleLineInfilling/HumanEval/0/L3,HumanEval/0,L3,9,9-12,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
4,SingleLineInfilling/HumanEval/0/L4,HumanEval/0,L4,6,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
5,SingleLineInfilling/HumanEval/0/L5,HumanEval/0,L5,4,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
6,SingleLineInfilling/HumanEval/0/L7,HumanEval/0,L7,4,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
7,SingleLineInfilling/HumanEval/1/L0,HumanEval/1,L0,4,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
8,SingleLineInfilling/HumanEval/1/L1,HumanEval/1,L1,5,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
9,SingleLineInfilling/HumanEval/1/L2,HumanEval/1,L2,7,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
10,SingleLineInfilling/HumanEval/1/L4,HumanEval/1,L4,7,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
11,SingleLineInfilling/HumanEval/1/L5,HumanEval/1,L5,6,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
12,SingleLineInfilling/HumanEval/1/L6,HumanEval/1,L6,7,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
13,SingleLineInfilling/HumanEval/1/L7,HumanEval/1,L7,6,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
14,SingleLineInfilling/HumanEval/1/L8,HumanEval/1,L8,6,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
15,SingleLineInfilling/HumanEval/1/L9,HumanEval/1,L9,7,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
16,SingleLineInfilling/HumanEval/1/L10,HumanEval/1,L10,6,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
17,SingleLineInfilling/HumanEval/1/L12,HumanEval/1,L12,8,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
18,SingleLineInfilling/HumanEval/1/L13,HumanEval/1,L13,9,9-12,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
19,SingleLineInfilling/HumanEval/1/L14,HumanEval/1,L14,5,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
20,SingleLineInfilling/HumanEval/1/L16,HumanEval/1,L16,4,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
21,SingleLineInfilling/HumanEval/2/L0,HumanEval/2,L0,9,9-12,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
22,SingleLineInfilling/HumanEval/3/L0,HumanEval/3,L0,6,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
23,SingleLineInfilling/HumanEval/3/L2,HumanEval/3,L2,6,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
24,SingleLineInfilling/HumanEval/3/L3,HumanEval/3,L3,5,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
25,SingleLineInfilling/HumanEval/3/L4,HumanEval/3,L4,7,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
26,SingleLineInfilling/HumanEval/3/L5,HumanEval/3,L5,4,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
27,SingleLineInfilling/HumanEval/3/L7,HumanEval/3,L7,4,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
28,SingleLineInfilling/HumanEval/4/L0,HumanEval/4,L0,10,9-12,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
29,SingleLineInfilling/HumanEval/4/L1,HumanEval/4,L1,17,17-24,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
30,SingleLineInfilling/HumanEval/5/L0,HumanEval/5,L0,5,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
31,SingleLineInfilling/HumanEval/5/L1,HumanEval/5,L1,3,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
32,SingleLineInfilling/HumanEval/5/L3,HumanEval/5,L3,4,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
33,SingleLineInfilling/HumanEval/5/L5,HumanEval/5,L5,8,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
34,SingleLineInfilling/HumanEval/5/L6,HumanEval/5,L6,5,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
35,SingleLineInfilling/HumanEval/5/L7,HumanEval/5,L7,6,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
36,SingleLineInfilling/HumanEval/5/L9,HumanEval/5,L9,7,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
37,SingleLineInfilling/HumanEval/5/L11,HumanEval/5,L11,4,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
38,SingleLineInfilling/HumanEval/6/L0,HumanEval/6,L0,8,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
39,SingleLineInfilling/HumanEval/6/L1,HumanEval/6,L1,6,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
40,SingleLineInfilling/HumanEval/6/L2,HumanEval/6,L2,7,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
41,SingleLineInfilling/HumanEval/6/L3,HumanEval/6,L3,6,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
42,SingleLineInfilling/HumanEval/6/L4,HumanEval/6,L4,6,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
43,SingleLineInfilling/HumanEval/6/L5,HumanEval/6,L5,6,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
44,SingleLineInfilling/HumanEval/6/L6,HumanEval/6,L6,10,9-12,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
45,SingleLineInfilling/HumanEval/6/L7,HumanEval/6,L7,3,<=8,False,included_not_frozen_controller_test,HumanEval-SingleLineInfilling,Dream-org/Dream-Coder-v0-Base-7B
