case_index,row_key,source_row_id,task_group,source_config,reference_middle_tokens_offline_only,length_bucket_offline_only,prefix_tokens,suffix_tokens,frozen_controller_test_row,alpha_structural_eligible,alpha_reference_verified,alpha_status,alpha_transform_id,alpha_renamed_identifier_count
0,HumanEval-RandomSpanInfillingLight:0:e6406c38161ca2e1,0,HumanEval/0,HumanEval-RandomSpanInfillingLight,18,long,151,18,False,True,True,reference_verified,2746a04d4a22d863,5
1,HumanEval-RandomSpanInfillingLight:1:dac9278b36595a63,1,HumanEval/1,HumanEval-RandomSpanInfillingLight,47,extreme,121,53,False,True,True,reference_verified,307b6bd4c28fb957,4
2,HumanEval-RandomSpanInfillingLight:2:96e7bc5401429951,2,HumanEval/2,HumanEval-RandomSpanInfillingLight,5,short,90,1,False,False,False,strict_transform_rejected,,
3,HumanEval-RandomSpanInfillingLight:3:5bf62e23f96adddc,3,HumanEval/3,HumanEval-RandomSpanInfillingLight,20,long,133,6,False,True,True,reference_verified,9bbdfe0a6f52e8af,2
4,HumanEval-RandomSpanInfillingLight:4:1afc9c1a6c1dc226,4,HumanEval/4,HumanEval-RandomSpanInfillingLight,12,medium,124,20,False,True,True,reference_verified,566260a970004bed,2
5,HumanEval-RandomSpanInfillingLight:5:027ec5c0c5928360,5,HumanEval/5,HumanEval-RandomSpanInfillingLight,17,long,122,16,False,True,True,reference_verified,97b17f8f08b4e9fb,2
6,HumanEval-RandomSpanInfillingLight:6:f034ae89aa25d4fa,6,HumanEval/6,HumanEval-RandomSpanInfillingLight,70,extreme,121,22,False,False,False,strict_transform_rejected,,
7,HumanEval-RandomSpanInfillingLight:7:c1f6b7150375bd50,7,HumanEval/7,HumanEval-RandomSpanInfillingLight,4,short,107,2,False,True,True,reference_verified,ecae49f829c0abb0,1
8,HumanEval-RandomSpanInfillingLight:8:95068ce714f09af6,8,HumanEval/8,HumanEval-RandomSpanInfillingLight,33,extreme,119,9,False,True,True,reference_verified,cdc5543ff829243b,3
9,HumanEval-RandomSpanInfillingLight:9:c7e5c290aba2557d,9,HumanEval/9,HumanEval-RandomSpanInfillingLight,30,extreme,121,15,False,True,True,reference_verified,db4e578ca4a82a54,3
10,HumanEval-RandomSpanInfillingLight:10:4c20421111c310c3,10,HumanEval/10,HumanEval-RandomSpanInfillingLight,10,medium,224,1,False,True,True,reference_verified,789246422f6d95c3,1
11,HumanEval-RandomSpanInfillingLight:11:baa808455794c500,11,HumanEval/11,HumanEval-RandomSpanInfillingLight,30,extreme,87,23,False,False,False,strict_transform_rejected,,
12,HumanEval-RandomSpanInfillingLight:12:f2aa2ebb7823f0fe,12,HumanEval/12,HumanEval-RandomSpanInfillingLight,13,medium,120,22,False,True,True,reference_verified,8064c95967ab1463,3
13,HumanEval-RandomSpanInfillingLight:13:4c9d3db0afe5e5b1,13,HumanEval/13,HumanEval-RandomSpanInfillingLight,17,long,72,5,False,False,False,strict_transform_rejected,,
14,HumanEval-RandomSpanInfillingLight:14:8100a1983da68053,14,HumanEval/14,HumanEval-RandomSpanInfillingLight,19,long,65,5,False,True,True,reference_verified,ff1e9c19284a00e1,2
15,HumanEval-RandomSpanInfillingLight:15:333b588dd410244c,15,HumanEval/15,HumanEval-RandomSpanInfillingLight,12,medium,78,2,False,True,True,reference_verified,ecae49f829c0abb0,1
16,HumanEval-RandomSpanInfillingLight:16:128c8aed57ff58a8,16,HumanEval/16,HumanEval-RandomSpanInfillingLight,4,short,78,2,False,False,False,strict_transform_rejected,,
