task_id,stratum,policy,status,passed,oracle_length,selected_length,selected_minus_oracle,final_source,total_sec_including_probe
SingleLineInfilling/HumanEval/0/L2,short_primary_pass,primary_cal_lite,ok,False,7,5,-2,,3.440974300727248
SingleLineInfilling/HumanEval/0/L2,short_primary_pass,best_simple_lcal_bounded_repair,ok,True,7,7,0,official_bounded_repair,2.920284175314009
SingleLineInfilling/HumanEval/0/L2,short_primary_pass,oracle_sufficient_canvas,not_run,,,,,,
SingleLineInfilling/HumanEval/0/L4,short_primary_pass,primary_cal_lite,ok,True,6,6,0,,3.445346466265619
SingleLineInfilling/HumanEval/0/L4,short_primary_pass,best_simple_lcal_bounded_repair,ok,True,6,6,0,base,2.871349365450442
SingleLineInfilling/HumanEval/0/L4,short_primary_pass,oracle_sufficient_canvas,not_run,,,,,,
SingleLineInfilling/HumanEval/0/L5,short_primary_pass,primary_cal_lite,ok,True,4,3,-1,,3.4037788044661283
SingleLineInfilling/HumanEval/0/L5,short_primary_pass,best_simple_lcal_bounded_repair,ok,True,4,9,5,official_bounded_repair,2.8815667536109686
SingleLineInfilling/HumanEval/0/L5,short_primary_pass,oracle_sufficient_canvas,not_run,,,,,,
SingleLineInfilling/HumanEval/10/L5,medium_near_long_underselection,primary_cal_lite,ok,False,14,13,-1,,3.6234946362674236
SingleLineInfilling/HumanEval/10/L5,medium_near_long_underselection,best_simple_lcal_bounded_repair,ok,False,14,13,-1,strong_correction,3.0693458234891295
SingleLineInfilling/HumanEval/10/L5,medium_near_long_underselection,oracle_sufficient_canvas,not_run,,,,,,
SingleLineInfilling/HumanEval/10/L8,medium_near_long_underselection,primary_cal_lite,ok,False,14,6,-8,,3.5996316066011786
SingleLineInfilling/HumanEval/10/L8,medium_near_long_underselection,best_simple_lcal_bounded_repair,ok,False,14,6,-8,base,3.092003785073757
SingleLineInfilling/HumanEval/10/L8,medium_near_long_underselection,oracle_sufficient_canvas,not_run,,,,,,
SingleLineInfilling/HumanEval/100/L0,medium_near_long_underselection,primary_cal_lite,ok,False,14,6,-8,,2.792499938979745
SingleLineInfilling/HumanEval/100/L0,medium_near_long_underselection,best_simple_lcal_bounded_repair,ok,False,14,6,-8,base,3.03575521428138
SingleLineInfilling/HumanEval/100/L0,medium_near_long_underselection,oracle_sufficient_canvas,not_run,,,,,,
SingleLineInfilling/HumanEval/104/L2,missed_failed_long,primary_cal_lite,ok,False,19,4,-15,,2.7507395884022117
SingleLineInfilling/HumanEval/104/L2,missed_failed_long,best_simple_lcal_bounded_repair,ok,False,19,4,-15,base,3.04886192176491
SingleLineInfilling/HumanEval/104/L2,missed_failed_long,oracle_sufficient_canvas,not_run,,,,,,
SingleLineInfilling/HumanEval/107/L7,missed_failed_long,primary_cal_lite,ok,True,14,16,2,,4.376917007379234
SingleLineInfilling/HumanEval/107/L7,missed_failed_long,best_simple_lcal_bounded_repair,ok,True,14,16,2,strong_correction,4.607894990593195
SingleLineInfilling/HumanEval/107/L7,missed_failed_long,oracle_sufficient_canvas,not_run,,,,,,
SingleLineInfilling/HumanEval/107/L9,missed_failed_long,primary_cal_lite,ok,True,14,14,0,,4.4140032874420285
SingleLineInfilling/HumanEval/107/L9,missed_failed_long,best_simple_lcal_bounded_repair,ok,True,14,14,0,strong_correction,4.584981080144644
SingleLineInfilling/HumanEval/107/L9,missed_failed_long,oracle_sufficient_canvas,not_run,,,,,,
SingleLineInfilling/HumanEval/147/L0,triggered_failed_long,primary_cal_lite,ok,False,21,16,-5,,3.219221740961075
SingleLineInfilling/HumanEval/147/L0,triggered_failed_long,best_simple_lcal_bounded_repair,ok,False,21,16,-5,strong_correction,3.373090489767492
SingleLineInfilling/HumanEval/147/L0,triggered_failed_long,oracle_sufficient_canvas,not_run,,,,,,
SingleLineInfilling/HumanEval/71/L3,triggered_failed_long,primary_cal_lite,ok,False,29,15,-14,,2.974901874549687
SingleLineInfilling/HumanEval/71/L3,triggered_failed_long,best_simple_lcal_bounded_repair,ok,False,29,15,-14,strong_correction,3.120884358882904
SingleLineInfilling/HumanEval/71/L3,triggered_failed_long,oracle_sufficient_canvas,not_run,,,,,,
SingleLineInfilling/HumanEval/80/L5,triggered_failed_long,primary_cal_lite,ok,False,33,11,-22,,2.797253510914743
SingleLineInfilling/HumanEval/80/L5,triggered_failed_long,best_simple_lcal_bounded_repair,ok,False,33,11,-22,base,3.0253160167485476
SingleLineInfilling/HumanEval/80/L5,triggered_failed_long,oracle_sufficient_canvas,not_run,,,,,,
SingleLineInfilling/HumanEval/1/L13,positive_control_recoverable,primary_cal_lite,ok,True,9,9,0,,3.7162663117051125
SingleLineInfilling/HumanEval/1/L13,positive_control_recoverable,best_simple_lcal_bounded_repair,ok,False,9,6,-3,base,3.3462391812354326
SingleLineInfilling/HumanEval/1/L13,positive_control_recoverable,oracle_sufficient_canvas,not_run,,,,,,
SingleLineInfilling/HumanEval/101/L12,positive_control_recoverable,primary_cal_lite,ok,True,6,6,0,,2.8487395280972123
SingleLineInfilling/HumanEval/101/L12,positive_control_recoverable,best_simple_lcal_bounded_repair,ok,True,6,13,7,official_mid_rescue,3.1559686521068215
SingleLineInfilling/HumanEval/101/L12,positive_control_recoverable,oracle_sufficient_canvas,not_run,,,,,,
SingleLineInfilling/HumanEval/102/L3,positive_control_recoverable,primary_cal_lite,ok,True,4,4,0,,2.791724202223122
SingleLineInfilling/HumanEval/102/L3,positive_control_recoverable,best_simple_lcal_bounded_repair,ok,True,4,4,0,base,2.983764265663922
SingleLineInfilling/HumanEval/102/L3,positive_control_recoverable,oracle_sufficient_canvas,not_run,,,,,,
