task_id,case_pool,oracle_bucket,action_id,deployability,canvas_rule,planned_canvas_length,oracle_exceeds_max_canvas,canvas_is_oracle_sufficient,planned_total_steps,description
SingleLineInfilling/HumanEval/116/L0,positive_control_rescued,17-24,A_primary,deployable_current_primary,use_midcons_selected_length,3,False,False,64,Current midcons primary output from the baseline run.
SingleLineInfilling/HumanEval/116/L0,positive_control_rescued,17-24,B_route2_len32,deployable_current_route2,use_existing_route2_precision_len32_output,32,False,True,64,Current Route2 precision_top1_conf rescue len32 output when triggered; otherwise primary.
SingleLineInfilling/HumanEval/116/L0,positive_control_rescued,17-24,C_oracle_sufficient,offline_ceiling_only_oracle_canvas,"max(primary_len, route2_len, oracle_len)",32,False,True,64,Offline ceiling action: use a canvas guaranteed not shorter than oracle/reference length.
SingleLineInfilling/HumanEval/116/L0,positive_control_rescued,17-24,D_oracle_sufficient_steps96,offline_ceiling_only_oracle_canvas,"max(primary_len, route2_len, oracle_len)",32,False,True,96,"Same oracle-sufficient canvas as C, but with a fixed 96-step schedule."
SingleLineInfilling/HumanEval/85/L0,triggered_failed_long,25+,A_primary,deployable_current_primary,use_midcons_selected_length,3,False,False,64,Current midcons primary output from the baseline run.
SingleLineInfilling/HumanEval/85/L0,triggered_failed_long,25+,B_route2_len32,deployable_current_route2,use_existing_route2_precision_len32_output,32,False,True,64,Current Route2 precision_top1_conf rescue len32 output when triggered; otherwise primary.
SingleLineInfilling/HumanEval/85/L0,triggered_failed_long,25+,C_oracle_sufficient,offline_ceiling_only_oracle_canvas,"max(primary_len, route2_len, oracle_len)",32,False,True,64,Offline ceiling action: use a canvas guaranteed not shorter than oracle/reference length.
SingleLineInfilling/HumanEval/85/L0,triggered_failed_long,25+,D_oracle_sufficient_steps96,offline_ceiling_only_oracle_canvas,"max(primary_len, route2_len, oracle_len)",32,False,True,96,"Same oracle-sufficient canvas as C, but with a fixed 96-step schedule."
SingleLineInfilling/HumanEval/113/L3,missed_failed_long,25+,A_primary,deployable_current_primary,use_midcons_selected_length,6,False,False,64,Current midcons primary output from the baseline run.
SingleLineInfilling/HumanEval/113/L3,missed_failed_long,25+,B_route2_len32,deployable_current_route2,use_existing_route2_precision_len32_output,6,False,False,64,Current Route2 precision_top1_conf rescue len32 output when triggered; otherwise primary.
SingleLineInfilling/HumanEval/113/L3,missed_failed_long,25+,C_oracle_sufficient,offline_ceiling_only_oracle_canvas,"max(primary_len, route2_len, oracle_len)",44,False,True,64,Offline ceiling action: use a canvas guaranteed not shorter than oracle/reference length.
SingleLineInfilling/HumanEval/113/L3,missed_failed_long,25+,D_oracle_sufficient_steps96,offline_ceiling_only_oracle_canvas,"max(primary_len, route2_len, oracle_len)",44,False,True,96,"Same oracle-sufficient canvas as C, but with a fixed 96-step schedule."
