diagnostic_name_zh,variant,record_scope,offset,reference_subset,final_verdict,generation_stage,actual_total_variation_task_group_macro,cases,raw_total_variation_task_group_macro,task_groups,transitions
全局置信度逐词刷新诊断,C1,stage_and_verdict,1,reference_prefix_aligned,all,early,0.044572363644504266,1012,0.07586452843471256,164,5324
全局置信度逐词刷新诊断,C1,stage_and_verdict,1,reference_prefix_aligned,all,middle,0.0019601004464285714,9,0.03247102629853883,7,63
全局置信度逐词刷新诊断,C1,stage_and_verdict,1,reference_prefix_aligned,all,late,0.046142578125,2,0.07536353132066627,2,5
全局置信度逐词刷新诊断,C1,stage_and_verdict,1,reference_prefix_aligned,pass,all,0.03418882642525723,933,0.06688067634161438,151,5096
全局置信度逐词刷新诊断,C1,stage_and_verdict,1,reference_prefix_aligned,pass,early,0.03419462639022674,933,0.06698066317656012,151,5028
全局置信度逐词刷新诊断,C1,stage_and_verdict,1,reference_prefix_aligned,pass,middle,0.0019601004464285714,9,0.03247102629853883,7,63
全局置信度逐词刷新诊断,C1,stage_and_verdict,1,reference_prefix_aligned,pass,late,0.046142578125,2,0.07536353132066627,2,5
全局置信度逐词刷新诊断,C1,stage_and_verdict,1,reference_prefix_aligned,fail,all,0.09963757691273906,79,0.1259734377730771,55,296
全局置信度逐词刷新诊断,C1,stage_and_verdict,1,reference_prefix_aligned,fail,early,0.09963757691273906,79,0.1259734377730771,55,296
全局置信度逐词刷新诊断,C1,stage_and_verdict,1,predecessor_correct,all,early,0.044520669993597745,1017,0.07931164034344658,164,5650
全局置信度逐词刷新诊断,C1,stage_and_verdict,1,predecessor_correct,all,middle,0.0019601004464285714,9,0.03247102629853883,7,63
全局置信度逐词刷新诊断,C1,stage_and_verdict,1,predecessor_correct,all,late,0.046142578125,2,0.07536353132066627,2,5
全局置信度逐词刷新诊断,C1,stage_and_verdict,1,predecessor_correct,pass,all,0.033644011805668866,937,0.06894797445209067,151,5369
全局置信度逐词刷新诊断,C1,stage_and_verdict,1,predecessor_correct,pass,early,0.033647844866928865,937,0.06905801910648728,151,5301
全局置信度逐词刷新诊断,C1,stage_and_verdict,1,predecessor_correct,pass,middle,0.0019601004464285714,9,0.03247102629853883,7,63
全局置信度逐词刷新诊断,C1,stage_and_verdict,1,predecessor_correct,pass,late,0.046142578125,2,0.07536353132066627,2,5
全局置信度逐词刷新诊断,C1,stage_and_verdict,1,predecessor_correct,fail,all,0.10523307243176903,80,0.1388482427974727,55,349
全局置信度逐词刷新诊断,C1,stage_and_verdict,1,predecessor_correct,fail,early,0.10523307243176903,80,0.1388482427974727,55,349
全局置信度逐词刷新诊断,C1,stage_and_verdict,1,overall,all,early,0.06630185981167276,1027,0.11003215313969544,164,8484
全局置信度逐词刷新诊断,C1,stage_and_verdict,1,overall,all,middle,0.09580146059586024,37,0.1640325158666782,33,291
全局置信度逐词刷新诊断,C1,stage_and_verdict,1,overall,all,late,0.177886962890625,11,0.2354842135643897,10,31
全局置信度逐词刷新诊断,C1,stage_and_verdict,1,overall,pass,all,0.050929637114265965,947,0.09287099135838377,151,7786
全局置信度逐词刷新诊断,C1,stage_and_verdict,1,overall,pass,early,0.05017788671288067,947,0.09194547100151693,151,7541
全局置信度逐词刷新诊断,C1,stage_and_verdict,1,overall,pass,middle,0.05081561619676279,28,0.12833911381969926,25,220
全局置信度逐词刷新诊断,C1,stage_and_verdict,1,overall,pass,late,0.24758475167410718,8,0.2872795587616218,7,25
全局置信度逐词刷新诊断,C1,stage_and_verdict,1,overall,fail,all,0.15960892542637237,80,0.21148303091220594,55,1020
全局置信度逐词刷新诊断,C1,stage_and_verdict,1,overall,fail,early,0.16095110491814074,80,0.2123527745651932,55,943
全局置信度逐词刷新诊断,C1,stage_and_verdict,1,overall,fail,middle,0.21011753274936867,9,0.26261118763543695,9,71
全局置信度逐词刷新诊断,C1,stage_and_verdict,1,overall,fail,late,0.0152587890625,3,0.11462840810418129,3,6
全局置信度逐词刷新诊断,C1,stage_and_verdict,2,reference_prefix_aligned,all,early,0.07988656848086462,976,0.23726778305339002,157,4273
全局置信度逐词刷新诊断,C1,stage_and_verdict,2,reference_prefix_aligned,all,middle,0.0033908420138888886,7,0.16505504100221313,6,54
全局置信度逐词刷新诊断,C1,stage_and_verdict,2,reference_prefix_aligned,all,late,0.31103515625,2,0.15418965462595224,2,3
全局置信度逐词刷新诊断,C1,stage_and_verdict,2,reference_prefix_aligned,pass,all,0.06886206739433427,908,0.22308704982623676,148,4125
全局置信度逐词刷新诊断,C1,stage_and_verdict,2,reference_prefix_aligned,pass,early,0.06888387567548955,908,0.2232158640138108,148,4068
全局置信度逐词刷新诊断,C1,stage_and_verdict,2,reference_prefix_aligned,pass,middle,0.0033908420138888886,7,0.16505504100221313,6,54
全局置信度逐词刷新诊断,C1,stage_and_verdict,2,reference_prefix_aligned,pass,late,0.31103515625,2,0.15418965462595224,2,3
全局置信度逐词刷新诊断,C1,stage_and_verdict,2,reference_prefix_aligned,fail,all,0.18624257082661622,68,0.3072775319002359,48,205
全局置信度逐词刷新诊断,C1,stage_and_verdict,2,reference_prefix_aligned,fail,early,0.18624257082661622,68,0.3072775319002359,48,205
全局置信度逐词刷新诊断,C1,stage_and_verdict,2,predecessor_correct,all,early,0.0778245334865663,987,0.23527524923157897,159,4507
全局置信度逐词刷新诊断,C1,stage_and_verdict,2,predecessor_correct,all,middle,0.0033908420138888886,7,0.16505504100221313,6,54
全局置信度逐词刷新诊断,C1,stage_and_verdict,2,predecessor_correct,all,late,0.31103515625,2,0.15418965462595224,2,3
全局置信度逐词刷新诊断,C1,stage_and_verdict,2,predecessor_correct,pass,all,0.06583419401990759,916,0.22116455174998964,149,4322
全局置信度逐词刷新诊断,C1,stage_and_verdict,2,predecessor_correct,pass,early,0.06585230862251713,916,0.2212886617423883,149,4265
全局置信度逐词刷新诊断,C1,stage_and_verdict,2,predecessor_correct,pass,middle,0.0033908420138888886,7,0.16505504100221313,6,54
全局置信度逐词刷新诊断,C1,stage_and_verdict,2,predecessor_correct,pass,late,0.31103515625,2,0.15418965462595224,2,3
全局置信度逐词刷新诊断,C1,stage_and_verdict,2,predecessor_correct,fail,all,0.1875987389346764,71,0.3129742819220169,50,242
全局置信度逐词刷新诊断,C1,stage_and_verdict,2,predecessor_correct,fail,early,0.1875987389346764,71,0.3129742819220169,50,242
全局置信度逐词刷新诊断,C1,stage_and_verdict,2,overall,all,early,0.10876441204018011,1026,0.258019460864663,164,7086
全局置信度逐词刷新诊断,C1,stage_and_verdict,2,overall,all,middle,0.1416304232113694,31,0.24132654273256107,27,236
