synthetic_task_id,source_task_id,task_group,regime,span_line_count,length_bucket,reference_chars,entry_point,span_start_line,span_end_line
SyntheticSecondRegimeMinimal/HumanEval/0/L0/short,SingleLineInfilling/HumanEval/0/L0,HumanEval/0,synthetic_second_regime_minimal,1,short,21,has_close_elements,5,6
SyntheticSecondRegimeMinimal/HumanEval/1/L0/short,SingleLineInfilling/HumanEval/1/L0,HumanEval/1,synthetic_second_regime_minimal,1,short,77,separate_paren_groups,5,6
SyntheticSecondRegimeMinimal/HumanEval/2/L0/short,SingleLineInfilling/HumanEval/2/L0,HumanEval/2,synthetic_second_regime_minimal,1,short,78,truncate_number,4,5
SyntheticSecondRegimeMinimal/HumanEval/3/L0/short,SingleLineInfilling/HumanEval/3/L0,HumanEval/3,synthetic_second_regime_minimal,1,short,103,below_zero,5,6
SyntheticSecondRegimeMinimal/HumanEval/4/L0/short,SingleLineInfilling/HumanEval/4/L0,HumanEval/4,synthetic_second_regime_minimal,1,short,37,mean_absolute_deviation,5,6
SyntheticSecondRegimeMinimal/HumanEval/5/L0/short,SingleLineInfilling/HumanEval/5/L0,HumanEval/5,synthetic_second_regime_minimal,1,short,27,intersperse,5,6
SyntheticSecondRegimeMinimal/HumanEval/6/L0/medium,SingleLineInfilling/HumanEval/6/L0,HumanEval/6,synthetic_second_regime_minimal,3,medium,154,parse_nested_parens,5,8
SyntheticSecondRegimeMinimal/HumanEval/7/L0/medium,SingleLineInfilling/HumanEval/7/L0,HumanEval/7,synthetic_second_regime_minimal,3,medium,110,filter_by_substring,5,8
SyntheticSecondRegimeMinimal/HumanEval/8/L0/medium,SingleLineInfilling/HumanEval/8/L0,HumanEval/8,synthetic_second_regime_minimal,3,medium,110,sum_product,5,8
SyntheticSecondRegimeMinimal/HumanEval/9/L0/medium,SingleLineInfilling/HumanEval/9/L0,HumanEval/9,synthetic_second_regime_minimal,3,medium,90,rolling_max,5,8
SyntheticSecondRegimeMinimal/HumanEval/10/L0/medium,SingleLineInfilling/HumanEval/10/L0,HumanEval/10,synthetic_second_regime_minimal,3,medium,36,make_palindrome,4,7
SyntheticSecondRegimeMinimal/HumanEval/11/L0/medium,SingleLineInfilling/HumanEval/11/L0,HumanEval/11,synthetic_second_regime_minimal,3,medium,118,string_xor,5,8
SyntheticSecondRegimeMinimal/HumanEval/12/L0/long,SingleLineInfilling/HumanEval/12/L0,HumanEval/12,synthetic_second_regime_minimal,6,long,175,longest,5,11
SyntheticSecondRegimeMinimal/HumanEval/13/L0/long,SingleLineInfilling/HumanEval/13/L0,HumanEval/13,synthetic_second_regime_minimal,6,long,99,greatest_common_divisor,4,10
SyntheticSecondRegimeMinimal/HumanEval/14/L0/long,SingleLineInfilling/HumanEval/14/L0,HumanEval/14,synthetic_second_regime_minimal,6,long,77,all_prefixes,5,11
SyntheticSecondRegimeMinimal/HumanEval/15/L0/long,SingleLineInfilling/HumanEval/15/L0,HumanEval/15,synthetic_second_regime_minimal,6,long,89,string_sequence,4,10
SyntheticSecondRegimeMinimal/HumanEval/16/L0/long,SingleLineInfilling/HumanEval/16/L0,HumanEval/16,synthetic_second_regime_minimal,6,long,108,count_distinct_characters,4,10
SyntheticSecondRegimeMinimal/HumanEval/17/L0/long,SingleLineInfilling/HumanEval/17/L0,HumanEval/17,synthetic_second_regime_minimal,6,long,222,parse_music,5,11
