task_id,pool,historical_error_type,unique_candidate_hash_count,any_correct,compile_repaired,all_actions_unchanged,all_actions_distinct_but_wrong,error_types,actions_passed,max_trace_instability,selection_priority
SingleLineInfilling/HumanEval/153/L1,missed_failed_long,UnitTestFailure,1,True,False,True,False,{'None': 3},"['E_oracle_sufficient_no_early_commit', 'F_oracle_sufficient_trace_remask', 'G_oracle_sufficient_trace_span_remask']",48,1
SingleLineInfilling/HumanEval/153/L3,missed_failed_long,UnitTestFailure,1,True,False,True,False,{'None': 3},"['E_oracle_sufficient_no_early_commit', 'F_oracle_sufficient_trace_remask', 'G_oracle_sufficient_trace_span_remask']",41,1
SingleLineInfilling/HumanEval/50/L0,missed_failed_long,SyntaxError,1,True,True,True,False,{'None': 3},"['E_oracle_sufficient_no_early_commit', 'F_oracle_sufficient_trace_remask', 'G_oracle_sufficient_trace_span_remask']",35,1
SingleLineInfilling/HumanEval/80/L5,missed_failed_long,UnitTestFailure,1,True,False,True,False,{'None': 3},"['E_oracle_sufficient_no_early_commit', 'F_oracle_sufficient_trace_remask', 'G_oracle_sufficient_trace_span_remask']",34,1
SingleLineInfilling/HumanEval/116/L0,positive_control_rescued,SyntaxError,1,True,True,True,False,{'None': 3},"['E_oracle_sufficient_no_early_commit', 'F_oracle_sufficient_trace_remask', 'G_oracle_sufficient_trace_span_remask']",32,1
SingleLineInfilling/HumanEval/16/L0,positive_control_rescued,UnitTestFailure,1,True,False,True,False,{'None': 3},"['E_oracle_sufficient_no_early_commit', 'F_oracle_sufficient_trace_remask', 'G_oracle_sufficient_trace_span_remask']",32,1
SingleLineInfilling/HumanEval/34/L0,positive_control_rescued,SyntaxError,2,True,True,False,False,"{'None': 2, 'UnitTestFailure': 1}","['E_oracle_sufficient_no_early_commit', 'F_oracle_sufficient_trace_remask']",32,1
SingleLineInfilling/HumanEval/60/L0,positive_control_rescued,SyntaxError,1,True,True,True,False,{'None': 3},"['E_oracle_sufficient_no_early_commit', 'F_oracle_sufficient_trace_remask', 'G_oracle_sufficient_trace_span_remask']",32,1
SingleLineInfilling/HumanEval/66/L1,positive_control_rescued,SyntaxError,1,True,True,True,False,{'None': 3},"['E_oracle_sufficient_no_early_commit', 'F_oracle_sufficient_trace_remask', 'G_oracle_sufficient_trace_span_remask']",32,1
SingleLineInfilling/HumanEval/67/L4,positive_control_rescued,UnitTestFailure,1,True,False,True,False,{'None': 3},"['E_oracle_sufficient_no_early_commit', 'F_oracle_sufficient_trace_remask', 'G_oracle_sufficient_trace_span_remask']",32,1
SingleLineInfilling/HumanEval/47/L4,missed_failed_long,SyntaxError,1,True,True,True,False,{'None': 3},"['E_oracle_sufficient_no_early_commit', 'F_oracle_sufficient_trace_remask', 'G_oracle_sufficient_trace_span_remask']",29,1
SingleLineInfilling/HumanEval/71/L3,missed_failed_long,UnitTestFailure,1,True,False,True,False,{'None': 3},"['E_oracle_sufficient_no_early_commit', 'F_oracle_sufficient_trace_remask', 'G_oracle_sufficient_trace_span_remask']",29,1
SingleLineInfilling/HumanEval/146/L6,missed_failed_long,UnitTestFailure,1,True,False,True,False,{'None': 3},"['E_oracle_sufficient_no_early_commit', 'F_oracle_sufficient_trace_remask', 'G_oracle_sufficient_trace_span_remask']",27,1
SingleLineInfilling/HumanEval/63/L6,missed_failed_long,UnitTestFailure,1,True,False,True,False,{'None': 3},"['E_oracle_sufficient_no_early_commit', 'F_oracle_sufficient_trace_remask', 'G_oracle_sufficient_trace_span_remask']",26,1
SingleLineInfilling/HumanEval/39/L5,missed_failed_long,UnitTestFailure,1,True,False,True,False,{'None': 3},"['E_oracle_sufficient_no_early_commit', 'F_oracle_sufficient_trace_remask', 'G_oracle_sufficient_trace_span_remask']",24,1
SingleLineInfilling/HumanEval/156/L2,missed_failed_long,UnitTestFailure,1,True,False,True,False,{'None': 3},"['E_oracle_sufficient_no_early_commit', 'F_oracle_sufficient_trace_remask', 'G_oracle_sufficient_trace_span_remask']",23,1
SingleLineInfilling/HumanEval/92/L2,missed_failed_long,UnitTestFailure,1,True,False,True,False,{'None': 3},"['E_oracle_sufficient_no_early_commit', 'F_oracle_sufficient_trace_remask', 'G_oracle_sufficient_trace_span_remask']",23,1
SingleLineInfilling/HumanEval/78/L0,missed_failed_long,UnitTestFailure,1,True,False,True,False,{'None': 3},"['E_oracle_sufficient_no_early_commit', 'F_oracle_sufficient_trace_remask', 'G_oracle_sufficient_trace_span_remask']",22,1
SingleLineInfilling/HumanEval/117/L4,missed_failed_long,UnitTestFailure,1,True,False,True,False,{'None': 3},"['E_oracle_sufficient_no_early_commit', 'F_oracle_sufficient_trace_remask', 'G_oracle_sufficient_trace_span_remask']",21,1
