task_id,task_group,case_pool,action_id,experimental_seed,seed,passed,generated_text_sha256,generated_text_len,code_sha256,selected_mask_length,actual_canvas_length,oracle_mask_length,canvas_is_oracle_sufficient,decode_steps,actual_forward_steps,effective_steps,effective_update_steps,total_token_changes,early_commit_enabled,early_commit_triggered,full_schedule_completed,stop_reason,no_remaining_masks_first_step,remasked_token_count,remasked_span_start,remasked_span_end_exclusive,remasked_span_width,remasked_span_center_index,refinement_steps,refinement_executed,span_refinement_executed,stage1_hash,output_changed_vs_C,total_sec_including_probe,compile_passed,error_type,error_message_short,action_was_executed,execution_note,source_commit,c_reference_hash
SingleLineInfilling/HumanEval/108/L2,HumanEval/108,missed_failed_long,E_oracle_sufficient_no_early_commit,1,261286275,True,6ff137a5ebd22ce9de442ed4927ecb6f92b6dd1a06fc68a57d2be93cf7221af5,58,61d3da89ee4f9ee49de75fdca2f3fb5238dc60719373473a533bff6e8932cf8a,20,20,20,True,64,64,64,20,20,False,False,True,not_stopped,63,,,,,,,,,,True,4.1393423260888085,True,,,True,executed_oracle_sufficient_no_early_commit,89e30c13879d1197ef5588ef5da4582d6d1e44b4,391cc8305e7a1252a2de80ef31c0ba585d1ed55e318aff3886ba54363bf093ac
SingleLineInfilling/HumanEval/108/L2,HumanEval/108,missed_failed_long,F_oracle_sufficient_trace_remask,1,261286275,False,391cc8305e7a1252a2de80ef31c0ba585d1ed55e318aff3886ba54363bf093ac,58,8188bc184ce12872c7d4e5a2c70c61626338a5d35ba719d678859b35bdebe5ff,20,20,20,True,80,58,16,2,2,False,False,True,not_stopped,12,2,,,,,16,True,,391cc8305e7a1252a2de80ef31c0ba585d1ed55e318aff3886ba54363bf093ac,False,3.8889586880104616,True,UnitTestFailure,failed: invalid literal for int() with base 10: '-',True,executed_trace_token_remask_refinement,89e30c13879d1197ef5588ef5da4582d6d1e44b4,391cc8305e7a1252a2de80ef31c0ba585d1ed55e318aff3886ba54363bf093ac
SingleLineInfilling/HumanEval/108/L2,HumanEval/108,missed_failed_long,G_oracle_sufficient_trace_span_remask,1,261286275,True,871bd8f28df9842878fc452c42e5aeb43cedeb1f1390e6f5ac26d1f4bc361bc6,59,cf041ecd3664602fa59a19fc40e272112dd62a5730eaa73d64bbddf254b4d227,20,20,20,True,88,66,24,4,4,False,False,True,not_stopped,21,4,13,17,4,15,24,True,True,391cc8305e7a1252a2de80ef31c0ba585d1ed55e318aff3886ba54363bf093ac,True,4.371117060305551,True,,,True,executed_trace_span_remask_refinement,89e30c13879d1197ef5588ef5da4582d6d1e44b4,391cc8305e7a1252a2de80ef31c0ba585d1ed55e318aff3886ba54363bf093ac
SingleLineInfilling/HumanEval/108/L2,HumanEval/108,missed_failed_long,E_oracle_sufficient_no_early_commit,2,925685379,True,6ff137a5ebd22ce9de442ed4927ecb6f92b6dd1a06fc68a57d2be93cf7221af5,58,61d3da89ee4f9ee49de75fdca2f3fb5238dc60719373473a533bff6e8932cf8a,20,20,20,True,64,64,64,20,20,False,False,True,not_stopped,63,,,,,,,,,,True,4.153208830044605,True,,,True,executed_oracle_sufficient_no_early_commit,89e30c13879d1197ef5588ef5da4582d6d1e44b4,391cc8305e7a1252a2de80ef31c0ba585d1ed55e318aff3886ba54363bf093ac
SingleLineInfilling/HumanEval/108/L2,HumanEval/108,missed_failed_long,F_oracle_sufficient_trace_remask,2,925685379,False,391cc8305e7a1252a2de80ef31c0ba585d1ed55e318aff3886ba54363bf093ac,58,8188bc184ce12872c7d4e5a2c70c61626338a5d35ba719d678859b35bdebe5ff,20,20,20,True,80,58,16,2,2,False,False,True,not_stopped,12,2,,,,,16,True,,391cc8305e7a1252a2de80ef31c0ba585d1ed55e318aff3886ba54363bf093ac,False,3.864361304906197,True,UnitTestFailure,failed: invalid literal for int() with base 10: '-',True,executed_trace_token_remask_refinement,89e30c13879d1197ef5588ef5da4582d6d1e44b4,391cc8305e7a1252a2de80ef31c0ba585d1ed55e318aff3886ba54363bf093ac
SingleLineInfilling/HumanEval/108/L2,HumanEval/108,missed_failed_long,G_oracle_sufficient_trace_span_remask,2,925685379,True,871bd8f28df9842878fc452c42e5aeb43cedeb1f1390e6f5ac26d1f4bc361bc6,59,cf041ecd3664602fa59a19fc40e272112dd62a5730eaa73d64bbddf254b4d227,20,20,20,True,88,66,24,4,4,False,False,True,not_stopped,21,4,13,17,4,15,24,True,True,391cc8305e7a1252a2de80ef31c0ba585d1ed55e318aff3886ba54363bf093ac,True,4.402629637159407,True,,,True,executed_trace_span_remask_refinement,89e30c13879d1197ef5588ef5da4582d6d1e44b4,391cc8305e7a1252a2de80ef31c0ba585d1ed55e318aff3886ba54363bf093ac
SingleLineInfilling/HumanEval/112/L0,HumanEval/112,missed_failed_long,E_oracle_sufficient_no_early_commit,1,920163361,True,4e233a213fb20987588d20742290f03ee8724e129c7d8e1b74508d9bdb1fbcd8,46,ca5ce28d5b2dafd5766e34dcd2a86aaf4211065b4c1955885472f4975353e0f2,19,19,19,True,64,64,64,19,19,False,False,True,not_stopped,63,,,,,,,,,,False,4.057046010973863,True,,,True,executed_oracle_sufficient_no_early_commit,89e30c13879d1197ef5588ef5da4582d6d1e44b4,4e233a213fb20987588d20742290f03ee8724e129c7d8e1b74508d9bdb1fbcd8
SingleLineInfilling/HumanEval/112/L0,HumanEval/112,missed_failed_long,F_oracle_sufficient_trace_remask,1,920163361,True,4e233a213fb20987588d20742290f03ee8724e129c7d8e1b74508d9bdb1fbcd8,46,ca5ce28d5b2dafd5766e34dcd2a86aaf4211065b4c1955885472f4975353e0f2,19,19,19,True,80,73,16,2,2,False,False,True,not_stopped,12,2,,,,,16,True,,4e233a213fb20987588d20742290f03ee8724e129c7d8e1b74508d9bdb1fbcd8,False,4.719827380031347,True,,,True,executed_trace_token_remask_refinement,89e30c13879d1197ef5588ef5da4582d6d1e44b4,4e233a213fb20987588d20742290f03ee8724e129c7d8e1b74508d9bdb1fbcd8
SingleLineInfilling/HumanEval/112/L0,HumanEval/112,missed_failed_long,G_oracle_sufficient_trace_span_remask,1,920163361,True,4e233a213fb20987588d20742290f03ee8724e129c7d8e1b74508d9bdb1fbcd8,46,ca5ce28d5b2dafd5766e34dcd2a86aaf4211065b4c1955885472f4975353e0f2,19,19,19,True,88,81,24,4,4,False,False,True,not_stopped,21,4,11,15,4,13,24,True,True,4e233a213fb20987588d20742290f03ee8724e129c7d8e1b74508d9bdb1fbcd8,False,5.228730195085518,True,,,True,executed_trace_span_remask_refinement,89e30c13879d1197ef5588ef5da4582d6d1e44b4,4e233a213fb20987588d20742290f03ee8724e129c7d8e1b74508d9bdb1fbcd8
SingleLineInfilling/HumanEval/112/L0,HumanEval/112,missed_failed_long,E_oracle_sufficient_no_early_commit,2,50571362,True,4e233a213fb20987588d20742290f03ee8724e129c7d8e1b74508d9bdb1fbcd8,46,ca5ce28d5b2dafd5766e34dcd2a86aaf4211065b4c1955885472f4975353e0f2,19,19,19,True,64,64,64,19,19,False,False,True,not_stopped,63,,,,,,,,,,False,4.059426823980175,True,,,True,executed_oracle_sufficient_no_early_commit,89e30c13879d1197ef5588ef5da4582d6d1e44b4,4e233a213fb20987588d20742290f03ee8724e129c7d8e1b74508d9bdb1fbcd8
SingleLineInfilling/HumanEval/112/L0,HumanEval/112,missed_failed_long,F_oracle_sufficient_trace_remask,2,50571362,True,4e233a213fb20987588d20742290f03ee8724e129c7d8e1b74508d9bdb1fbcd8,46,ca5ce28d5b2dafd5766e34dcd2a86aaf4211065b4c1955885472f4975353e0f2,19,19,19,True,80,73,16,2,2,False,False,True,not_stopped,12,2,,,,,16,True,,4e233a213fb20987588d20742290f03ee8724e129c7d8e1b74508d9bdb1fbcd8,False,4.713738975930028,True,,,True,executed_trace_token_remask_refinement,89e30c13879d1197ef5588ef5da4582d6d1e44b4,4e233a213fb20987588d20742290f03ee8724e129c7d8e1b74508d9bdb1fbcd8
SingleLineInfilling/HumanEval/112/L0,HumanEval/112,missed_failed_long,G_oracle_sufficient_trace_span_remask,2,50571362,True,4e233a213fb20987588d20742290f03ee8724e129c7d8e1b74508d9bdb1fbcd8,46,ca5ce28d5b2dafd5766e34dcd2a86aaf4211065b4c1955885472f4975353e0f2,19,19,19,True,88,81,24,4,4,False,False,True,not_stopped,21,4,11,15,4,13,24,True,True,4e233a213fb20987588d20742290f03ee8724e129c7d8e1b74508d9bdb1fbcd8,False,5.187704244162887,True,,,True,executed_trace_span_remask_refinement,89e30c13879d1197ef5588ef5da4582d6d1e44b4,4e233a213fb20987588d20742290f03ee8724e129c7d8e1b74508d9bdb1fbcd8
SingleLineInfilling/HumanEval/117/L4,HumanEval/117,missed_failed_long,E_oracle_sufficient_no_early_commit,1,1550456463,True,8a021bfe7f2f49462b707da5c2269cc564b90fca0222e176e663c00ddd561604,83,e8b9eb690e93890b4e8539f9877356e31c7d46d820f799be6721b87711f33a12,21,21,21,True,64,64,64,21,21,False,False,True,not_stopped,63,,,,,,,,,,False,4.997091401019134,True,,,True,executed_oracle_sufficient_no_early_commit,89e30c13879d1197ef5588ef5da4582d6d1e44b4,8a021bfe7f2f49462b707da5c2269cc564b90fca0222e176e663c00ddd561604
SingleLineInfilling/HumanEval/117/L4,HumanEval/117,missed_failed_long,F_oracle_sufficient_trace_remask,1,1550456463,True,8a021bfe7f2f49462b707da5c2269cc564b90fca0222e176e663c00ddd561604,83,e8b9eb690e93890b4e8539f9877356e31c7d46d820f799be6721b87711f33a12,21,21,21,True,80,59,16,3,3,False,False,True,not_stopped,14,3,,,,,16,True,,8a021bfe7f2f49462b707da5c2269cc564b90fca0222e176e663c00ddd561604,False,4.73151520662941,True,,,True,executed_trace_token_remask_refinement,89e30c13879d1197ef5588ef5da4582d6d1e44b4,8a021bfe7f2f49462b707da5c2269cc564b90fca0222e176e663c00ddd561604
