action,action_equivalence_class,action_schema_version,actual_canvas,actual_forward_steps,code_sha256,compile_passed,decode_steps,early_commit_enabled,early_commit_triggered,effective_update_steps,error_message_short,error_type,experimental_seed,generated_text_sha256,inference_cost_sec,oracle_bucket,oracle_length,passed,primary_selected_length,seed,source_commit,split,stop_reason,target_length,task_group,task_id
EXPAND_16,SingleLineInfilling/HumanEval/0/L0|canvas=16,deployable_canvas_actions_v1,16,41,8ba5614c0e30146418ad573939e9834ea51cc11653eea11ccfb0ffcad230a43e,True,64,True,True,11,,,0,bcf9a0f455b1704fbf09db54761b4594ddca95acec8b250c7f053b1181462db0,2.246207311982289,9-12,11,True,11,1456829093,77c005153c8d98a8c8e078121ab33652baad6aba,train,global_gap_early_commit,16,HumanEval/0,SingleLineInfilling/HumanEval/0/L0
EXPAND_24,SingleLineInfilling/HumanEval/0/L0|canvas=24,deployable_canvas_actions_v1,24,41,69147ab3190c339e48fbdc3589920d774c446d769cef171660e0f753744bf004,True,64,True,True,16,failed: ,UnitTestFailure,0,00856841b85b2374865b1e7e7614a0308252785078ea910fe2295b0153a97747,2.567249477142468,9-12,11,False,11,1456829093,77c005153c8d98a8c8e078121ab33652baad6aba,train,global_gap_early_commit,24,HumanEval/0,SingleLineInfilling/HumanEval/0/L0
EXPAND_32,SingleLineInfilling/HumanEval/0/L0|canvas=32,deployable_canvas_actions_v1,32,43,432b0bfea2e3e0291edf048d8322a59a1edeaa2a1f9c0f2f54e435070c587958,True,64,True,True,22,,,0,682065602d02ed80a2b91ac5b77623dc5e92896f97e55ea2ad4d09f434f7bd46,2.7605479310732335,9-12,11,True,11,1456829093,77c005153c8d98a8c8e078121ab33652baad6aba,train,global_gap_early_commit,32,HumanEval/0,SingleLineInfilling/HumanEval/0/L0
EXPAND_48,SingleLineInfilling/HumanEval/0/L0|canvas=48,deployable_canvas_actions_v1,48,51,4bcedf10f071c3a53de6d5ec1016a873029e8a6cd678fb2ddcfad1fd8efa220c,True,64,True,True,39,failed: ,UnitTestFailure,0,44fc0a20391acfcf2238aafc45dad46577364ef041903b8be0ea2ff2f80b64b0,3.2304143321234733,9-12,11,False,11,1456829093,77c005153c8d98a8c8e078121ab33652baad6aba,train,global_gap_early_commit,48,HumanEval/0,SingleLineInfilling/HumanEval/0/L0
KEEP_PRIMARY,SingleLineInfilling/HumanEval/0/L0|canvas=11,deployable_canvas_actions_v1,11,41,022fe56865169f42bdb098ac22caa58da052ae57adc8ff365cfb7cbcfd4ab684,True,64,True,True,8,,,0,e1be9c514133393f759fde8b79b8c5abd1eb3ac6c15e25b9534a08b9a84af454,2.3344865700928494,9-12,11,True,11,1456829093,77c005153c8d98a8c8e078121ab33652baad6aba,train,global_gap_early_commit,,HumanEval/0,SingleLineInfilling/HumanEval/0/L0
EXPAND_16,SingleLineInfilling/HumanEval/0/L1|canvas=16,deployable_canvas_actions_v1,16,55,c55e0d542b5e5a00e24d371b04d69596c0191281cd5bb48139ce2338e4586232,True,64,True,True,15,failed: ,UnitTestFailure,0,6d9525f5230483c8602c1795df284eb57c296e88e3ef4c39e09fb800ba6ec04c,2.8160501460079104,13-16,13,False,13,420460263,77c005153c8d98a8c8e078121ab33652baad6aba,train,global_gap_early_commit,16,HumanEval/0,SingleLineInfilling/HumanEval/0/L1
EXPAND_24,SingleLineInfilling/HumanEval/0/L1|canvas=24,deployable_canvas_actions_v1,24,64,47a12e848c591be0124867aaec2a0915ad1b9bd192afecc588735e83ec9bce2e,True,64,True,False,24,,,0,7e9e8792b4d1342b10f2f69ad8b17cfa496235bb781244b87f6341de6e8468ee,3.861087852041237,13-16,13,True,13,420460263,77c005153c8d98a8c8e078121ab33652baad6aba,train,no_remaining_masks,24,HumanEval/0,SingleLineInfilling/HumanEval/0/L1
EXPAND_32,SingleLineInfilling/HumanEval/0/L1|canvas=32,deployable_canvas_actions_v1,32,64,a30ead5e6396f6dc4f382236ece774cc7df01bebb336ce64a1e8abe0e9fd24ab,True,64,True,False,32,,,0,fc9d80f4425a3f35695a8bf11fe5650a845d3278a28da0432a72271b3d1c5d22,3.902458548080176,13-16,13,True,13,420460263,77c005153c8d98a8c8e078121ab33652baad6aba,train,no_remaining_masks,32,HumanEval/0,SingleLineInfilling/HumanEval/0/L1
EXPAND_48,SingleLineInfilling/HumanEval/0/L1|canvas=48,deployable_canvas_actions_v1,48,59,9a7b093d15de142f8866079f1ebcc117dfd44318ff3974ab307affbc7780ea52,True,64,True,True,45,,,0,63b3241fd1d641cb073a09336254e501caacc375a7d3951772f73ab858fc8c3b,3.6978460039244965,13-16,13,True,13,420460263,77c005153c8d98a8c8e078121ab33652baad6aba,train,global_gap_early_commit,48,HumanEval/0,SingleLineInfilling/HumanEval/0/L1
KEEP_PRIMARY,SingleLineInfilling/HumanEval/0/L1|canvas=13,deployable_canvas_actions_v1,13,43,40560c20a6f56877abd19fa87e39aa5d43f3bff6b7417c68e11fc772c096a6c9,True,64,True,True,10,,,0,4de6ce4591b272d28e81fc54c3d1aaf54bfea60a1d4c11a5696d008e71b50072,2.405533359153196,13-16,13,True,13,420460263,77c005153c8d98a8c8e078121ab33652baad6aba,train,global_gap_early_commit,,HumanEval/0,SingleLineInfilling/HumanEval/0/L1
