manifest_index,source_config,task_id,prompt_id,row_id,task_group,length_bucket,policy,status,passed,prefix_len_tokens,middle_len_tokens,suffix_len_tokens,oracle_canvas_tokens,selected_canvas_tokens,selected_minus_oracle,abs_selected_minus_oracle,mask_length_source,selected_score,selected_raw_score,selected_adjusted_score,compile_passed,tier2_smoke_exec_passed,tier3_unit_tests_passed,error_type,error_message,candidate_full_code_sha256,candidate_middle_sha256,total_sec_including_probe,decode_sec,verification_sec,length_probe_sec,mean_final_confidence
0,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/95/L8_L8,L8_L8,2584,HumanEval/95,short,control_fixed64,ok,False,237,3,104,3,64,61,61,fixed,,,,True,True,False,UnitTestFailure,failed: First test error: False,77bc490e4a7b5e644e214e950cfb26b2387df43905b716f9aba746fb42e75b4c,f2455f7a4bfd80e393bd4b789a71b31eca7a55df7025bcdb7c2b2cc90a5c7706,2.555117834068369,2.4610054059885442,0.0941124280798249,0.0,0.97265625
1,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/96/L6_L6,L6_L6,2734,HumanEval/96,short,control_fixed64,ok,False,209,3,17,3,64,61,61,fixed,,,,True,True,False,UnitTestFailure,failed: ,8c332d73729714c93ed278299cc4a53cb171da89978844eeea66946fd604af13,4bf80cc0b956cc940dc4f23aef3ebd1d191d3a49f5f2c81e2c5ee1d512f8a821,2.0692717020283453,1.9850400040159002,0.08423169801244512,0.0,0.984375
2,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/150/L5_L5,L5_L5,5457,HumanEval/150,short,control_fixed64,ok,False,130,3,8,3,64,61,61,fixed,,,,True,True,False,UnitTestFailure,failed: ,c2bea4cded4922e6d086b5f849ae4e5c7142c47b72c9798854e6567d13bb4043,9d355231c884749d032706ed1e977d22d710ef8e2e84f27f486f8b65f84c4e6e,1.6863541839411482,1.6098876409814693,0.07646654295967892,0.0,0.98828125
3,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/1/L16_L16,L16_L16,132,HumanEval/1,short,control_fixed64,ok,False,216,4,0,4,64,60,60,fixed,,,,False,False,False,SyntaxError,"unterminated triple-quoted string literal (detected at line 35) (<unknown>, line 35)",994f1168e8cc48d3b4923c8ee50f75007f9cffe2f1da090fa62161f244f2eefe,c5b77a0c1e772e83a76648d0b741e69fb95dd06f3dbffc80511184b4ea38d03a,1.9760398259968497,1.9758696220233105,0.0001702039735391736,0.0,0.984375
4,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/5/L1_L1,L1_L1,166,HumanEval/5,short,control_fixed64,ok,False,105,4,45,4,64,60,60,fixed,,,,True,True,False,UnitTestFailure,failed: ,9e096ba87374104b434f7ba4b7c06976fa4d2c04dbb81342c1ca5d7a228dc2fa,cbae1551d90a96e7bd1e1a522a1716205ba1aeabef37cc64b2d28f3b124b98c6,1.688107819936704,1.6072228699922562,0.08088494994444773,0.0,0.98828125
5,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/2/L0_L0,L0_L0,133,HumanEval/2,medium,control_fixed64,ok,False,87,9,0,9,64,55,55,fixed,,,,False,False,False,SyntaxError,"unterminated triple-quoted string literal (detected at line 21) (<unknown>, line 19)",db41694ae11a8a078afacc330717418e0eb466c5178141e382eeaf1260ed48bd,3a60ffd64ef585769ccfab7587db21497b9a285df05aa97cbe874db0628b008e,1.4568464399781078,1.4567057879758067,0.00014065200230106711,0.0,0.97265625
6,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/14/L2_L2,L2_L2,400,HumanEval/14,medium,control_fixed64,ok,False,65,9,14,9,64,55,55,fixed,,,,True,True,False,UnitTestFailure,failed: ,c73efdff7d35a6c9e6630c1b6232a65dae182c14f4716ac7d55760f82dfb23dd,c8f368277a9fe4650f8d32333a8174ff0bf28439b09242529f8d7429f7460900,1.5503653669729829,1.4541962500079535,0.09616911696502939,0.0,0.97265625
7,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/24/L0_L0,L0_L0,630,HumanEval/24,medium,control_fixed64,ok,False,53,9,14,9,64,55,55,fixed,,,,True,True,False,UnitTestFailure,failed: ,19c311eedde27ccc61088a0dd6f779ca59979e22a88cafe6bf2d8f8282feb9b6,841f7850f319bc58aa9f937c95ba2666f5f8c3ac70faace6e1647fea126b5819,1.5319054409628734,1.4424321029800922,0.08947333798278123,0.0,0.9765625
8,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/25/L0_L1,L0_L1,637,HumanEval/25,medium,control_fixed64,ok,False,134,9,71,9,64,55,55,fixed,,,,True,True,False,UnitTestFailure,failed: Number must be odd,7fe055915d8b92c60a08043dbdb570945238abe0dfab3f1b1dc4493f5e480db9,c12a2dcbcdf7ad44dcbcec5fddb886212f59bdfbb4e5395004fcf3b50b3788bb,2.0625137359602377,1.970271187950857,0.0922425480093807,0.0,0.97265625
9,HumanEval-MultiLineInfilling,MultiLineInfilling/HumanEval/28/L0_L0,L0_L0,721,HumanEval/28,medium,control_fixed64,ok,False,63,9,0,9,64,55,55,fixed,,,,False,False,False,SyntaxError,"unterminated triple-quoted string literal (detected at line 22) (<unknown>, line 19)",7f5b879c68adfb603f48fda406f81b194e2abff855be9552d2f017c82af32e07,ce713cbd03fa5a98eac47a547d2281c3fad27d8ab243b1d799b32a8e3859988a,1.379086102009751,1.3789649980026297,0.00012110400712117553,0.0,0.9453125
