pool,historical_error_type,action_id,new_error_type,count
missed_failed_long,SyntaxError,E_oracle_sufficient_no_early_commit,None,3
missed_failed_long,SyntaxError,E_oracle_sufficient_no_early_commit,SyntaxError,2
missed_failed_long,SyntaxError,E_oracle_sufficient_no_early_commit,UnitTestFailure,3
missed_failed_long,SyntaxError,F_oracle_sufficient_trace_remask,None,3
missed_failed_long,SyntaxError,F_oracle_sufficient_trace_remask,SyntaxError,2
missed_failed_long,SyntaxError,F_oracle_sufficient_trace_remask,UnitTestFailure,3
missed_failed_long,SyntaxError,G_oracle_sufficient_trace_span_remask,None,3
missed_failed_long,SyntaxError,G_oracle_sufficient_trace_span_remask,SyntaxError,2
missed_failed_long,SyntaxError,G_oracle_sufficient_trace_span_remask,UnitTestFailure,3
missed_failed_long,UnitTestFailure,E_oracle_sufficient_no_early_commit,None,28
missed_failed_long,UnitTestFailure,E_oracle_sufficient_no_early_commit,SyntaxError,2
missed_failed_long,UnitTestFailure,E_oracle_sufficient_no_early_commit,UnitTestFailure,18
missed_failed_long,UnitTestFailure,F_oracle_sufficient_trace_remask,None,27
missed_failed_long,UnitTestFailure,F_oracle_sufficient_trace_remask,SyntaxError,3
missed_failed_long,UnitTestFailure,F_oracle_sufficient_trace_remask,UnitTestFailure,18
missed_failed_long,UnitTestFailure,G_oracle_sufficient_trace_span_remask,None,27
missed_failed_long,UnitTestFailure,G_oracle_sufficient_trace_span_remask,SyntaxError,3
missed_failed_long,UnitTestFailure,G_oracle_sufficient_trace_span_remask,UnitTestFailure,18
positive_control_rescued,SyntaxError,E_oracle_sufficient_no_early_commit,None,4
positive_control_rescued,SyntaxError,F_oracle_sufficient_trace_remask,None,4
positive_control_rescued,SyntaxError,G_oracle_sufficient_trace_span_remask,None,3
positive_control_rescued,SyntaxError,G_oracle_sufficient_trace_span_remask,UnitTestFailure,1
positive_control_rescued,UnitTestFailure,E_oracle_sufficient_no_early_commit,None,2
positive_control_rescued,UnitTestFailure,F_oracle_sufficient_trace_remask,None,2
positive_control_rescued,UnitTestFailure,G_oracle_sufficient_trace_span_remask,None,2
triggered_failed_long,SyntaxError,E_oracle_sufficient_no_early_commit,SyntaxError,18
triggered_failed_long,SyntaxError,E_oracle_sufficient_no_early_commit,UnitTestFailure,3
triggered_failed_long,SyntaxError,F_oracle_sufficient_trace_remask,SyntaxError,19
triggered_failed_long,SyntaxError,F_oracle_sufficient_trace_remask,UnitTestFailure,2
triggered_failed_long,SyntaxError,G_oracle_sufficient_trace_span_remask,SyntaxError,19
triggered_failed_long,SyntaxError,G_oracle_sufficient_trace_span_remask,UnitTestFailure,2
triggered_failed_long,UnitTestFailure,E_oracle_sufficient_no_early_commit,UnitTestFailure,12
triggered_failed_long,UnitTestFailure,F_oracle_sufficient_trace_remask,UnitTestFailure,12
triggered_failed_long,UnitTestFailure,G_oracle_sufficient_trace_span_remask,UnitTestFailure,12
